Sample,X,Y,Z
0,0.129,-0.023,0.875
1,-0.008,-0.023,0.961
2,0.012,-0.023,0.965
3,0.012,-0.027,0.965
4,0.004,-0.027,0.957
5,0.000,-0.027,0.969
6,0.016,-0.023,0.965
7,0.008,-0.016,0.965
8,-0.004,-0.023,0.953
9,-0.004,-0.020,0.957
10,0.016,-0.020,0.957
11,0.008,-0.027,0.953
12,-0.008,-0.016,0.949
13,-0.008,-0.020,0.961
14,0.004,-0.020,0.961
15,0.023,-0.020,0.949
16,0.004,-0.020,0.945
17,-0.012,-0.012,0.969
18,-0.004,-0.016,0.961
19,0.016,-0.027,0.949
20,0.004,-0.020,0.934
21,-0.004,-0.016,0.949
22,-0.012,-0.012,0.961
23,0.004,-0.012,0.953
24,0.023,-0.031,0.953
25,0.012,-0.023,0.957
26,-0.004,-0.016,0.965
27,-0.020,-0.016,0.973
28,0.020,-0.023,0.965
29,0.027,-0.023,0.957
30,0.008,-0.020,0.961
31,-0.016,-0.016,0.973
32,-0.004,-0.023,0.965
33,0.020,-0.027,0.957
34,0.023,-0.027,0.957
35,-0.004,-0.020,0.965
36,-0.012,-0.020,0.969
37,0.000,-0.023,0.969
38,0.027,-0.027,0.949
39,0.000,-0.031,0.957
40,-0.020,0.004,0.988
41,-0.004,-0.023,0.973
42,0.012,-0.023,0.957
43,0.016,-0.023,0.945
44,-0.016,-0.012,0.957
45,-0.012,-0.020,0.965
46,0.012,-0.020,0.949
47,0.012,-0.023,0.949
48,0.004,-0.023,0.949
49,-0.008,-0.020,0.957
50,0.004,-0.016,0.957
51,0.008,-0.023,0.953
52,0.004,-0.023,0.961
53,-0.004,-0.027,0.969
54,0.000,-0.016,0.965
55,0.000,-0.020,0.961
56,-0.004,-0.023,0.953
57,0.004,-0.023,0.965
58,0.012,-0.020,0.965
59,0.004,-0.023,0.969
60,0.004,0.000,0.934
61,0.000,-0.047,0.945
62,0.000,-0.023,0.969
63,0.004,-0.020,0.973
64,0.000,-0.023,0.965
65,0.008,-0.027,0.961
66,0.000,-0.027,0.945
67,0.000,-0.020,0.969
68,0.000,-0.016,0.961
69,0.004,-0.023,0.961
70,0.000,-0.023,0.945
71,0.004,-0.023,0.961
72,0.004,-0.016,0.949
73,0.004,-0.016,0.953
74,0.000,-0.020,0.953
75,0.008,-0.023,0.961
76,0.016,-0.016,0.949
77,-0.008,-0.020,0.961
78,0.000,-0.020,0.957
79,0.016,-0.023,0.965
80,-0.008,-0.008,0.965
81,-0.004,-0.027,0.941
82,-0.004,-0.020,0.965
83,0.008,-0.023,0.965
84,0.012,-0.023,0.961
85,0.000,-0.020,0.957
86,-0.008,-0.020,0.965
87,0.004,-0.023,0.969
88,0.020,-0.023,0.957
89,0.008,-0.035,0.961
90,0.000,-0.027,0.965
91,0.004,-0.020,0.973
92,0.004,-0.023,0.969
93,0.012,-0.023,0.961
94,0.004,-0.023,0.957
95,0.000,-0.020,0.957
96,-0.004,-0.016,0.969
97,0.004,-0.020,0.957
98,0.020,-0.012,0.953
99,0.121,0.023,0.918
100,0.172,0.133,0.941
101,0.230,0.188,0.961
102,0.320,0.238,0.973
103,0.324,0.262,0.934
104,0.422,0.316,0.910
105,0.523,0.383,0.926
106,0.555,0.465,0.945
107,0.582,0.535,0.945
108,0.617,0.570,0.934
109,0.613,0.578,0.945
110,0.488,0.605,0.957
111,0.438,0.621,0.969
112,0.434,0.586,0.977
113,0.375,0.535,0.957
114,0.395,0.488,0.961
115,0.363,0.445,1.004
116,0.363,0.445,1.004
117,0.211,0.383,1.051
118,0.141,0.258,1.027
119,0.125,0.133,0.949
120,0.164,0.090,0.945
121,0.152,0.094,0.988
122,0.078,0.086,1.043
123,0.074,0.020,0.992
124,0.160,-0.035,0.945
125,0.215,-0.035,0.906
126,0.125,0.059,0.945
127,0.195,0.129,0.984
128,0.332,0.078,0.961
129,0.332,0.043,0.914
130,0.398,0.133,0.879
131,0.473,0.207,0.957
132,0.477,0.309,0.953
133,0.445,0.281,0.949
134,0.492,0.289,0.871
135,0.461,0.348,0.930
136,0.402,0.465,1.016
137,0.438,0.508,0.965
138,0.391,0.445,0.969
139,0.379,0.488,0.926
140,0.316,0.484,0.984
141,0.297,0.559,1.023
142,0.293,0.555,1.020
143,0.199,0.512,1.020
144,0.184,0.461,0.977
145,0.164,0.414,0.980
146,0.227,0.406,1.012
147,0.293,0.391,1.020
148,0.281,0.340,1.027
149,0.281,0.211,0.996
150,0.266,0.188,0.945
151,0.277,0.121,0.984
152,0.250,0.148,0.977
153,0.262,0.109,0.980
