Sample,X,Y,Z
0,0.168,-0.027,0.867
1,0.047,-0.027,0.957
2,-0.023,-0.020,0.977
3,-0.039,-0.012,0.977
4,0.008,-0.023,0.953
5,0.047,-0.027,0.957
6,0.020,-0.027,0.957
7,-0.039,-0.008,0.957
8,-0.031,-0.008,0.965
9,0.016,-0.020,0.969
10,0.047,-0.031,0.953
11,0.012,-0.027,0.957
12,-0.035,-0.016,0.969
13,-0.016,-0.016,0.969
14,0.039,-0.023,0.949
15,0.035,-0.027,0.953
16,-0.004,-0.016,0.961
17,-0.039,-0.008,0.969
18,-0.012,-0.016,0.961
19,0.023,-0.027,0.957
20,0.035,-0.059,1.012
21,-0.008,-0.012,0.980
22,-0.039,-0.020,0.969
23,0.004,-0.027,0.961
24,0.043,-0.035,0.957
25,0.023,-0.023,0.957
26,-0.020,-0.020,0.961
27,-0.031,-0.020,0.965
28,0.016,-0.031,0.965
29,0.047,-0.035,0.953
30,0.020,-0.027,0.961
31,-0.031,-0.012,0.969
32,-0.020,-0.012,0.973
33,0.020,-0.016,0.957
34,0.043,-0.035,0.957
35,0.012,-0.020,0.965
36,-0.027,-0.012,0.969
37,-0.027,-0.012,0.969
38,-0.020,-0.016,0.965
39,0.031,-0.027,0.965
40,0.047,-0.031,0.949
41,-0.016,-0.023,0.977
42,-0.051,-0.004,0.973
43,-0.008,-0.016,0.961
44,0.043,-0.027,0.953
45,0.035,-0.027,0.945
46,-0.023,-0.012,0.957
47,-0.039,-0.016,0.973
48,0.008,-0.023,0.957
49,0.051,-0.027,0.953
50,0.023,-0.027,0.961
51,-0.035,-0.008,0.969
52,-0.027,-0.012,0.977
53,0.031,-0.023,0.949
54,0.055,-0.027,0.949
55,-0.008,-0.023,0.965
56,-0.047,-0.016,0.969
57,-0.004,-0.023,0.961
58,0.047,-0.031,0.953
59,0.039,-0.027,0.953
60,-0.027,-0.012,0.988
61,-0.031,-0.027,0.965
62,0.012,-0.035,0.961
63,0.055,-0.035,0.941
64,0.016,-0.027,0.949
65,-0.039,-0.012,0.980
66,-0.027,-0.016,0.977
67,0.031,-0.023,0.949
68,0.043,-0.027,0.949
69,0.008,-0.020,0.961
70,-0.047,-0.012,0.969
71,-0.012,-0.016,0.969
72,0.043,-0.031,0.957
73,0.043,-0.027,0.949
74,-0.016,-0.012,0.961
75,-0.043,-0.004,0.969
76,0.000,-0.016,0.973
77,0.000,-0.016,0.973
78,0.047,-0.035,0.957
79,0.035,-0.031,0.938
80,-0.020,-0.008,0.965
81,-0.031,0.004,1.000
82,0.004,-0.012,0.945
83,0.047,-0.027,0.945
84,0.027,-0.023,0.953
85,-0.023,-0.020,0.973
86,-0.031,-0.016,0.973
87,0.008,-0.020,0.965
88,0.043,-0.035,0.953
89,0.020,-0.023,0.953
90,-0.031,-0.008,0.969
91,-0.035,-0.023,0.984
92,0.031,-0.023,0.961
93,0.055,-0.035,0.949
94,0.000,-0.027,0.953
95,-0.043,-0.004,0.965
