Sample,X,Y,Z
0,0.160,-0.094,0.871
1,-0.004,-0.008,0.984
2,0.000,-0.004,0.984
3,-0.004,0.000,0.988
4,0.000,-0.004,0.973
5,-0.004,-0.008,0.969
6,0.000,0.000,0.984
7,0.000,-0.004,0.977
8,0.004,-0.008,0.984
9,-0.004,-0.004,0.977
10,-0.004,-0.008,0.980
11,0.000,0.004,0.977
12,0.000,-0.004,0.973
13,0.000,-0.004,0.980
14,-0.004,-0.004,0.973
15,0.000,-0.004,0.977
16,0.004,-0.004,0.973
17,-0.008,-0.004,0.980
18,-0.004,-0.004,0.984
19,0.004,-0.004,0.977
20,0.008,0.008,0.918
21,-0.004,0.004,0.984
22,0.004,0.000,0.977
23,0.008,0.000,0.977
24,0.000,-0.008,0.980
25,0.000,0.000,0.984
26,-0.004,0.000,0.977
27,-0.004,0.000,0.984
28,0.008,-0.004,0.980
29,0.000,-0.012,0.980
30,-0.004,-0.004,0.980
31,0.000,0.000,0.980
32,0.000,-0.008,0.984
33,-0.004,0.000,0.984
34,0.004,-0.004,0.977
35,0.004,-0.008,0.980
36,0.000,0.000,0.977
37,-0.004,-0.004,0.984
38,0.004,-0.004,0.973
39,0.012,-0.008,0.977
40,0.008,0.012,0.965
41,-0.008,0.008,0.988
42,0.000,-0.004,0.977
43,0.012,0.000,0.977
44,0.000,-0.008,0.980
45,-0.004,-0.008,0.973
46,0.004,0.000,0.977
47,0.008,0.004,0.973
48,0.008,0.004,0.980
49,-0.008,-0.004,0.973
50,-0.004,0.000,0.980
51,0.008,-0.004,0.980
52,0.008,0.000,0.980
53,0.000,-0.004,0.969
54,-0.004,-0.008,0.992
55,0.000,0.004,0.984
56,0.008,0.000,0.980
57,0.008,-0.004,0.984
58,-0.004,0.000,0.984
59,-0.004,-0.004,0.973
60,0.000,-0.023,0.926
61,0.004,0.004,0.980
62,0.000,0.000,0.980
63,0.000,-0.012,0.977
64,-0.004,-0.012,0.980
65,0.000,-0.004,0.980
66,0.004,-0.004,0.980
67,0.004,-0.008,0.973
68,0.000,0.000,0.973
69,0.000,0.004,0.980
70,0.008,-0.004,0.973
71,0.004,-0.004,0.977
72,-0.004,0.000,0.969
73,-0.004,-0.004,0.977
74,0.000,-0.004,0.980
75,0.000,-0.004,0.984
76,0.004,-0.004,0.980
77,0.004,-0.004,0.980
78,-0.004,-0.004,0.980
79,0.000,0.004,0.977
80,0.000,0.000,0.977
81,-0.016,0.012,1.012
82,0.000,0.008,0.980
83,0.000,0.000,0.977
84,-0.004,0.004,0.977
85,0.000,0.004,0.984
86,0.004,-0.008,0.980
87,0.004,-0.004,0.977
88,-0.004,0.000,0.980
89,-0.008,-0.008,0.984
90,0.004,0.000,0.977
91,0.000,-0.008,0.973
92,-0.004,-0.008,0.980
93,-0.008,-0.008,0.977
94,0.000,-0.004,0.977
95,0.004,0.000,0.984
96,0.004,-0.004,0.969
97,0.004,-0.004,0.969
98,-0.004,-0.008,0.980
99,-0.004,0.004,0.984
100,0.004,-0.004,0.973
101,0.008,-0.016,0.988
102,0.043,-0.004,0.980
103,0.180,-0.039,0.996
104,0.277,-0.039,0.945
105,0.301,-0.020,0.980
106,0.266,0.004,0.977
107,0.332,0.039,1.012
108,0.484,-0.004,0.992
109,0.590,-0.023,0.957
110,0.574,-0.016,0.992
111,0.500,0.016,1.008
112,0.469,0.008,1.008
113,0.520,-0.023,0.984
114,0.535,-0.023,0.965
115,0.484,-0.008,1.004
116,0.312,0.008,1.000
117,0.129,0.039,0.984
118,0.070,0.043,0.980
119,0.172,-0.004,0.992
120,0.203,-0.027,0.957
121,0.113,-0.012,0.926
122,-0.074,0.016,0.973
123,-0.172,0.027,0.977
124,-0.035,-0.004,0.965
125,0.145,-0.098,0.941
126,0.191,-0.109,0.934
127,0.086,-0.055,0.961
128,0.027,0.020,0.965
129,0.211,0.031,0.996
130,0.418,0.008,0.969
131,0.465,-0.004,0.973
132,0.402,0.012,1.012
133,0.379,0.027,1.031
134,0.375,-0.008,1.008
135,0.430,-0.004,0.984
136,0.480,0.004,1.004
137,0.500,0.043,1.035
138,0.469,0.031,1.016
139,0.438,-0.035,1.023
140,0.328,-0.137,1.039
141,0.230,-0.090,0.938
142,0.172,0.039,0.984
143,0.172,0.113,1.008
144,0.238,0.098,1.020
145,0.258,-0.082,0.969
146,0.117,-0.254,0.906
147,-0.023,-0.117,0.895
148,-0.020,0.125,0.977
149,0.152,0.246,1.035
150,0.230,0.074,1.078
151,0.188,-0.270,0.906
152,0.145,-0.297,0.781
153,0.086,0.035,0.996
154,0.242,0.434,1.023
155,0.242,0.434,1.023
156,0.258,0.316,1.051
157,0.316,-0.332,1.051
158,0.363,-0.367,0.688
159,0.477,-0.082,1.066
160,0.520,0.355,1.055
161,0.324,0.355,1.012
162,0.262,-0.254,1.020
163,0.418,-0.258,0.766
164,0.516,-0.082,1.086
165,0.430,0.219,1.070
166,0.266,0.148,1.000
167,0.199,-0.125,0.902
168,0.352,-0.145,0.902
169,0.301,-0.070,1.082
170,0.246,0.168,0.984
171,0.145,0.023,1.008
172,0.059,-0.098,1.004
173,0.129,-0.086,0.832
174,0.227,-0.031,1.066
175,0.176,0.035,1.062
176,0.070,0.004,0.988
177,0.070,-0.027,0.879
178,0.098,-0.055,0.973
179,0.242,0.020,1.066
180,0.199,0.078,0.922
181,0.180,0.016,0.996
182,0.172,-0.012,0.953
183,0.258,0.012,0.938
184,0.438,-0.059,0.980
185,0.418,0.031,1.000
186,0.324,0.066,0.977
187,0.250,-0.039,0.957
188,0.422,-0.004,0.941
189,0.484,-0.031,0.961
190,0.418,-0.047,1.012
191,0.328,0.020,0.992
192,0.258,0.027,1.027
193,0.301,-0.066,0.949
194,0.324,-0.070,0.965
195,0.195,-0.027,0.965
196,0.074,0.035,1.004
197,0.055,0.062,1.023
198,0.113,0.020,0.926
199,0.129,-0.031,0.988
200,0.031,-0.020,0.953
201,0.094,-0.043,0.969
202,0.102,-0.012,0.953
203,0.195,0.031,0.984
204,0.219,-0.035,1.023
205,0.152,-0.039,0.934
206,0.219,-0.016,0.949
207,0.301,0.000,1.020
208,0.426,0.008,1.023
209,0.328,-0.023,0.969
210,0.254,0.000,0.957
211,0.305,0.023,1.012
212,0.391,0.074,1.020
213,0.445,0.004,1.020
214,0.320,-0.027,0.949
215,0.207,0.000,0.992
216,0.242,0.047,0.988
217,0.332,-0.004,0.996
218,0.355,-0.082,0.965
219,0.262,-0.074,0.918
220,0.195,-0.078,0.977
221,0.098,-0.004,0.973
222,0.156,-0.004,0.965
223,0.074,0.027,0.922
224,-0.082,0.051,1.020
225,-0.227,0.039,0.973
226,-0.293,0.020,0.961
227,-0.434,0.035,0.918
228,-0.258,0.066,1.016
229,-0.402,0.027,0.949
230,-0.469,0.035,1.004
231,-0.680,-0.074,0.914
232,-0.676,-0.016,0.957
233,-0.586,0.023,0.965
234,-0.371,-0.031,1.039
235,-0.438,-0.148,0.957
236,-0.414,-0.082,0.953
237,-0.445,-0.023,0.930
238,-0.238,0.035,1.102
239,-0.152,-0.008,0.969
240,-0.176,-0.055,0.941
241,-0.211,-0.016,1.035
242,-0.109,0.125,1.043
243,0.047,0.043,1.047
244,0.160,0.062,0.953
245,0.059,-0.039,1.027
246,-0.066,0.039,1.027
247,0.008,0.016,0.992
248,-0.059,-0.020,1.008
249,-0.090,-0.023,0.969
250,-0.207,-0.039,0.988
251,-0.332,0.012,1.012
252,-0.301,0.000,0.965
253,-0.332,-0.039,0.957
254,-0.375,0.000,0.930
255,-0.508,0.004,0.949
256,-0.668,0.039,0.934
257,-0.453,0.102,0.926
258,-0.375,0.004,0.957
259,-0.434,-0.031,0.965
260,-0.441,0.039,0.852
261,-0.430,0.020,0.914
262,-0.301,0.043,1.020
263,-0.145,0.008,0.945
264,-0.027,-0.070,0.953
265,-0.125,-0.086,0.980
266,-0.211,0.020,0.941
267,-0.059,0.105,1.043
268,-0.004,0.094,1.066
269,0.070,0.047,0.980
270,-0.023,-0.043,1.047
271,-0.211,-0.039,1.000
272,-0.242,0.074,0.965
273,-0.180,0.098,1.059
274,-0.164,-0.023,1.074
275,-0.270,-0.066,0.988
276,-0.387,-0.086,0.914
277,-0.469,-0.039,1.035
278,-0.457,0.008,1.047
279,-0.367,0.000,0.855
280,-0.438,-0.047,1.008
281,-0.496,-0.066,1.027
282,-0.539,-0.023,0.875
283,-0.406,0.082,0.949
284,-0.312,0.000,1.047
285,-0.301,-0.078,1.008
286,-0.387,-0.031,0.797
287,-0.340,0.070,1.004
