Sample,X,Y,Z
0,0.000,-0.070,0.918
1,0.000,-0.004,0.977
2,-0.008,0.004,0.984
3,0.004,-0.004,0.977
4,-0.004,0.000,0.980
5,0.000,0.000,0.980
6,-0.004,-0.004,0.988
7,0.000,-0.008,0.977
8,0.000,0.000,0.980
9,0.004,0.000,0.977
10,-0.004,0.000,0.984
11,-0.004,0.004,0.977
12,0.000,0.000,0.980
13,0.008,-0.004,0.984
14,-0.004,-0.004,0.980
15,-0.012,0.000,0.988
16,-0.004,-0.004,0.980
17,-0.004,-0.004,0.980
18,0.008,-0.004,0.980
19,0.004,0.000,0.977
20,-0.012,0.000,0.984
21,0.008,-0.008,1.023
22,0.000,-0.004,0.984
23,0.004,-0.004,0.973
24,0.000,-0.012,0.988
25,-0.004,-0.004,0.977
26,0.000,-0.004,0.977
27,0.012,-0.008,0.977
28,0.008,-0.008,0.969
29,0.000,0.000,0.977
30,-0.004,-0.004,0.977
31,-0.004,-0.004,0.973
32,0.008,0.000,0.969
33,0.000,0.000,0.965
34,-0.004,0.000,0.980
35,-0.004,0.000,0.977
36,0.000,0.004,0.980
37,0.000,0.004,0.980
38,0.004,0.000,0.969
39,0.004,0.000,0.977
40,-0.004,0.004,0.977
41,-0.016,0.012,1.031
42,-0.004,0.004,0.965
43,0.004,-0.004,0.973
44,0.008,0.000,0.977
45,-0.004,-0.004,0.973
46,-0.004,-0.004,0.988
47,0.000,-0.008,0.980
48,0.000,-0.004,0.980
49,0.004,0.004,0.980
50,-0.004,-0.004,0.984
51,-0.004,-0.004,0.980
52,0.004,0.000,0.977
53,0.004,-0.004,0.973
54,0.000,-0.008,0.980
55,-0.004,-0.008,0.980
56,0.000,-0.004,0.969
57,-0.004,-0.004,0.984
58,0.004,-0.004,0.977
59,0.000,-0.004,0.973
60,-0.004,0.023,0.973
61,-0.004,-0.008,0.969
62,0.004,-0.004,0.973
63,0.004,-0.008,0.977
64,0.004,0.000,0.980
65,-0.004,0.000,0.984
66,-0.004,-0.004,0.980
67,0.012,-0.004,0.973
68,0.004,0.004,0.980
69,0.004,0.000,0.980
70,-0.004,-0.004,0.969
71,-0.004,0.004,0.984
72,0.012,0.000,0.973
73,0.004,-0.008,0.980
74,0.000,-0.004,0.988
75,-0.004,0.000,0.984
76,-0.004,-0.004,0.977
77,0.000,0.004,0.973
78,0.000,-0.004,0.992
79,-0.004,-0.004,0.988
80,-0.004,0.004,0.941
81,0.000,0.004,0.977
82,0.000,0.000,0.977
83,0.000,-0.004,0.984
84,0.004,-0.004,0.973
85,0.008,0.000,0.984
86,0.004,-0.004,0.980
87,-0.004,0.000,0.980
88,0.000,-0.004,0.980
89,0.008,-0.004,0.980
90,0.004,-0.008,0.969
91,0.000,-0.008,0.969
92,-0.004,-0.004,0.977
93,-0.004,0.000,0.980
94,0.008,-0.008,0.973
95,0.004,-0.004,0.977
96,0.000,0.004,0.980
97,0.000,0.000,0.980
98,-0.008,0.000,0.980
99,0.004,-0.008,0.977
100,0.004,-0.016,0.926
101,0.012,0.000,0.973
102,0.039,0.000,0.980
103,0.184,-0.023,0.984
104,0.289,-0.055,0.941
105,0.324,-0.023,0.973
106,0.285,0.000,0.977
107,0.344,0.047,1.012
108,0.461,0.012,1.012
109,0.562,-0.035,0.961
110,0.566,-0.012,0.984
111,0.492,0.000,0.992
112,0.480,0.000,1.012
113,0.512,-0.023,0.973
114,0.512,-0.039,0.973
115,0.480,-0.016,0.996
116,0.316,0.000,1.008
117,0.141,0.027,0.984
118,0.062,0.051,0.973
119,0.164,0.004,0.996
120,0.191,-0.047,0.938
121,0.102,-0.023,0.934
122,-0.062,0.008,0.957
123,-0.152,0.031,0.977
124,-0.016,0.004,0.969
125,0.164,-0.086,0.922
126,0.203,-0.102,0.938
127,0.082,-0.055,0.957
128,0.027,0.020,0.961
129,0.195,0.043,0.996
130,0.434,0.016,0.973
131,0.480,0.000,0.977
132,0.402,0.008,1.020
133,0.359,0.027,1.027
134,0.363,-0.027,1.004
135,0.418,0.008,0.984
136,0.484,0.027,1.020
137,0.500,0.035,1.031
138,0.484,0.020,1.020
139,0.453,-0.062,1.020
140,0.340,-0.125,0.973
141,0.227,-0.070,0.969
142,0.168,0.027,0.969
143,0.191,0.109,1.016
144,0.234,0.094,1.016
145,0.250,-0.090,0.977
146,0.105,-0.254,0.902
147,-0.035,-0.133,0.879
148,-0.023,0.133,0.961
149,0.168,0.246,1.066
150,0.223,0.082,1.031
151,0.172,-0.238,0.918
152,0.125,-0.312,0.777
153,0.125,0.035,0.984
154,0.297,0.422,1.031
155,0.281,0.309,1.062
156,0.316,-0.309,1.070
157,0.277,-0.379,0.699
158,0.473,-0.074,1.062
159,0.543,0.371,1.039
160,0.340,0.348,1.043
161,0.270,-0.215,1.059
162,0.410,-0.262,0.797
163,0.523,-0.102,1.074
164,0.430,0.230,1.082
165,0.238,0.160,1.000
166,0.223,-0.137,0.891
167,0.383,-0.145,0.941
168,0.340,-0.066,1.090
169,0.258,0.176,0.988
170,0.066,0.027,1.000
171,0.012,-0.109,0.957
172,0.188,-0.121,0.840
173,0.254,-0.047,1.051
174,0.145,0.043,1.066
175,0.023,-0.020,0.957
176,0.090,-0.035,0.867
177,0.117,-0.074,0.953
178,0.246,0.027,1.074
179,0.188,0.078,0.922
180,0.176,0.055,0.988
181,0.215,0.016,0.965
182,0.270,0.004,0.938
183,0.371,-0.031,0.973
184,0.383,0.039,1.004
185,0.422,0.070,1.008
186,0.344,-0.023,0.965
187,0.445,-0.012,0.965
188,0.453,-0.066,0.984
189,0.328,-0.059,1.012
190,0.277,0.031,0.980
191,0.336,-0.008,1.031
192,0.383,-0.062,0.957
193,0.305,-0.035,0.988
194,0.133,-0.055,0.965
195,-0.008,0.016,0.992
196,0.055,0.086,0.973
197,0.207,0.055,0.949
198,0.145,-0.051,1.027
199,-0.043,0.004,0.949
200,-0.020,-0.039,0.895
201,0.152,-0.008,0.949
202,0.293,0.059,0.984
203,0.336,-0.090,0.992
204,0.066,-0.066,0.914
205,0.102,-0.031,0.957
206,0.262,0.039,0.965
207,0.469,0.020,1.027
208,0.488,-0.051,0.938
209,0.270,-0.027,0.969
210,0.242,-0.008,1.043
211,0.355,0.066,0.977
212,0.438,0.047,0.992
213,0.453,0.055,1.035
214,0.188,-0.027,1.004
215,0.219,0.016,1.023
216,0.297,-0.012,0.953
217,0.406,-0.043,1.004
218,0.270,-0.031,0.973
219,0.145,-0.066,0.977
220,0.109,-0.047,0.941
221,0.137,-0.020,0.973
222,0.074,0.012,0.930
223,-0.094,0.086,1.004
224,-0.254,0.047,0.984
225,-0.273,0.016,0.977
226,-0.414,-0.016,0.898
227,-0.367,0.012,1.027
228,-0.402,0.074,0.914
229,-0.484,0.062,0.977
230,-0.660,-0.008,0.961
231,-0.586,0.004,1.004
232,-0.566,-0.051,0.918
233,-0.387,-0.066,0.980
234,-0.426,-0.105,0.938
235,-0.445,-0.055,0.973
236,-0.391,-0.008,0.969
237,-0.242,-0.035,1.023
238,-0.145,-0.016,0.980
239,-0.141,0.004,0.926
240,-0.184,-0.008,1.023
241,-0.051,0.141,1.078
242,0.027,0.004,0.980
243,0.125,0.027,0.992
244,0.020,-0.004,1.035
245,-0.082,0.027,1.027
246,0.004,0.051,1.016
247,-0.039,-0.031,1.016
248,-0.129,-0.043,0.969
249,-0.203,-0.004,1.000
