Sample,X,Y,Z
0,0.098,0.004,0.891
1,-0.004,-0.008,0.977
2,-0.004,0.000,0.977
3,0.004,-0.004,0.984
4,0.000,-0.004,0.984
5,-0.004,0.000,0.977
6,0.000,-0.016,0.984
7,0.000,-0.004,0.980
8,-0.004,-0.004,0.977
9,0.000,-0.004,0.977
10,0.000,-0.008,0.973
11,0.000,-0.004,0.977
12,0.000,0.000,0.973
13,0.000,0.000,0.988
14,0.000,-0.004,0.977
15,0.000,-0.008,0.977
16,0.008,-0.004,0.988
17,0.004,0.000,0.984
18,-0.004,-0.012,0.977
19,0.000,-0.012,0.977
20,-0.020,-0.055,0.914
21,-0.008,-0.004,0.969
22,0.008,-0.004,0.984
23,0.004,-0.012,0.973
24,0.000,-0.004,0.977
25,0.000,0.000,0.977
26,0.008,0.000,0.984
27,0.004,-0.008,0.984
28,0.000,-0.008,0.977
29,-0.004,-0.008,0.984
30,0.004,0.000,0.980
31,0.000,0.004,0.980
32,0.000,-0.008,0.977
33,0.004,-0.012,0.973
34,-0.008,0.000,0.980
35,0.000,0.004,0.977
36,0.004,-0.004,0.977
37,0.004,-0.004,0.977
38,-0.008,-0.008,0.973
39,0.004,-0.008,0.973
40,0.000,-0.004,0.973
41,0.016,-0.027,0.949
42,0.004,-0.012,0.992
43,0.000,-0.008,0.977
44,0.000,-0.004,0.977
45,0.000,-0.004,0.980
46,-0.004,0.000,0.977
47,0.000,-0.008,0.980
48,0.000,-0.008,0.980
49,0.000,0.000,0.980
50,0.000,0.000,0.980
51,-0.008,-0.004,0.980
52,0.012,-0.008,0.980
53,0.004,-0.004,0.980
54,-0.004,-0.004,0.988
55,-0.004,-0.004,0.980
56,0.004,-0.008,0.988
57,0.000,-0.008,0.973
58,0.000,-0.012,0.984
59,0.000,-0.004,0.980
60,0.012,-0.047,0.973
61,0.004,-0.004,0.969
62,0.000,-0.008,0.980
63,-0.004,-0.004,0.969
64,-0.004,-0.004,0.973
65,0.000,-0.004,0.984
66,0.008,-0.004,0.984
67,-0.004,0.000,0.965
68,-0.008,0.000,0.977
69,0.004,0.000,0.980
70,0.000,-0.004,0.984
71,0.000,0.000,0.980
72,-0.004,-0.012,0.980
73,-0.004,-0.004,0.977
74,0.000,0.004,0.988
75,0.008,-0.004,0.980
76,-0.008,-0.008,0.977
77,-0.004,0.000,0.980
78,0.012,-0.008,0.984
79,0.000,0.000,0.988
80,0.008,-0.016,0.973
81,-0.008,-0.016,0.984
82,0.000,0.000,0.984
83,0.004,-0.004,0.984
84,-0.004,-0.012,0.984
85,0.004,-0.008,0.980
86,0.004,-0.004,0.973
87,0.004,-0.004,0.988
88,0.008,-0.004,0.984
89,0.000,0.000,0.973
90,0.000,-0.004,0.977
91,0.004,0.000,0.977
92,0.000,-0.004,0.973
93,0.004,-0.008,0.988
94,-0.004,-0.004,0.977
95,0.000,0.004,0.980
96,0.000,0.004,0.984
97,0.004,-0.012,0.988
98,0.004,-0.008,0.973
99,-0.004,-0.008,0.977
100,0.008,-0.027,0.906
101,0.008,0.004,0.980
102,0.008,-0.004,0.980
103,0.000,-0.004,0.977
104,-0.004,-0.008,0.988
105,0.004,0.004,0.992
106,0.082,0.004,0.945
107,0.027,0.035,0.980
108,-0.020,0.070,1.016
109,0.008,0.031,1.004
110,0.020,0.020,0.953
111,0.098,0.047,0.941
112,0.113,0.070,0.980
113,0.141,0.105,1.000
114,0.172,0.098,0.977
115,0.145,0.090,0.957
116,0.137,0.121,0.992
117,0.137,0.121,0.992
118,0.156,0.160,0.988
119,0.184,0.148,0.973
120,0.172,0.156,0.957
121,0.180,0.133,0.965
122,0.184,0.156,1.000
123,0.168,0.184,0.969
124,0.137,0.176,0.969
125,0.066,0.176,0.969
126,0.070,0.133,0.973
127,0.062,0.160,0.961
128,0.062,0.141,0.977
129,0.082,0.137,0.988
130,0.121,0.117,0.973
131,0.113,0.094,0.973
132,0.113,0.098,0.973
133,0.090,0.078,1.004
134,0.043,0.082,1.000
135,0.070,0.035,0.977
136,0.133,0.016,0.965
137,0.176,0.035,0.977
138,0.152,0.059,0.984
139,0.156,0.082,0.996
140,0.211,0.047,0.926
141,0.219,0.094,0.977
142,0.109,0.117,0.996
143,0.023,0.148,1.000
144,0.102,0.125,0.977
145,0.184,0.094,0.953
146,0.164,0.145,0.973
147,0.156,0.168,0.980
148,0.164,0.184,0.992
149,0.105,0.152,0.984
150,0.027,0.148,0.977
151,0.055,0.133,0.977
152,0.113,0.145,0.977
153,0.191,0.191,0.973
154,0.242,0.203,0.977
155,0.125,0.184,1.020
156,0.070,0.168,0.992
157,0.102,0.137,0.957
158,0.148,0.172,0.977
159,0.199,0.199,0.977
160,0.121,0.145,1.047
161,0.105,0.133,0.996
162,0.184,0.066,0.953
163,0.250,0.086,0.961
164,0.262,0.109,0.973
165,0.090,0.121,1.008
166,0.055,0.078,0.977
167,0.125,-0.004,0.973
168,0.223,0.055,0.945
169,0.168,0.098,1.004
170,0.020,0.148,1.016
171,0.078,0.070,0.988
172,0.184,0.020,0.910
173,0.141,0.078,0.949
174,-0.004,0.129,1.039
175,0.039,0.160,1.012
176,0.203,0.066,0.949
177,0.180,0.078,0.934
178,0.023,0.102,0.992
179,0.078,0.145,1.004
180,0.230,0.141,0.902
181,0.191,0.148,0.910
182,0.109,0.145,1.016
183,0.129,0.145,0.980
184,0.156,0.164,0.965
185,0.176,0.203,0.953
186,0.172,0.199,0.992
187,0.164,0.145,1.027
188,0.137,0.145,0.926
189,0.168,0.141,0.961
190,0.172,0.184,0.992
191,0.109,0.148,1.031
192,0.137,0.121,0.961
193,0.109,0.070,0.934
194,0.047,0.059,1.004
195,0.109,0.109,0.988
196,0.129,0.059,0.969
197,0.078,0.078,0.973
198,0.094,0.051,0.980
199,0.051,0.043,1.000
200,0.086,0.039,0.996
201,0.141,0.074,0.957
202,0.090,0.086,0.996
203,0.117,0.105,1.000
204,0.141,0.066,0.969
205,0.156,0.094,0.961
206,0.203,0.137,0.973
207,0.145,0.141,1.020
208,0.129,0.129,0.988
209,0.137,0.113,0.914
210,0.129,0.109,0.992
211,0.156,0.160,0.980
212,0.133,0.141,0.996
213,0.129,0.148,0.961
214,0.164,0.105,0.953
215,0.055,0.129,0.984
216,0.113,0.141,0.945
217,0.102,0.125,0.992
218,0.160,0.180,0.984
219,0.109,0.098,0.992
220,0.031,0.164,0.988
221,0.109,0.105,0.949
222,0.109,0.137,1.000
223,0.125,0.129,1.020
224,0.051,0.078,0.965
