Sample,X,Y,Z
0,0.250,0.004,0.895
1,0.020,0.000,0.977
2,0.008,-0.008,0.973
3,-0.012,-0.004,0.973
4,-0.008,0.000,0.980
5,0.000,0.004,0.977
6,0.016,-0.004,0.988
7,0.000,-0.008,0.980
8,-0.020,0.000,0.977
9,-0.008,0.000,0.980
10,0.016,-0.008,0.984
11,0.008,0.000,0.977
12,-0.004,-0.008,0.973
13,-0.008,-0.008,0.988
14,0.000,-0.004,0.984
15,0.012,0.000,0.988
16,0.008,-0.008,0.980
17,-0.012,-0.004,0.988
18,-0.012,0.004,0.973
19,0.008,0.000,0.984
20,0.020,-0.008,1.008
21,-0.004,0.000,0.988
22,-0.020,-0.008,0.988
23,0.004,-0.004,0.980
24,0.012,-0.008,0.984
25,0.000,-0.004,0.988
26,0.000,-0.004,0.977
27,-0.004,-0.004,0.969
28,0.004,-0.004,0.977
29,0.008,-0.004,0.980
30,0.000,-0.008,0.980
31,-0.008,-0.004,0.973
32,-0.008,0.000,0.980
33,0.000,-0.008,0.977
34,0.000,0.000,0.980
35,0.000,-0.008,0.984
36,-0.004,-0.008,0.973
37,-0.004,-0.012,0.984
38,0.004,-0.004,0.992
39,0.004,0.000,0.977
40,0.004,-0.047,0.957
41,0.004,-0.004,0.977
42,-0.004,-0.004,0.992
43,0.000,-0.008,0.984
44,0.004,-0.008,0.977
45,-0.004,-0.012,0.984
46,-0.004,-0.008,0.977
47,0.000,-0.004,0.980
48,0.000,-0.004,0.988
49,0.000,0.004,0.973
50,-0.004,-0.004,0.980
51,0.004,0.000,0.992
52,0.004,-0.004,0.984
53,-0.004,-0.004,0.980
54,-0.004,-0.008,0.980
55,-0.004,-0.012,0.973
56,0.004,-0.004,0.977
57,-0.004,-0.004,0.992
58,0.004,-0.008,0.977
59,0.004,-0.004,0.969
60,0.008,-0.023,0.969
61,0.004,0.000,0.980
62,-0.008,0.000,0.992
63,0.000,-0.004,0.973
64,0.004,0.000,0.973
65,0.000,0.000,0.977
66,-0.004,0.000,0.980
67,-0.004,0.000,0.980
68,0.004,-0.004,0.980
69,0.008,-0.012,0.988
70,0.004,-0.004,0.980
71,-0.004,0.000,0.980
72,-0.004,0.000,0.980
73,0.008,-0.004,0.980
74,0.012,-0.008,0.973
75,-0.004,-0.004,0.980
76,-0.012,0.004,0.980
77,-0.004,0.000,0.988
78,0.004,0.000,0.977
79,0.004,-0.008,0.980
80,-0.004,-0.031,0.941
81,-0.020,-0.004,0.977
82,-0.004,-0.004,0.984
83,0.012,-0.004,0.969
84,0.000,-0.008,0.969
85,-0.008,-0.008,0.980
86,-0.008,0.000,0.984
87,0.004,-0.004,0.980
88,0.004,-0.012,0.973
89,0.000,-0.004,0.965
90,-0.016,-0.004,0.980
91,-0.004,0.000,0.980
92,0.020,-0.004,0.977
93,0.008,-0.008,0.969
94,-0.016,-0.008,0.988
95,-0.020,0.000,0.984
96,0.004,0.000,0.984
97,0.027,-0.008,0.977
98,0.000,-0.004,0.977
99,-0.023,-0.004,0.988
100,0.031,0.000,0.988
101,0.223,-0.035,0.984
102,0.316,-0.047,0.941
103,0.305,-0.020,0.973
104,0.242,0.023,1.000
105,0.293,0.035,1.016
106,0.461,0.016,0.984
107,0.602,-0.027,0.945
108,0.598,-0.020,1.000
109,0.500,0.004,1.000
110,0.461,0.008,1.000
111,0.484,-0.016,0.988
112,0.512,-0.027,0.980
113,0.492,-0.027,1.000
114,0.328,0.004,0.992
115,0.113,0.031,0.992
116,0.055,0.035,0.988
117,0.180,-0.020,0.969
118,0.230,-0.043,0.938
119,0.109,-0.016,0.941
120,-0.090,0.027,0.941
121,-0.156,0.055,0.984
122,-0.023,-0.016,0.961
123,0.180,-0.113,0.922
124,0.246,-0.125,0.941
125,0.117,-0.055,0.953
126,0.043,0.027,0.988
127,0.180,0.051,0.996
128,0.398,0.023,0.973
129,0.484,0.004,0.973
130,0.434,0.027,1.016
131,0.355,0.023,1.043
132,0.348,0.000,1.004
133,0.383,-0.004,0.957
134,0.480,0.000,0.984
135,0.500,0.031,1.047
136,0.457,0.012,1.031
137,0.422,-0.062,1.016
138,0.324,-0.160,0.949
139,0.215,-0.086,0.910
140,0.180,0.043,0.973
141,0.215,0.125,1.047
142,0.230,0.074,1.062
143,0.254,-0.117,0.941
144,0.117,-0.199,0.867
145,-0.027,-0.070,0.926
146,0.023,0.176,1.039
147,0.121,0.176,1.078
148,0.242,-0.062,1.012
149,0.156,-0.344,0.812
150,0.137,-0.141,0.816
151,0.090,0.148,1.082
152,0.320,0.438,1.098
153,0.359,0.027,1.094
154,0.340,-0.414,0.762
155,0.348,-0.219,0.766
156,0.367,0.043,1.242
157,0.449,0.527,1.020
158,0.348,-0.012,1.098
159,0.312,-0.293,0.684
