Sample,X,Y,Z
0,0.105,0.004,0.875
1,-0.004,-0.008,0.980
2,-0.004,0.000,0.969
3,0.000,-0.004,0.980
4,0.000,0.000,0.980
5,0.004,0.000,0.980
6,0.000,0.000,0.980
7,-0.012,0.000,0.984
8,0.000,-0.004,0.988
9,0.004,-0.004,0.984
10,0.000,0.000,0.980
11,-0.008,-0.008,0.980
12,-0.008,0.000,0.977
13,0.012,-0.004,0.980
14,0.004,-0.004,0.977
15,0.000,0.000,0.977
16,-0.004,-0.008,0.980
17,0.004,0.000,0.973
18,0.004,0.000,0.977
19,0.000,-0.004,0.977
20,0.004,-0.051,0.945
21,0.008,0.012,0.973
22,0.004,0.000,0.980
23,0.004,-0.004,0.984
24,0.000,-0.008,0.984
25,0.000,0.004,0.973
26,0.004,-0.004,0.977
27,0.000,0.000,0.973
28,0.000,0.000,0.977
29,0.000,0.000,0.977
30,0.004,-0.004,0.980
31,0.000,0.000,0.977
32,0.000,-0.008,0.980
33,-0.004,-0.004,0.996
34,0.000,-0.004,0.980
35,0.000,0.000,0.980
36,0.000,-0.004,0.988
37,0.000,-0.004,0.988
38,-0.004,-0.004,0.988
39,0.000,-0.004,0.980
40,0.004,-0.004,0.977
41,-0.004,-0.012,0.996
42,-0.004,-0.016,0.980
43,-0.004,-0.004,0.980
44,0.000,-0.004,0.973
45,0.000,-0.008,0.980
46,-0.004,0.000,0.984
47,0.000,-0.004,0.984
48,0.004,-0.008,0.984
49,0.008,-0.004,0.977
50,0.000,-0.004,0.973
51,-0.004,-0.008,0.977
52,0.008,-0.004,0.980
53,0.008,-0.004,0.984
54,0.008,-0.004,0.977
55,-0.004,-0.004,0.973
56,0.000,0.000,0.988
57,0.000,-0.004,0.984
58,0.000,-0.004,0.977
59,-0.004,-0.004,0.984
60,-0.023,0.004,1.039
61,0.000,-0.004,0.988
62,0.004,0.004,0.977
63,-0.008,-0.004,0.984
64,0.000,0.000,0.973
65,-0.004,0.000,0.977
66,0.004,-0.004,0.977
67,0.000,-0.004,0.984
68,0.004,-0.008,0.984
69,-0.004,-0.004,0.984
70,0.000,-0.004,0.980
71,0.004,-0.008,0.980
72,0.000,-0.004,0.984
73,-0.004,-0.004,0.980
74,-0.004,-0.004,0.977
75,0.004,-0.008,0.977
76,0.008,-0.004,0.977
77,-0.004,-0.004,0.977
78,-0.004,-0.004,0.992
79,0.008,-0.008,0.977
80,-0.004,0.020,0.984
81,-0.004,-0.004,0.984
82,-0.004,-0.008,0.977
83,0.004,-0.004,0.984
84,0.004,-0.004,0.977
85,0.000,-0.004,0.980
86,0.004,0.000,0.973
87,-0.004,-0.004,0.977
88,0.000,-0.004,0.977
89,0.004,0.004,0.992
90,-0.004,-0.004,0.988
91,-0.008,0.000,0.984
92,0.000,0.000,0.984
93,0.000,0.004,0.980
94,0.000,0.000,0.980
95,0.004,-0.008,0.984
96,0.000,0.000,0.988
97,0.000,0.000,0.980
98,0.004,-0.004,0.973
99,-0.008,-0.004,0.980
100,-0.027,-0.008,0.965
101,-0.023,-0.004,0.980
102,-0.016,0.023,0.973
103,-0.004,0.121,0.938
104,0.039,0.266,0.973
105,0.023,0.348,1.020
106,0.000,0.332,0.988
107,-0.039,0.254,0.945
108,0.035,0.324,0.918
109,0.039,0.492,0.938
110,0.020,0.652,1.008
111,-0.062,0.672,0.973
112,-0.035,0.547,0.934
113,0.066,0.422,0.922
114,0.098,0.449,0.941
115,0.039,0.516,0.969
116,-0.043,0.582,0.977
117,-0.074,0.500,1.004
118,-0.020,0.336,0.988
119,0.078,0.207,0.988
120,0.098,0.113,1.047
121,-0.004,0.145,1.055
122,-0.102,0.156,1.051
123,-0.105,0.129,1.027
124,-0.023,0.109,1.062
125,0.105,0.102,1.059
126,0.152,0.074,1.066
127,0.020,0.066,1.035
128,-0.152,-0.004,1.043
129,-0.148,-0.086,1.023
130,0.070,-0.109,0.977
131,0.141,-0.035,0.949
132,0.031,0.156,0.949
133,-0.059,0.270,0.965
134,-0.055,0.281,0.930
135,-0.004,0.199,0.926
136,0.020,0.098,0.895
137,0.000,0.105,0.863
138,-0.027,0.305,0.840
139,0.027,0.559,0.906
140,0.070,0.742,0.922
141,0.039,0.723,0.953
142,-0.109,0.535,0.922
143,-0.172,0.301,0.957
144,0.008,0.270,0.902
145,0.281,0.457,0.918
146,0.262,0.699,1.004
147,-0.023,0.723,1.070
148,-0.367,0.492,1.020
149,-0.215,0.195,0.992
150,0.223,0.086,1.035
151,0.449,0.242,1.082
152,0.082,0.352,1.113
153,-0.387,0.219,1.070
154,-0.340,0.035,1.035
155,0.219,0.023,1.051
156,0.402,0.055,1.145
157,-0.039,0.082,1.152
158,-0.434,-0.031,0.992
159,-0.191,-0.117,0.918
160,0.328,0.070,1.043
161,0.316,0.160,1.109
162,-0.055,0.211,1.031
163,-0.328,0.020,0.891
164,-0.184,-0.047,0.898
165,0.207,0.066,0.934
166,0.344,0.316,0.887
167,0.102,0.422,0.930
168,-0.281,0.453,0.902
169,-0.309,0.219,0.848
170,0.113,0.207,0.754
171,0.289,0.332,0.906
172,0.082,0.469,0.910
173,-0.117,0.555,0.816
174,-0.176,0.496,0.840
