Sample,X,Y,Z
0,0.250,0.000,0.883
1,0.020,-0.004,0.973
2,0.008,-0.008,0.973
3,-0.016,0.000,0.980
4,-0.020,0.012,0.988
5,0.012,0.000,0.973
6,0.012,-0.008,0.969
7,0.000,-0.008,0.977
8,-0.016,0.000,0.977
9,-0.008,0.000,0.988
10,0.012,-0.004,0.977
11,0.008,-0.020,0.977
12,-0.008,-0.008,0.980
13,-0.023,0.004,0.992
14,-0.004,0.000,0.988
15,0.012,-0.008,0.984
16,0.000,-0.008,0.973
17,-0.008,-0.004,0.977
18,-0.004,0.004,1.000
19,0.012,-0.004,0.973
20,-0.008,-0.031,0.973
21,-0.012,-0.004,0.977
22,-0.008,-0.004,0.980
23,0.008,-0.004,0.977
24,0.020,-0.008,0.969
25,-0.004,-0.008,0.973
26,-0.035,-0.004,0.980
27,-0.008,-0.004,0.988
28,0.020,-0.008,0.984
29,0.020,-0.012,0.973
30,-0.016,-0.004,0.977
31,-0.020,-0.004,0.992
32,0.008,0.004,0.980
33,0.020,0.000,0.984
34,0.004,-0.012,0.977
35,-0.008,-0.008,0.980
36,-0.008,0.000,0.992
37,0.008,0.000,0.980
38,0.008,0.000,0.984
39,-0.008,-0.012,0.977
40,0.020,-0.012,0.945
41,0.020,0.000,0.973
42,0.008,-0.004,0.980
43,-0.016,-0.008,0.984
44,-0.008,-0.004,0.977
45,0.004,-0.004,0.977
46,0.020,0.000,0.973
47,-0.004,0.000,0.977
48,-0.016,-0.004,0.984
49,-0.004,-0.008,0.973
50,0.016,-0.008,0.977
51,0.004,-0.004,0.977
52,-0.012,-0.004,0.984
53,-0.004,-0.004,0.977
54,0.000,-0.012,0.977
55,0.008,-0.004,0.977
56,0.000,-0.004,0.977
57,0.000,-0.004,0.977
58,-0.004,-0.004,0.988
59,0.000,-0.008,0.965
60,0.000,-0.012,0.973
61,0.012,-0.027,0.953
62,-0.008,-0.008,0.984
63,0.000,0.000,0.977
64,0.008,-0.008,0.977
65,0.000,-0.004,0.977
66,-0.008,0.004,0.980
67,-0.004,0.008,0.992
68,0.004,-0.008,0.980
69,0.004,0.000,0.977
70,0.000,-0.004,0.980
71,0.000,0.008,0.988
72,0.000,0.000,0.980
73,0.000,-0.008,0.973
74,0.000,-0.012,0.980
75,0.000,0.000,0.980
76,0.000,-0.004,0.988
77,0.004,-0.008,0.984
78,-0.004,-0.012,0.969
79,-0.008,0.000,0.980
80,0.004,-0.016,0.973
81,0.008,-0.004,0.977
82,0.008,-0.004,0.973
83,-0.008,-0.008,0.965
84,-0.008,0.000,0.988
85,0.000,0.004,0.980
86,0.012,-0.008,0.980
87,0.008,-0.012,0.969
88,-0.004,-0.004,0.973
89,-0.004,-0.004,0.984
90,0.008,0.004,0.980
91,0.004,-0.008,0.973
92,0.004,-0.016,0.969
93,-0.016,-0.004,0.984
94,-0.004,0.012,0.980
95,0.016,0.008,0.980
96,0.012,-0.004,0.977
97,-0.016,-0.008,0.969
98,-0.008,0.000,0.984
99,0.008,0.004,0.988
100,0.016,-0.039,1.023
101,0.031,-0.004,0.977
102,0.188,-0.047,0.984
103,0.297,-0.039,0.949
104,0.305,0.000,0.984
105,0.266,0.023,0.988
106,0.289,0.020,1.004
107,0.453,0.004,0.980
108,0.586,-0.016,0.949
109,0.598,-0.016,0.996
110,0.516,0.008,0.996
111,0.465,-0.008,0.996
112,0.496,-0.020,0.977
113,0.504,-0.016,0.973
114,0.461,-0.016,1.012
115,0.336,0.008,1.004
116,0.145,0.008,0.988
117,0.082,0.016,0.973
118,0.156,-0.008,0.965
119,0.215,-0.035,0.961
120,0.109,0.012,0.926
121,-0.062,0.008,1.008
122,-0.152,0.008,0.977
123,-0.012,-0.016,0.957
124,0.156,-0.098,0.926
125,0.246,-0.113,0.949
126,0.129,-0.066,0.961
127,0.047,0.012,0.973
128,0.188,0.039,0.988
129,0.387,0.027,0.984
130,0.453,0.008,0.980
131,0.418,0.031,1.012
132,0.352,-0.004,1.039
133,0.359,-0.016,1.000
134,0.391,0.000,0.957
135,0.480,0.004,0.988
136,0.480,0.004,0.988
137,0.500,0.051,1.047
138,0.465,0.016,1.043
139,0.441,-0.070,1.004
140,0.309,-0.145,0.953
141,0.230,-0.098,0.867
142,0.227,0.047,0.992
143,0.230,0.113,1.012
144,0.234,0.066,1.055
145,0.219,-0.113,0.941
146,0.090,-0.195,0.883
147,-0.016,-0.055,0.926
148,0.047,0.184,1.035
149,0.117,0.164,1.055
150,0.230,-0.066,1.004
151,0.160,-0.379,0.840
152,0.184,-0.137,0.809
153,0.121,0.164,1.090
154,0.277,0.438,1.094
155,0.293,0.039,1.098
156,0.301,-0.418,0.750
157,0.367,-0.219,0.766
158,0.387,0.059,1.223
159,0.453,0.539,1.039
160,0.344,0.020,1.020
161,0.344,-0.312,0.672
162,0.430,-0.195,0.887
163,0.434,0.117,1.211
164,0.395,0.254,1.082
165,0.207,0.035,0.949
166,0.254,-0.168,0.809
167,0.355,-0.141,1.000
168,0.297,0.023,1.141
169,0.273,0.133,0.973
170,0.129,-0.012,0.934
171,0.141,-0.047,1.031
172,0.176,-0.102,0.871
173,0.191,0.023,1.051
174,0.152,-0.016,1.105
175,0.070,0.012,0.898
176,0.008,0.016,0.945
177,0.250,-0.062,0.949
178,0.316,-0.031,1.027
179,0.152,0.059,0.953
180,0.137,-0.047,0.969
181,0.172,-0.027,0.965
182,0.195,0.098,0.930
183,0.445,0.016,1.012
184,0.438,-0.004,1.039
185,0.258,-0.027,0.934
186,0.355,-0.055,0.895
187,0.398,-0.035,0.973
188,0.383,0.070,1.023
189,0.383,0.020,1.035
190,0.383,-0.059,0.980
191,0.324,-0.035,0.973
192,0.277,-0.047,0.969
193,0.219,0.004,0.988
194,0.180,0.082,1.066
195,0.133,0.023,0.984
196,0.207,-0.035,0.996
197,0.227,-0.059,0.945
198,-0.008,-0.016,0.938
199,-0.039,0.078,1.027
200,0.055,0.000,0.980
201,0.211,-0.074,0.961
202,0.293,-0.086,0.926
203,0.246,-0.055,0.969
204,0.164,0.047,1.043
205,0.176,0.020,1.016
206,0.289,-0.086,0.926
207,0.348,-0.031,0.941
208,0.273,-0.062,0.957
209,0.312,0.102,1.031
210,0.359,0.047,1.051
211,0.363,-0.004,0.957
212,0.340,-0.016,0.926
213,0.238,-0.020,0.992
214,0.203,0.086,1.020
215,0.355,0.035,1.020
216,0.273,-0.039,0.902
217,0.320,-0.094,0.965
218,0.230,-0.055,0.926
219,0.316,-0.043,1.039
220,0.141,0.039,0.965
221,0.125,-0.051,0.992
222,0.152,-0.051,0.914
223,0.234,-0.043,1.004
224,0.164,0.039,0.949
225,0.160,0.043,1.059
226,-0.012,0.008,0.953
227,0.199,-0.012,0.965
228,0.277,-0.008,0.934
229,0.312,-0.016,1.082
230,0.270,0.031,1.016
231,0.281,-0.043,1.031
232,0.133,-0.078,0.895
233,0.262,-0.016,1.031
234,0.516,-0.102,0.934
235,0.457,0.016,1.051
236,0.246,-0.008,1.008
237,0.121,0.047,0.957
238,0.195,-0.125,0.973
239,0.367,0.082,0.895
240,0.418,-0.012,1.023
241,0.277,-0.016,0.973
242,0.141,0.020,1.051
243,0.219,-0.055,0.832
244,0.203,0.055,1.051
245,0.262,-0.051,0.941
246,0.238,0.082,0.957
247,0.121,-0.066,1.008
248,0.027,0.012,0.926
249,0.172,-0.004,1.039
250,0.324,-0.094,0.910
251,0.227,0.027,0.973
252,0.211,-0.055,1.031
253,0.164,-0.051,0.969
254,0.164,-0.051,0.969
255,0.250,-0.043,1.027
256,0.188,-0.004,0.930
257,0.344,0.020,1.016
258,0.434,0.027,1.055
259,0.359,-0.023,0.961
260,0.270,0.004,0.914
261,0.324,0.008,1.020
262,0.320,-0.043,0.980
263,0.383,0.070,0.992
264,0.320,-0.102,0.953
265,0.273,0.008,1.000
266,0.207,-0.008,0.988
267,0.309,-0.035,0.953
268,0.312,-0.039,1.020
269,0.207,-0.059,0.926
270,0.148,0.000,0.957
271,0.211,-0.031,1.059
272,0.195,0.023,0.898
273,0.086,0.023,0.988
274,0.082,0.031,1.031
275,0.266,-0.031,0.949
276,0.254,0.023,0.934
277,0.273,0.043,0.992
278,0.004,-0.020,0.965
279,0.262,0.086,0.969
280,0.203,0.047,0.914
281,0.297,-0.035,1.125
282,0.270,-0.078,0.938
283,0.211,-0.039,0.875
284,0.293,0.078,0.984
285,0.305,-0.039,1.113
286,0.242,-0.062,0.895
287,0.418,-0.004,0.926
288,0.504,-0.086,1.055
289,0.309,0.012,1.062
290,0.172,0.039,0.965
291,0.168,-0.098,0.938
292,0.316,0.059,1.121
293,0.402,-0.031,0.973
294,0.336,-0.074,0.965
295,0.238,-0.004,0.957
296,0.172,0.055,1.020
297,0.270,0.066,1.023
298,0.227,-0.020,0.922
299,0.094,0.035,0.980
300,0.105,-0.117,1.027
301,0.211,-0.059,0.926
302,0.117,-0.055,0.895
303,0.430,0.035,0.992
304,0.211,-0.102,0.977
305,0.305,0.094,0.941
306,0.090,0.012,0.930
307,-0.031,-0.004,1.062
308,0.273,0.145,0.918
309,0.211,-0.023,0.953
310,0.465,-0.027,1.039
311,0.270,-0.027,0.977
312,0.230,-0.078,0.918
313,0.301,0.043,1.004
314,0.379,0.012,1.066
315,0.348,-0.012,0.973
316,0.305,-0.023,0.945
317,0.246,-0.059,0.977
318,0.262,0.031,1.059
319,0.508,-0.020,1.004
320,0.348,-0.145,1.031
321,0.047,-0.016,0.891
322,0.070,0.051,1.004
323,0.203,0.027,1.070
324,0.465,0.035,1.070
325,0.105,-0.195,0.855
326,0.133,-0.078,1.035
327,-0.078,0.004,0.953
328,0.242,0.160,1.066
329,0.453,0.098,1.000
330,0.328,-0.035,0.988
331,-0.012,-0.098,0.930
332,-0.008,-0.031,0.918
333,0.199,0.027,0.934
334,0.398,0.059,1.043
