Sample,X,Y,Z
0,0.227,0.008,0.891
1,0.008,-0.008,0.984
2,-0.004,0.000,0.984
3,-0.004,0.000,0.977
4,0.008,-0.004,0.980
5,0.020,-0.008,0.977
6,-0.008,-0.004,0.977
7,-0.016,0.000,0.980
8,0.004,-0.008,0.980
9,0.020,-0.004,0.965
10,0.004,-0.004,0.977
11,-0.012,0.000,0.984
12,-0.012,0.000,0.977
13,0.008,0.000,0.984
14,0.012,-0.008,0.977
15,0.004,-0.008,0.973
16,-0.012,-0.004,0.973
17,-0.008,-0.004,0.977
18,0.008,-0.004,0.980
19,0.016,-0.004,0.973
20,-0.004,-0.043,1.000
21,-0.008,-0.016,0.957
22,0.000,0.004,0.984
23,0.020,-0.004,0.980
24,0.008,-0.008,0.973
25,-0.016,-0.008,0.973
26,-0.008,-0.004,0.984
27,0.012,0.000,0.984
28,0.004,-0.012,0.984
29,-0.008,-0.012,0.977
30,-0.004,-0.008,0.984
31,0.004,0.000,0.992
32,0.004,0.000,0.984
33,0.004,-0.008,0.977
34,-0.004,-0.004,0.973
35,-0.004,0.004,0.984
36,0.000,0.000,0.984
37,0.008,0.000,0.977
38,0.004,-0.012,0.973
39,-0.004,-0.004,0.973
40,0.000,0.000,0.996
41,-0.004,0.012,0.984
42,0.004,-0.004,0.969
43,0.000,-0.020,0.977
44,-0.008,0.000,0.973
45,-0.004,0.004,0.988
46,0.000,-0.004,0.996
47,0.004,-0.020,0.977
48,0.000,-0.008,0.965
49,0.000,-0.004,0.980
50,0.000,0.004,0.980
51,0.000,-0.008,0.980
52,0.016,-0.016,0.973
53,0.000,-0.008,0.980
54,-0.012,0.000,0.980
55,0.000,0.000,0.996
56,0.004,-0.012,0.984
57,0.008,-0.016,0.961
58,-0.008,-0.004,0.988
59,-0.008,0.004,0.996
60,0.016,-0.008,0.961
61,0.012,0.008,0.969
62,0.004,-0.012,0.977
63,-0.012,0.000,0.988
64,0.000,-0.004,0.984
65,0.012,-0.004,0.977
66,0.008,-0.008,0.973
67,-0.004,-0.004,0.973
68,-0.004,0.000,0.984
69,0.004,-0.004,0.980
70,0.004,-0.008,0.977
71,-0.008,-0.008,0.977
72,-0.008,0.000,0.980
73,0.000,-0.004,0.984
74,0.004,-0.004,0.984
75,0.000,-0.012,0.977
76,-0.004,0.000,0.977
77,-0.004,0.000,0.977
78,-0.004,-0.004,0.984
79,0.000,0.004,0.973
80,0.000,-0.008,0.984
81,0.012,-0.023,0.988
82,0.008,-0.020,0.992
83,-0.008,-0.004,0.977
84,-0.016,0.000,0.988
85,0.008,-0.008,0.988
86,0.023,-0.004,0.973
87,-0.008,-0.004,0.977
88,-0.012,0.004,0.988
89,-0.008,-0.004,0.992
90,0.016,-0.008,0.977
91,0.012,-0.012,0.973
92,-0.012,-0.008,0.988
93,-0.008,0.000,0.992
94,0.000,0.000,0.984
95,0.008,-0.004,0.969
96,0.000,-0.004,0.980
97,-0.004,-0.004,0.977
98,0.004,-0.004,0.973
99,0.004,-0.004,0.977
100,-0.008,-0.016,0.949
101,0.000,-0.012,0.973
102,0.000,-0.004,0.980
103,0.000,0.000,0.980
104,0.004,-0.004,0.977
105,-0.004,-0.008,0.973
106,-0.008,-0.004,0.980
107,0.004,-0.008,0.969
108,0.012,-0.004,0.980
109,-0.004,0.004,0.984
110,-0.016,0.004,0.980
111,0.000,-0.016,0.992
112,0.055,-0.016,0.965
113,0.086,0.008,0.949
114,-0.035,0.035,1.008
115,-0.051,0.070,1.016
116,0.027,0.000,0.984
117,0.055,0.016,0.941
118,0.113,0.043,0.961
119,0.066,0.066,1.012
120,0.078,0.070,1.004
121,0.105,0.043,0.953
122,0.102,0.078,0.961
123,0.125,0.105,1.000
124,0.117,0.145,0.977
125,0.141,0.090,0.984
126,0.109,0.094,0.953
127,0.113,0.078,0.969
128,0.098,0.105,0.984
129,0.113,0.125,0.969
130,0.129,0.098,0.980
131,0.086,0.109,0.969
132,0.074,0.090,0.969
133,0.059,0.129,0.973
134,0.094,0.109,0.980
135,0.098,0.121,0.977
136,0.066,0.094,0.980
137,0.066,0.090,0.973
138,0.074,0.094,0.977
139,0.133,0.094,0.977
140,0.148,0.094,1.012
141,0.125,0.078,0.984
142,0.125,0.078,0.992
143,0.098,0.062,0.977
144,0.102,0.082,0.969
145,0.129,0.074,0.973
146,0.137,0.074,0.980
147,0.137,0.078,0.969
148,0.121,0.074,0.980
149,0.129,0.102,0.988
