Sample,X,Y,Z
0,0.000,0.004,0.879
1,-0.004,-0.004,0.977
2,-0.004,0.000,0.977
3,0.000,-0.004,0.977
4,0.004,-0.008,0.973
5,0.000,0.000,0.980
6,-0.004,0.004,0.980
7,0.000,0.000,0.980
8,-0.004,0.000,0.977
9,0.004,-0.004,0.984
10,0.000,-0.012,0.984
11,0.000,-0.004,0.980
12,0.000,-0.008,0.980
13,-0.004,-0.004,0.980
14,0.000,-0.004,0.980
15,0.004,-0.004,0.977
16,-0.004,-0.008,0.980
17,0.000,-0.008,0.973
18,0.000,-0.004,0.977
19,0.004,-0.008,0.977
20,-0.012,-0.027,1.000
21,-0.004,-0.008,0.973
22,-0.004,-0.004,0.988
23,-0.004,-0.004,0.980
24,0.008,-0.004,0.977
25,-0.004,-0.008,0.977
26,-0.004,0.000,0.977
27,-0.004,-0.004,0.980
28,0.000,-0.004,0.969
29,0.008,-0.004,0.973
30,-0.004,-0.008,0.969
31,0.000,-0.004,0.977
32,0.000,0.000,0.980
33,0.004,0.000,0.973
34,0.004,-0.004,0.973
35,-0.004,-0.004,0.977
36,-0.008,-0.004,0.980
37,-0.008,-0.004,0.980
38,0.008,0.000,0.988
39,0.000,-0.004,0.988
40,0.000,-0.008,0.973
41,0.012,-0.020,0.957
42,0.000,-0.004,0.988
43,0.004,0.000,0.980
44,0.004,0.000,0.977
45,-0.004,-0.004,0.984
46,-0.008,-0.004,0.980
47,0.000,0.000,0.980
48,0.004,-0.004,0.980
49,-0.004,-0.004,0.969
50,-0.004,-0.008,0.977
51,0.000,0.004,0.977
52,0.000,-0.004,0.977
53,0.012,-0.008,0.977
54,-0.004,-0.008,0.973
55,0.000,-0.004,0.973
56,0.000,-0.008,0.977
57,0.000,-0.008,0.977
58,0.004,-0.004,0.973
59,0.004,-0.004,0.984
60,-0.004,-0.012,0.984
61,-0.004,-0.008,0.965
62,0.004,-0.012,0.977
63,0.000,0.000,0.984
64,-0.008,-0.008,0.984
65,-0.004,0.000,0.980
66,0.004,-0.004,0.980
67,-0.004,-0.004,0.980
68,0.000,0.000,0.977
69,0.000,0.000,0.973
70,0.004,-0.004,0.980
71,0.004,-0.008,0.980
72,-0.004,0.000,0.977
73,0.000,0.000,0.992
74,-0.004,-0.004,0.984
75,0.000,-0.008,0.980
76,0.004,-0.008,0.980
77,0.004,-0.008,0.980
78,-0.004,-0.008,0.980
79,0.008,0.000,0.980
80,0.004,-0.008,0.977
81,-0.008,-0.031,0.973
82,0.004,-0.008,0.973
