Sample,X,Y,Z
0,0.074,-0.016,0.875
1,-0.004,-0.008,0.980
2,0.000,0.000,0.977
3,0.000,-0.004,0.977
4,-0.008,-0.012,0.973
5,0.004,0.004,0.980
6,0.008,-0.008,0.977
7,0.000,-0.004,0.973
8,-0.004,0.000,0.977
9,-0.004,0.000,0.984
10,0.004,0.000,0.977
11,0.008,0.000,0.977
12,-0.004,0.004,0.984
13,-0.008,0.000,0.988
14,0.000,-0.008,0.980
15,0.000,-0.004,0.969
16,0.004,0.000,0.988
17,0.004,-0.004,0.988
18,-0.004,-0.004,0.977
19,-0.004,0.000,0.980
20,0.008,-0.008,0.973
21,0.008,0.000,0.977
22,0.000,0.004,0.984
23,-0.004,0.004,0.984
24,0.000,-0.008,0.980
25,0.012,-0.004,0.973
26,0.004,-0.004,0.973
27,-0.008,-0.004,0.977
28,-0.008,-0.004,0.984
29,0.008,-0.008,0.969
30,0.008,-0.012,0.969
31,0.000,-0.008,0.973
32,-0.008,0.000,0.977
33,-0.004,-0.004,0.973
34,0.000,-0.008,0.969
35,0.004,0.000,0.980
36,0.004,0.000,0.977
37,-0.004,0.000,0.977
38,0.000,0.000,0.977
39,0.004,0.000,0.980
40,0.008,-0.012,0.938
41,-0.004,-0.004,0.984
42,-0.008,0.000,0.977
43,0.004,-0.004,0.980
44,0.000,-0.004,0.977
45,0.000,0.000,0.977
46,-0.016,0.000,0.973
47,-0.004,0.000,0.988
48,0.016,-0.008,0.973
49,0.004,0.000,0.973
50,-0.012,0.000,0.988
51,-0.008,-0.004,0.984
52,0.012,-0.008,0.969
53,0.008,-0.004,0.984
54,0.000,-0.004,0.984
55,-0.008,0.000,0.984
56,-0.004,-0.004,0.973
57,-0.004,-0.004,0.973
58,0.012,-0.008,0.977
59,0.004,-0.004,0.980
60,0.000,-0.008,0.980
61,-0.008,0.000,1.012
62,-0.004,-0.008,0.969
63,0.008,-0.004,0.980
64,0.012,-0.004,0.977
65,0.004,0.000,0.977
66,-0.008,0.008,0.984
67,0.004,-0.008,0.969
68,0.012,0.000,0.984
69,0.000,-0.004,0.977
70,-0.008,0.000,0.980
71,-0.004,0.000,0.980
72,0.012,-0.008,0.973
73,0.008,0.004,0.973
74,0.000,0.000,0.980
75,-0.004,-0.004,0.980
76,0.000,-0.008,0.984
77,0.000,0.000,0.977
78,0.004,-0.004,0.977
79,-0.008,-0.004,0.980
80,-0.016,0.031,0.996
81,-0.004,-0.008,0.984
82,0.000,0.004,0.980
83,0.000,0.000,0.980
84,-0.012,0.004,0.973
85,0.000,-0.004,0.977
86,0.004,-0.004,0.977
87,0.016,0.000,0.977
88,0.000,-0.004,0.984
89,-0.012,-0.008,0.977
90,0.000,0.000,0.980
91,0.004,-0.004,0.973
92,0.000,-0.004,0.973
93,-0.004,0.000,0.988
94,0.000,-0.004,0.984
95,0.000,0.000,0.977
96,0.000,0.000,0.977
97,0.000,0.000,0.980
98,0.000,-0.004,0.973
99,-0.004,0.000,0.980
100,0.012,0.004,0.949
101,0.062,0.008,0.980
102,0.188,-0.031,0.984
103,0.285,-0.047,0.945
104,0.305,-0.031,0.977
105,0.281,0.000,0.980
106,0.332,0.051,1.008
107,0.465,0.027,1.004
108,0.582,-0.023,0.961
109,0.586,-0.020,0.984
110,0.500,-0.012,0.973
111,0.496,0.008,1.008
112,0.516,-0.016,1.000
113,0.504,-0.023,0.973
114,0.438,-0.016,0.992
115,0.301,-0.008,0.996
116,0.164,0.016,0.973
117,0.086,0.023,0.977
118,0.152,-0.004,0.973
119,0.188,-0.039,0.965
120,0.066,-0.020,0.934
121,-0.059,0.016,0.953
122,-0.121,0.039,0.984
123,-0.020,0.008,0.965
124,0.152,-0.078,0.930
125,0.184,-0.090,0.930
126,0.102,-0.051,0.953
127,0.062,0.016,0.957
128,0.203,0.051,1.000
129,0.391,0.008,0.977
130,0.461,0.004,0.977
131,0.395,-0.012,1.000
132,0.387,0.012,1.012
133,0.387,-0.012,1.016
134,0.406,0.008,0.984
135,0.480,0.027,1.020
136,0.480,0.027,1.020
137,0.492,0.031,1.023
138,0.477,0.016,1.012
139,0.449,-0.047,1.027
140,0.328,-0.121,0.980
141,0.180,-0.055,0.906
142,0.199,0.031,0.977
143,0.230,0.094,1.004
144,0.262,0.086,1.031
145,0.215,-0.086,0.969
146,0.082,-0.246,0.887
147,-0.035,-0.125,0.871
148,0.004,0.117,0.969
149,0.215,0.234,1.039
150,0.219,0.059,1.055
151,0.125,-0.254,0.902
152,0.102,-0.285,0.766
153,0.125,0.008,0.980
154,0.336,0.473,0.984
155,0.320,0.258,1.176
156,0.285,-0.289,0.965
157,0.293,-0.348,0.730
158,0.469,-0.035,1.105
159,0.461,0.363,0.914
160,0.344,0.324,1.070
161,0.289,-0.250,1.023
162,0.438,-0.250,0.820
163,0.496,-0.062,1.117
164,0.406,0.215,0.969
165,0.258,0.090,1.027
166,0.234,-0.125,0.914
167,0.363,-0.121,0.922
168,0.277,-0.031,1.082
169,0.258,0.191,0.992
170,0.121,-0.023,0.996
171,0.082,-0.117,0.996
172,0.180,-0.070,0.828
173,0.184,-0.031,1.090
174,0.148,0.051,1.055
175,0.062,-0.016,0.926
176,0.062,-0.055,0.895
177,0.156,-0.051,0.965
178,0.219,0.012,1.074
179,0.164,0.074,0.934
180,0.156,0.031,0.973
181,0.188,-0.031,0.949
182,0.309,0.023,0.922
183,0.430,-0.043,0.980
184,0.367,0.004,0.988
185,0.301,0.102,0.988
186,0.312,-0.020,0.969
187,0.496,0.004,0.961
188,0.477,-0.027,0.988
189,0.332,-0.059,1.000
190,0.297,0.012,0.980
191,0.289,0.020,0.992
192,0.375,-0.035,0.980
193,0.359,-0.066,0.992
194,0.184,-0.059,0.984
195,0.035,0.008,0.957
196,0.023,0.086,0.988
197,0.117,0.070,0.988
198,0.156,-0.035,0.977
199,0.082,-0.062,0.957
200,0.070,-0.094,0.855
201,0.016,0.023,0.938
202,0.160,0.062,1.012
203,0.262,-0.035,0.973
204,0.184,-0.059,0.949
205,0.180,-0.062,0.926
206,0.285,0.031,0.973
207,0.398,0.035,1.016
208,0.363,-0.012,1.023
209,0.277,-0.035,0.918
210,0.273,-0.031,1.004
211,0.383,0.109,1.000
212,0.426,0.035,1.055
213,0.293,-0.004,0.980
214,0.250,-0.016,0.977
215,0.301,-0.004,0.988
216,0.363,-0.012,1.035
217,0.410,-0.039,0.949
