Sample,X,Y,Z
0,0.105,0.004,0.871
1,-0.004,0.000,0.980
2,0.012,-0.008,0.984
3,0.004,-0.004,0.969
4,-0.004,-0.004,0.980
5,-0.004,0.004,0.973
6,0.008,0.000,0.980
7,0.008,-0.008,0.980
8,-0.004,-0.008,0.969
9,-0.008,0.000,0.980
10,-0.004,-0.004,0.977
11,0.008,-0.008,0.973
12,0.004,-0.012,0.984
13,-0.004,-0.012,0.973
14,-0.008,-0.012,0.980
15,0.000,-0.012,0.977
16,0.004,-0.004,0.973
17,0.004,-0.008,0.973
18,0.000,-0.008,0.969
19,-0.004,-0.008,0.984
20,0.016,-0.051,0.961
21,0.016,0.000,0.969
22,0.008,-0.004,0.973
23,-0.004,-0.004,0.980
24,-0.004,-0.004,0.984
25,0.004,-0.004,0.977
26,0.012,0.004,0.980
27,-0.004,0.000,0.973
28,-0.008,-0.008,0.988
29,-0.004,0.000,0.973
30,0.008,0.000,0.980
31,0.004,-0.008,0.973
32,0.000,-0.004,0.980
33,-0.008,-0.008,0.980
34,-0.004,0.000,0.973
35,0.000,-0.004,0.988
36,0.008,-0.004,0.980
37,0.004,-0.008,0.977
38,-0.016,-0.008,0.984
39,-0.004,-0.008,0.988
40,0.008,-0.051,1.000
41,0.023,-0.008,0.977
42,-0.004,-0.008,0.969
43,-0.020,-0.008,0.984
44,-0.012,-0.008,0.984
45,0.016,-0.008,0.980
46,0.023,-0.012,0.977
47,-0.012,-0.004,0.977
48,-0.020,-0.004,0.984
49,0.004,-0.004,0.973
50,0.023,-0.004,0.984
51,0.004,-0.008,0.973
52,-0.023,-0.004,0.984
53,-0.016,0.000,0.977
54,0.012,0.004,0.969
55,0.023,-0.004,0.980
56,0.000,0.000,0.977
57,0.000,0.000,0.977
58,-0.023,-0.004,0.980
59,0.000,-0.004,0.980
60,0.020,-0.004,0.980
61,0.020,0.000,0.977
62,-0.008,-0.008,0.977
63,-0.023,-0.004,0.980
64,0.000,-0.004,0.988
65,0.020,-0.004,0.980
66,0.004,-0.004,0.977
67,-0.027,0.000,0.980
68,-0.008,0.000,0.980
69,0.027,-0.012,0.977
70,0.016,-0.008,0.969
71,-0.016,-0.004,0.980
72,-0.020,0.000,0.992
73,0.000,-0.004,0.980
74,0.023,-0.012,0.973
75,0.000,-0.004,0.980
76,-0.016,0.000,0.973
77,-0.004,-0.004,0.977
78,0.008,-0.008,0.980
79,0.020,-0.004,0.977
80,-0.012,-0.031,0.938
81,-0.004,0.004,0.977
82,0.000,0.000,0.969
83,0.016,-0.008,0.973
84,0.008,-0.008,0.980
85,-0.008,0.000,0.980
86,-0.012,-0.004,0.992
87,0.008,0.000,0.980
88,0.012,0.000,0.977
89,0.000,-0.004,0.980
90,-0.016,0.000,0.984
91,0.008,-0.004,0.980
92,0.020,-0.004,0.980
93,0.000,-0.004,0.977
94,-0.016,0.000,0.988
95,-0.004,-0.004,0.988
96,0.012,-0.008,0.973
97,0.008,-0.004,0.977
98,-0.008,-0.008,0.988
99,-0.012,-0.004,0.980
100,0.012,-0.004,0.980
101,-0.016,-0.016,0.977
102,-0.039,0.000,0.965
103,-0.008,0.090,0.949
104,0.059,0.207,0.961
105,0.055,0.316,1.008
106,0.000,0.320,0.984
107,-0.039,0.289,0.957
108,0.012,0.320,0.895
109,0.070,0.492,0.945
110,0.066,0.656,1.000
111,-0.027,0.723,0.953
