Sample,X,Y,Z
0,0.051,-0.016,0.867
1,0.004,-0.039,0.941
2,0.004,-0.020,0.949
3,-0.004,-0.020,0.965
4,0.012,-0.031,0.957
5,0.008,-0.031,0.957
6,0.000,-0.023,0.961
7,-0.004,-0.023,0.965
8,0.012,-0.016,0.961
9,0.016,-0.027,0.949
10,-0.004,-0.023,0.973
11,-0.008,-0.023,0.977
12,0.004,-0.023,0.961
13,0.012,-0.027,0.957
14,-0.008,-0.020,0.984
15,0.000,-0.023,0.969
16,0.004,-0.027,0.949
17,-0.004,-0.027,0.965
18,-0.004,-0.023,0.973
19,0.004,-0.020,0.965
20,0.008,-0.016,0.957
21,-0.012,-0.012,0.961
22,0.000,-0.020,0.957
23,0.012,-0.023,0.961
24,0.008,-0.020,0.957
25,0.004,-0.008,0.957
26,0.000,-0.020,0.949
27,0.004,-0.023,0.957
28,0.004,-0.020,0.949
29,0.004,-0.020,0.949
30,0.004,-0.020,0.953
31,-0.008,-0.020,0.965
32,0.016,-0.023,0.961
33,0.016,-0.020,0.953
34,-0.008,-0.023,0.969
35,-0.004,-0.031,0.969
36,0.012,-0.027,0.953
37,0.012,-0.027,0.953
38,0.004,-0.031,0.961
39,0.008,-0.027,0.973
40,-0.004,-0.031,0.973
41,0.008,-0.039,0.930
42,0.012,-0.023,0.973
43,0.000,-0.031,0.973
44,0.008,-0.023,0.957
45,0.000,-0.027,0.961
46,0.000,-0.020,0.965
47,0.008,-0.016,0.969
48,0.000,-0.023,0.969
49,0.000,-0.020,0.953
50,0.000,-0.020,0.957
51,-0.004,-0.016,0.965
52,0.000,-0.016,0.977
53,0.004,-0.020,0.961
54,0.004,-0.020,0.941
55,-0.004,-0.023,0.961
56,-0.004,-0.020,0.965
57,0.008,-0.020,0.945
58,0.008,-0.023,0.965
59,0.000,-0.020,0.961
60,0.016,-0.031,0.898
61,0.008,-0.004,0.945
62,-0.004,-0.020,0.969
63,-0.008,-0.020,0.961
64,0.012,-0.023,0.953
65,0.004,-0.027,0.969
66,-0.004,-0.020,0.973
67,0.008,-0.031,0.965
68,0.016,-0.031,0.969
69,-0.008,-0.023,0.977
70,0.000,-0.027,0.973
71,0.012,-0.023,0.965
72,0.008,-0.027,0.965
73,-0.004,-0.027,0.969
74,0.000,-0.031,0.969
75,0.008,-0.027,0.969
76,-0.004,-0.016,0.961
77,0.004,-0.023,0.961
78,0.012,-0.020,0.957
79,0.008,-0.020,0.961
80,0.000,-0.059,0.973
81,0.004,-0.004,0.969
82,0.000,-0.020,0.953
83,0.008,-0.020,0.961
84,0.004,-0.023,0.945
85,0.000,-0.016,0.949
86,-0.004,-0.012,0.957
87,-0.004,-0.016,0.965
88,0.016,-0.016,0.949
89,0.008,-0.027,0.961
90,-0.008,-0.027,0.961
91,0.012,-0.027,0.945
92,0.004,-0.023,0.957
93,0.000,-0.023,0.969
94,0.004,-0.023,0.961
95,0.004,-0.027,0.957
96,0.004,-0.027,0.973
97,0.004,-0.027,0.973
98,-0.004,-0.023,0.977
99,0.004,-0.023,0.965
100,0.012,-0.023,0.969
101,0.090,-0.027,0.934
102,0.230,0.039,0.918
103,0.309,0.195,0.941
104,0.344,0.258,1.004
105,0.348,0.297,0.957
106,0.480,0.273,0.922
107,0.559,0.359,0.906
108,0.531,0.488,0.941
109,0.504,0.574,0.969
110,0.531,0.547,0.949
111,0.586,0.531,0.875
112,0.516,0.566,0.938
113,0.461,0.625,1.004
114,0.398,0.633,0.973
115,0.398,0.633,0.973
116,0.297,0.555,0.941
117,0.250,0.469,0.945
118,0.281,0.402,0.984
119,0.273,0.332,1.000
120,0.293,0.320,1.000
121,0.207,0.242,1.047
122,0.023,0.152,0.984
123,0.039,0.070,1.016
124,0.164,-0.008,1.008
125,0.242,0.004,0.969
126,0.129,0.109,1.012
127,0.059,0.086,1.062
128,0.203,-0.027,0.984
129,0.348,-0.113,0.883
130,0.371,0.012,0.918
131,0.324,0.156,1.016
132,0.301,0.207,0.996
133,0.320,0.125,0.859
134,0.496,0.082,0.852
135,0.570,0.219,0.945
136,0.484,0.387,0.973
137,0.371,0.453,0.914
138,0.320,0.410,0.871
139,0.379,0.414,0.848
140,0.477,0.477,0.930
141,0.359,0.605,0.996
142,0.270,0.613,0.969
143,0.207,0.551,0.910
144,0.234,0.508,0.891
145,0.332,0.508,1.000
146,0.293,0.520,1.031
147,0.277,0.473,0.992
148,0.164,0.414,1.012
149,0.215,0.340,1.020
150,0.320,0.297,1.047
151,0.340,0.262,1.062
152,0.297,0.246,1.059
153,0.262,0.246,1.027
154,0.250,0.141,1.051
155,0.402,0.098,1.027
156,0.547,0.062,1.051
157,0.367,0.148,0.992
158,0.156,0.145,1.055
159,0.238,0.000,0.977
160,0.461,-0.043,0.852
161,0.586,0.051,0.910
162,0.348,0.203,1.016
163,0.199,0.199,1.016
164,0.176,0.066,0.805
165,0.309,0.016,0.789
166,0.383,0.215,0.883
167,0.312,0.406,0.977
168,0.137,0.457,0.891
169,0.098,0.352,0.805
170,0.273,0.293,0.824
171,0.477,0.422,0.891
172,0.277,0.629,0.965
173,0.039,0.602,1.004
174,0.039,0.602,1.004
175,0.074,0.414,0.902
176,0.438,0.223,0.840
177,0.582,0.387,0.902
178,0.508,0.578,1.199
179,0.312,0.535,1.141
180,0.242,0.262,0.938
181,0.336,0.129,0.875
182,0.602,0.238,1.070
183,0.547,0.414,1.266
184,0.297,0.383,1.188
185,0.195,0.168,0.934
186,0.293,0.039,0.941
187,0.477,0.148,1.066
188,0.387,0.320,1.188
189,0.145,0.258,1.059
190,0.055,0.043,0.875
191,0.234,-0.043,0.805
192,0.402,0.176,0.941
193,0.297,0.262,1.133
194,0.297,0.262,1.133
195,0.121,0.227,0.871
196,-0.020,0.039,0.711
197,0.148,0.059,0.758
198,0.270,0.230,0.898
199,0.402,0.375,0.977
200,0.207,0.285,0.898
201,0.211,0.180,0.766
202,0.211,0.367,0.738
203,0.398,0.410,1.070
204,0.477,0.480,0.984
205,0.324,0.352,0.898
206,0.309,0.270,0.789
207,0.453,0.430,0.930
208,0.469,0.500,1.188
209,0.426,0.457,1.059
210,0.441,0.219,0.977
211,0.312,0.191,0.867
212,0.387,0.344,1.094
213,0.277,0.445,1.176
214,0.250,0.281,1.094
215,0.387,0.117,1.027
216,0.277,0.145,0.887
217,0.059,0.266,1.160
218,0.129,0.371,1.152
219,0.152,0.156,1.008
220,0.270,-0.008,0.977
221,0.285,0.129,0.848
222,0.020,0.281,1.008
223,0.098,0.312,1.199
224,0.359,0.078,0.910
225,0.301,-0.027,0.676
226,0.367,0.230,0.852
227,0.211,0.441,1.070
228,0.102,0.328,0.961
229,0.285,0.168,0.719
230,0.406,-0.012,0.727
231,0.629,0.234,0.879
232,0.289,0.508,0.934
233,0.293,0.477,0.965
234,0.418,0.211,0.801
235,0.332,0.215,0.789
236,0.383,0.277,1.000
237,0.359,0.465,1.027
238,0.180,0.414,0.984
239,0.039,0.430,0.926
240,0.020,0.184,1.000
241,-0.074,0.082,1.133
242,-0.184,-0.066,1.109
243,-0.059,-0.117,0.938
244,-0.273,0.051,1.055
245,-0.434,0.016,1.242
246,-0.270,-0.207,1.078
247,-0.109,-0.520,1.031
248,-0.062,-0.555,1.062
249,-0.340,-0.406,1.105
250,-0.297,-0.191,0.977
251,-0.148,-0.379,1.152
252,0.070,-0.262,0.887
253,0.191,-0.449,0.945
254,-0.020,-0.219,0.941
255,-0.066,-0.148,0.996
256,-0.074,-0.008,0.805
257,0.195,-0.180,0.844
258,0.316,0.031,0.848
259,0.078,0.035,0.836
260,0.094,0.121,0.863
261,-0.109,0.109,0.809
262,0.301,-0.023,0.766
263,0.352,0.223,0.824
264,0.078,0.320,0.906
265,-0.098,0.301,0.875
266,-0.145,0.270,0.832
267,0.215,0.094,0.961
268,0.180,0.141,0.840
269,0.215,0.328,1.094
270,-0.375,0.414,1.016
271,-0.312,0.246,1.023
272,0.195,0.035,1.059
273,0.203,-0.152,1.047
274,0.102,-0.016,1.109
275,-0.312,0.156,1.164
276,-0.148,-0.137,1.281
277,0.102,-0.250,0.902
278,0.316,-0.344,1.109
279,0.117,-0.242,1.109
280,-0.020,-0.184,1.145
281,-0.281,-0.207,0.980
282,-0.020,-0.363,0.953
283,0.363,-0.375,0.930
284,0.023,-0.258,0.906
285,-0.070,-0.066,0.957
286,-0.211,-0.109,0.809
287,-0.047,-0.199,0.844
288,0.094,-0.207,0.797
289,0.035,-0.184,0.855
290,-0.281,-0.008,0.715
291,-0.145,0.051,0.855
292,-0.105,0.082,0.793
293,0.008,0.062,0.875
294,0.016,0.000,0.770
295,-0.059,0.078,0.859
296,-0.148,0.184,0.906
297,-0.168,0.301,0.859
298,-0.004,0.078,0.973
299,0.328,0.059,0.945
300,0.055,0.035,0.938
301,-0.055,0.250,0.984
302,0.133,0.078,1.230
303,0.090,-0.125,1.039
304,0.270,-0.039,0.957
305,0.207,-0.059,1.176
306,0.016,0.070,1.184
307,-0.066,-0.008,1.199
308,0.012,-0.207,1.062
309,0.164,-0.277,1.043
310,0.141,-0.125,1.047
311,-0.152,0.043,1.113
312,-0.238,0.020,1.184
313,-0.387,-0.191,0.875
314,0.043,-0.332,0.906
315,0.012,-0.312,0.875
316,-0.090,-0.055,0.941
317,-0.262,0.094,0.914
318,-0.340,-0.055,0.816
319,-0.004,-0.230,0.816
320,0.160,-0.312,0.781
321,-0.090,-0.090,0.723
322,-0.129,0.090,0.945
323,-0.109,0.168,0.809
324,0.023,-0.035,0.777
325,0.379,-0.059,0.805
326,0.176,0.008,0.902
327,-0.102,0.023,1.000
328,-0.125,0.176,0.820
329,-0.023,-0.004,0.965
330,0.336,0.000,0.965
331,0.273,0.070,1.062
332,-0.059,0.141,0.996
333,-0.078,0.086,1.113
334,0.008,-0.031,1.082
335,0.188,-0.102,1.008
336,0.031,0.051,1.039
337,-0.145,-0.004,1.254
338,-0.117,0.094,1.051
339,-0.152,-0.129,1.062
340,-0.039,0.043,1.062
341,-0.137,-0.113,1.234
342,-0.422,-0.094,1.066
343,-0.527,-0.332,0.965
344,-0.324,-0.273,0.996
345,-0.480,-0.418,1.051
346,-0.398,-0.273,1.043
347,-0.406,-0.531,0.898
348,-0.434,-0.555,0.910
349,-0.539,-0.605,0.930
350,-0.293,-0.586,0.887
351,-0.488,-0.625,0.781
352,-0.211,-0.621,0.914
353,-0.449,-0.465,0.676
354,-0.242,-0.500,0.926
355,-0.113,-0.457,0.766
356,-0.465,-0.465,0.895
357,-0.184,-0.508,0.738
358,-0.066,-0.352,0.711
359,-0.133,-0.160,1.012
360,-0.293,-0.121,0.961
361,-0.281,-0.250,0.930
362,-0.238,-0.387,0.781
363,-0.016,-0.234,0.941
364,-0.211,0.070,1.051
365,-0.309,0.102,1.188
366,-0.465,-0.117,0.883
367,-0.289,-0.219,1.039
