Sample,X,Y,Z
0,0.117,-0.023,0.871
1,-0.004,-0.016,0.973
2,0.016,-0.023,0.961
3,0.004,-0.027,0.949
4,0.004,-0.016,0.961
5,-0.008,-0.027,0.961
6,0.008,-0.016,0.953
7,0.008,-0.016,0.953
8,0.008,-0.016,0.957
9,-0.004,-0.023,0.961
10,0.000,-0.023,0.957
11,0.000,-0.020,0.961
12,0.020,-0.020,0.969
13,0.000,-0.020,0.957
14,0.000,-0.020,0.961
15,0.004,-0.027,0.957
16,0.016,-0.027,0.957
17,0.004,-0.023,0.953
18,0.000,-0.016,0.965
19,0.008,-0.016,0.961
20,0.000,-0.027,0.949
21,0.012,-0.023,0.953
22,0.000,-0.020,0.961
23,-0.004,-0.012,0.969
24,0.000,-0.016,0.961
25,0.020,-0.027,0.949
26,0.012,-0.031,0.957
27,-0.012,-0.012,0.969
28,-0.012,-0.012,0.965
29,0.012,-0.020,0.965
30,0.016,-0.031,0.961
31,0.004,-0.023,0.957
32,-0.008,-0.020,0.965
33,-0.008,-0.016,0.969
34,0.012,-0.020,0.961
35,0.023,-0.027,0.957
36,-0.008,-0.031,0.957
37,-0.016,-0.008,0.969
38,0.000,-0.012,0.969
39,0.020,-0.023,0.957
40,0.008,-0.031,0.949
41,-0.012,-0.023,0.965
42,-0.008,-0.016,0.973
43,0.004,-0.020,0.969
44,0.031,-0.020,0.953
45,0.008,-0.020,0.953
46,-0.012,-0.023,0.961
47,0.000,-0.016,0.969
48,0.016,-0.023,0.965
49,0.027,-0.020,0.957
50,0.000,-0.027,0.957
51,-0.008,-0.020,0.969
52,0.016,-0.027,0.961
53,0.023,-0.023,0.965
54,0.000,-0.031,0.969
55,-0.008,-0.023,0.949
56,-0.012,-0.016,0.957
57,0.020,-0.016,0.965
58,0.016,-0.023,0.953
59,0.008,-0.020,0.949
60,-0.031,0.000,0.965
61,0.004,-0.020,0.961
62,0.020,-0.023,0.953
63,0.012,-0.020,0.949
64,-0.012,-0.023,0.965
65,-0.012,-0.020,0.969
66,0.004,-0.023,0.953
67,0.020,-0.020,0.957
68,0.008,-0.016,0.965
69,-0.016,-0.020,0.961
70,-0.004,-0.020,0.957
71,0.023,-0.023,0.953
72,0.023,-0.016,0.961
73,-0.008,-0.023,0.969
74,-0.008,-0.016,0.969
75,0.008,-0.031,0.953
76,0.039,-0.031,0.961
77,0.004,-0.020,0.965
78,-0.008,-0.008,0.957
79,-0.016,-0.027,0.965
80,0.027,-0.039,0.953
81,0.016,-0.035,0.934
82,0.004,-0.020,0.957
83,-0.027,-0.027,0.973
84,0.012,-0.012,0.953
85,0.012,-0.027,0.957
86,0.016,-0.027,0.953
87,-0.016,-0.027,0.969
88,-0.004,-0.016,0.961
89,0.004,-0.023,0.965
90,0.023,-0.023,0.961
91,0.008,-0.023,0.957
92,-0.016,-0.020,0.965
93,-0.035,-0.008,0.953
94,-0.043,0.012,0.949
95,0.004,0.164,0.902
96,0.082,0.410,0.945
97,0.090,0.695,0.957
98,-0.027,0.812,0.965
99,-0.113,0.816,0.910
100,-0.020,0.738,0.883
101,0.137,0.805,0.844
102,0.074,0.969,0.910
103,-0.105,1.180,0.922
104,-0.145,1.250,0.879
105,0.066,1.172,0.895
106,0.195,1.035,0.887
107,0.078,0.965,0.949
108,-0.156,0.930,0.938
109,-0.266,0.859,1.016
110,0.004,0.945,0.949
111,0.344,0.910,1.051
112,0.438,0.844,1.129
113,0.059,0.652,1.137
114,-0.453,0.375,1.121
115,-0.387,0.223,1.047
116,0.172,0.246,1.098
117,0.539,0.367,1.160
118,0.117,0.438,1.113
119,-0.371,0.234,1.184
120,-0.383,-0.016,0.977
121,-0.023,-0.121,0.977
122,0.250,-0.082,0.949
123,0.164,0.090,1.000
124,-0.234,0.227,0.883
125,-0.219,0.391,0.895
126,0.102,0.379,0.922
127,0.305,0.445,0.805
128,0.082,0.461,0.840
129,-0.223,0.559,0.770
130,-0.219,0.680,0.762
131,0.117,0.938,0.773
132,0.363,1.102,0.855
133,0.180,1.105,0.816
134,-0.238,1.012,0.785
135,-0.277,0.953,0.793
136,-0.004,1.020,0.863
137,0.223,1.102,0.941
138,0.281,1.164,0.902
139,-0.129,1.023,0.949
140,-0.191,0.945,0.977
141,-0.047,0.852,1.027
142,0.219,0.797,1.129
143,0.125,0.691,1.125
144,-0.043,0.598,1.078
145,-0.234,0.531,1.102
146,0.043,0.574,1.242
147,0.223,0.473,1.277
148,0.117,0.367,1.215
149,-0.230,0.215,1.141
150,-0.176,0.098,1.148
151,0.000,0.129,1.105
152,0.184,0.270,1.188
153,0.043,0.281,1.168
154,-0.074,0.293,1.012
155,-0.184,0.195,0.887
156,0.133,0.199,0.969
157,0.242,0.258,0.938
158,0.008,0.516,0.828
159,-0.086,0.504,0.883
160,0.004,0.504,0.777
161,-0.098,0.562,0.676
162,0.070,0.680,0.676
