Sample,X,Y,Z
0,0.246,0.000,0.879
1,-0.012,-0.004,0.992
2,0.008,0.004,0.980
3,0.008,-0.004,0.984
4,0.000,-0.004,0.977
5,-0.012,0.000,0.984
6,-0.008,0.004,0.984
7,0.004,0.004,0.984
8,0.012,-0.004,0.977
9,-0.012,-0.004,0.977
10,-0.020,-0.004,0.977
11,0.008,0.000,0.984
12,0.020,0.000,0.992
13,0.012,-0.008,0.973
14,-0.016,0.000,0.977
15,-0.016,-0.004,0.988
16,0.012,0.000,0.992
17,0.012,-0.004,0.980
18,-0.008,-0.004,0.977
19,-0.020,0.000,0.988
20,0.008,0.035,1.012
21,0.012,0.000,0.984
22,0.000,-0.004,0.980
23,-0.012,-0.012,0.984
24,-0.008,-0.004,0.977
25,0.012,-0.004,0.980
26,0.012,-0.008,0.977
27,0.000,0.000,0.980
28,-0.012,-0.004,0.980
29,0.000,-0.004,0.977
30,0.008,0.004,0.977
31,0.004,-0.004,0.984
32,-0.004,-0.004,0.973
33,-0.008,0.004,0.977
34,0.000,0.000,0.984
35,0.004,0.000,0.980
36,0.000,0.004,0.977
37,-0.008,-0.004,0.977
38,0.000,-0.004,0.977
39,0.008,0.000,0.980
40,-0.004,0.012,0.988
41,0.004,-0.020,0.988
42,0.000,-0.004,0.980
43,-0.008,0.000,0.973
44,-0.004,0.000,0.977
45,0.004,0.000,0.984
46,0.004,-0.008,0.980
47,0.000,-0.004,0.980
48,-0.008,-0.012,0.988
49,0.000,-0.004,0.980
50,0.012,-0.004,0.977
51,0.000,-0.008,0.984
52,-0.004,-0.008,0.984
53,0.000,-0.004,0.973
54,0.000,0.000,0.977
55,0.008,-0.004,0.980
56,0.004,-0.004,0.984
57,-0.008,-0.012,0.973
58,-0.008,0.000,0.980
59,0.012,-0.004,0.977
60,0.000,0.000,0.977
61,0.004,-0.016,0.961
62,-0.008,0.000,0.973
63,0.000,-0.004,0.984
64,0.004,0.008,0.984
65,0.008,0.000,0.988
66,0.000,0.000,0.977
67,-0.008,0.000,0.980
68,-0.008,-0.004,0.973
69,0.012,0.000,0.980
70,0.004,-0.004,0.992
71,-0.012,0.000,0.980
72,-0.012,-0.004,0.988
73,0.008,-0.004,0.988
74,0.012,0.000,0.980
75,0.004,0.000,0.988
76,-0.012,-0.008,0.984
77,-0.004,0.000,0.977
78,0.008,0.004,0.996
79,0.004,0.000,0.977
80,-0.020,-0.008,0.926
81,0.000,-0.012,0.977
82,0.008,0.000,0.984
83,0.012,-0.004,0.980
84,0.004,-0.004,0.973
85,-0.012,-0.008,0.980
86,-0.004,-0.012,0.977
87,0.012,0.004,0.977
88,0.008,-0.004,0.980
89,0.000,-0.004,0.973
90,-0.008,-0.004,0.984
91,0.004,0.000,0.973
92,0.004,0.004,0.980
93,0.000,0.000,0.984
94,-0.004,-0.004,0.980
95,0.004,0.000,0.980
96,0.000,-0.004,0.980
97,0.004,0.000,0.980
98,-0.004,-0.008,0.988
99,-0.004,0.000,0.977
100,0.035,0.023,1.035
101,0.195,-0.039,0.984
102,0.312,-0.035,0.945
103,0.301,-0.016,0.980
104,0.250,0.020,0.980
105,0.289,0.039,1.008
106,0.445,0.020,0.980
107,0.605,-0.027,0.957
108,0.590,-0.027,0.980
109,0.488,0.004,1.016
110,0.445,0.008,1.004
111,0.488,-0.012,0.984
112,0.535,-0.027,0.973
113,0.480,-0.035,0.984
114,0.324,0.000,0.992
115,0.148,0.035,0.996
116,0.090,0.035,0.984
117,0.191,-0.016,0.973
118,0.211,-0.027,0.945
119,0.105,-0.016,0.945
120,-0.031,0.012,1.004
121,-0.125,0.043,0.977
122,-0.035,0.000,0.973
123,0.164,-0.113,0.926
124,0.234,-0.125,0.934
125,0.125,-0.062,0.957
126,0.039,0.031,0.996
127,0.141,0.043,0.996
128,0.371,0.039,0.965
129,0.457,-0.012,0.953
130,0.434,0.035,1.031
131,0.383,0.000,1.035
132,0.355,0.012,0.996
133,0.336,0.012,0.957
134,0.469,0.012,0.992
135,0.480,0.023,1.035
136,0.480,0.023,1.035
137,0.449,0.047,1.043
138,0.398,-0.070,1.004
139,0.332,-0.145,0.957
140,0.238,-0.105,0.922
141,0.250,0.023,0.984
142,0.234,0.098,1.039
143,0.234,0.082,1.051
144,0.227,-0.078,0.941
145,0.129,-0.180,0.898
146,0.012,-0.066,0.902
147,0.027,0.160,1.035
148,0.133,0.152,1.055
149,0.266,-0.043,1.016
150,0.168,-0.324,0.820
151,0.141,-0.121,0.836
152,0.047,0.133,1.066
153,0.293,0.391,1.102
154,0.340,0.043,1.059
155,0.332,-0.379,0.773
156,0.297,-0.219,0.805
157,0.320,0.055,1.164
158,0.438,0.449,1.062
159,0.414,0.016,1.098
160,0.289,-0.254,0.730
161,0.391,-0.172,0.895
162,0.422,0.082,1.215
163,0.395,0.199,1.059
164,0.289,0.027,0.941
165,0.262,-0.113,0.805
166,0.340,-0.117,1.047
167,0.340,0.027,1.094
168,0.293,0.121,0.961
169,0.141,0.000,0.969
170,0.137,-0.031,1.035
171,0.121,-0.109,0.840
172,0.273,0.043,1.035
173,0.254,-0.082,1.086
174,0.062,0.012,0.941
175,-0.031,0.039,0.926
176,0.156,-0.074,0.941
177,0.227,-0.027,1.039
178,0.246,0.102,0.980
179,0.180,-0.016,0.961
180,0.168,0.000,1.020
181,0.090,0.051,0.883
182,0.348,0.000,0.996
183,0.445,0.004,1.039
184,0.363,0.012,0.992
185,0.332,-0.059,0.918
186,0.301,-0.020,0.922
187,0.328,-0.004,1.023
188,0.457,0.055,1.035
189,0.457,-0.004,0.984
190,0.312,-0.027,0.988
191,0.223,-0.074,0.957
192,0.246,-0.020,0.953
193,0.285,0.066,1.043
194,0.250,0.035,0.996
195,0.145,0.008,0.977
196,0.074,-0.020,0.965
197,0.027,-0.039,0.934
198,0.086,0.016,1.035
199,0.180,0.035,0.957
200,0.137,-0.012,0.992
201,0.164,-0.074,0.953
202,0.062,-0.062,0.926
203,0.188,0.012,1.023
204,0.270,0.043,1.012
205,0.305,-0.051,1.031
206,0.238,-0.012,0.891
207,0.266,-0.070,0.977
208,0.215,0.035,1.008
209,0.434,0.062,1.020
210,0.480,-0.023,0.957
211,0.316,0.012,0.996
212,0.199,0.039,0.996
213,0.207,0.008,0.961
214,0.383,0.062,1.000
215,0.348,-0.004,0.949
216,0.320,-0.070,0.957
217,0.199,-0.074,0.953
218,0.254,-0.059,0.988
219,0.285,0.020,0.930
220,0.234,-0.027,0.992
221,0.082,0.031,0.961
222,0.098,-0.051,1.020
223,0.043,0.004,0.910
224,0.160,0.012,1.020
225,0.191,0.039,0.992
226,0.297,-0.027,1.023
227,0.125,-0.039,0.918
228,0.176,-0.012,1.035
229,0.168,-0.023,0.984
230,0.336,0.082,1.074
231,0.309,-0.039,0.938
232,0.230,-0.055,1.031
233,0.230,-0.137,0.918
234,0.312,0.012,0.996
235,0.438,0.012,0.988
236,0.379,0.082,1.047
237,0.211,-0.105,0.930
238,0.176,0.047,0.852
239,0.379,-0.027,1.047
240,0.418,0.039,0.965
241,0.379,0.008,1.023
242,0.336,-0.055,0.805
243,0.070,0.020,1.086
244,0.211,-0.023,0.945
245,0.238,0.031,0.977
246,0.180,-0.074,1.000
247,0.086,0.047,0.883
248,0.086,-0.023,1.059
249,0.324,-0.027,0.926
250,0.238,0.031,1.020
251,0.066,-0.043,1.047
252,0.105,-0.020,0.902
253,0.133,-0.090,1.039
254,0.250,-0.043,0.906
255,0.406,0.055,1.047
256,0.285,-0.051,1.023
257,0.230,0.082,0.918
258,0.301,0.004,1.012
259,0.352,-0.008,0.965
260,0.473,0.070,0.988
