Sample,X,Y,Z
0,0.223,-0.004,0.879
1,-0.008,0.000,0.980
2,0.031,-0.004,0.980
3,0.012,-0.012,0.973
4,-0.016,-0.008,0.973
5,-0.023,0.000,0.980
6,0.016,-0.008,0.980
7,0.039,-0.004,0.973
8,-0.004,-0.004,0.965
9,-0.031,0.004,0.984
10,-0.008,0.000,0.988
11,0.027,-0.004,0.969
12,0.027,-0.004,0.973
13,-0.012,0.000,0.969
14,-0.016,0.000,0.984
15,0.004,-0.004,0.980
16,0.020,-0.004,0.977
17,-0.004,0.000,0.977
18,-0.012,0.000,0.988
19,-0.004,-0.004,0.984
20,0.008,0.008,1.051
21,0.004,0.000,0.965
22,-0.004,-0.004,0.980
23,-0.004,-0.008,0.984
24,0.004,-0.008,0.973
25,0.004,-0.008,0.980
26,0.000,-0.008,0.977
27,0.000,-0.004,0.977
28,-0.004,-0.008,0.988
29,0.004,-0.004,0.973
30,0.008,-0.012,0.984
31,-0.004,-0.004,0.977
32,0.000,-0.008,0.973
33,0.000,-0.008,0.980
34,0.004,-0.008,0.969
35,0.004,-0.004,0.977
36,0.004,0.000,0.977
37,0.004,0.000,0.977
38,-0.004,-0.004,0.973
39,0.000,0.000,0.977
40,0.000,0.000,0.984
41,0.000,-0.008,0.992
42,0.004,-0.008,0.973
43,-0.012,-0.004,0.980
44,0.008,-0.008,0.977
45,0.004,0.000,0.980
46,0.000,-0.004,0.980
47,0.000,-0.004,0.980
48,0.004,-0.008,0.984
49,0.004,-0.004,0.980
50,0.000,-0.004,0.977
51,-0.004,-0.004,0.977
52,0.004,-0.004,0.973
53,0.008,0.000,0.984
54,0.000,0.000,0.984
55,-0.004,-0.004,0.973
56,-0.008,-0.004,0.980
57,-0.004,-0.008,0.980
58,0.004,-0.004,0.980
59,0.008,-0.004,0.980
60,0.016,-0.016,0.938
61,-0.008,0.000,0.996
62,0.008,-0.004,0.984
63,0.012,-0.004,0.980
64,0.008,-0.008,0.984
65,-0.012,-0.004,0.973
66,-0.008,-0.004,0.977
67,0.012,-0.004,0.984
68,0.012,0.000,0.977
69,-0.012,-0.004,0.977
70,-0.012,-0.004,0.984
71,0.008,-0.004,0.973
72,0.016,0.004,0.977
73,0.004,0.000,0.984
74,-0.012,-0.004,0.980
75,-0.004,0.004,0.984
76,0.000,-0.004,0.984
77,0.016,-0.004,0.969
78,0.004,-0.008,0.977
79,-0.023,-0.004,0.980
80,-0.012,-0.023,0.957
81,0.020,0.008,0.980
82,0.000,-0.008,0.977
83,-0.004,0.000,0.984
84,-0.012,-0.008,0.984
85,0.004,-0.004,0.984
86,0.000,0.000,0.984
87,0.004,-0.008,0.977
88,-0.004,-0.008,0.980
89,0.000,-0.004,0.988
90,-0.004,-0.008,0.973
91,0.000,-0.008,0.977
92,0.008,-0.004,0.988
93,0.008,-0.008,0.973
94,0.000,-0.004,0.973
95,-0.008,-0.008,0.977
96,-0.004,0.000,0.980
97,0.012,0.000,0.969
98,0.020,-0.004,0.977
99,-0.008,-0.004,0.980
100,-0.020,-0.035,0.965
101,-0.020,0.004,0.980
102,-0.016,0.008,0.965
103,0.004,0.102,0.945
104,0.035,0.223,0.973
105,0.055,0.324,1.008
106,0.016,0.328,0.992
107,-0.043,0.293,0.945
108,-0.004,0.316,0.918
109,0.055,0.492,0.941
110,0.066,0.664,1.004
111,-0.047,0.695,0.965
112,-0.070,0.551,0.965
113,-0.008,0.379,0.891
114,0.062,0.340,0.926
115,0.062,0.434,0.969
116,-0.004,0.523,0.988
117,-0.090,0.484,0.977
118,-0.066,0.367,0.961
119,0.027,0.270,0.984
120,0.145,0.270,1.012
121,0.141,0.262,1.059
122,0.000,0.246,1.039
123,-0.168,0.160,1.008
124,-0.133,0.066,1.047
125,0.082,-0.016,1.074
126,0.195,-0.027,1.047
127,0.016,0.016,1.016
128,-0.199,0.051,1.008
129,-0.160,0.094,1.027
130,0.152,0.090,1.020
131,0.234,0.059,0.965
132,-0.012,-0.004,0.980
133,-0.223,-0.047,0.926
134,-0.125,-0.004,0.883
135,0.082,0.176,0.914
136,0.219,0.391,0.922
137,0.129,0.496,0.918
138,-0.137,0.445,0.879
139,-0.230,0.305,0.922
140,-0.090,0.188,0.945
141,0.094,0.336,0.898
142,0.234,0.637,0.906
143,0.191,0.812,0.977
144,-0.023,0.758,0.953
145,-0.281,0.512,0.949
146,-0.258,0.199,0.957
147,0.113,0.195,1.008
148,0.379,0.457,0.953
149,0.266,0.621,1.078
150,-0.223,0.555,1.059
151,-0.418,0.254,1.020
152,-0.043,0.039,1.031
153,0.391,0.051,1.078
154,0.332,0.160,1.168
155,-0.250,0.164,1.047
156,-0.410,0.031,1.027
157,0.016,0.043,1.031
158,0.457,0.113,1.156
159,0.188,0.086,1.125
160,-0.320,-0.004,0.992
161,-0.402,-0.137,0.906
162,0.141,-0.008,1.004
163,0.410,0.195,1.047
164,0.191,0.324,1.008
165,-0.191,0.207,0.859
166,-0.395,0.039,0.855
167,-0.086,0.027,0.879
168,0.387,0.270,0.863
169,0.320,0.441,0.918
170,-0.156,0.555,0.836
171,-0.383,0.387,0.816
172,-0.145,0.320,0.777
173,0.270,0.367,0.922
174,0.266,0.453,0.930
175,0.043,0.520,0.844
176,-0.270,0.441,0.812
177,-0.258,0.383,0.965
178,0.242,0.406,0.988
179,0.289,0.387,1.035
180,0.035,0.332,1.012
181,-0.152,0.230,0.930
182,-0.164,0.207,1.035
183,0.117,0.238,1.129
184,0.312,0.242,1.172
185,0.066,0.184,1.137
186,-0.195,0.133,1.027
187,-0.145,0.023,1.070
188,0.027,0.062,1.152
189,0.188,0.129,1.152
190,0.020,0.070,1.102
191,-0.176,0.047,1.031
192,-0.125,0.043,0.973
193,0.043,0.098,1.012
194,0.082,0.129,1.035
195,-0.062,0.133,0.992
196,-0.141,0.094,0.918
197,-0.004,0.109,0.832
198,0.172,0.215,0.914
199,0.195,0.312,0.934
200,-0.012,0.312,0.906
201,-0.168,0.293,0.852
202,-0.066,0.262,0.801
203,0.219,0.320,0.836
204,0.152,0.477,0.871
205,-0.031,0.449,0.914
206,-0.219,0.449,0.879
207,-0.172,0.398,0.836
208,0.121,0.398,0.887
209,0.109,0.320,0.957
210,-0.055,0.320,0.918
211,-0.188,0.215,0.949
212,-0.016,0.242,0.961
213,0.129,0.297,1.023
214,0.191,0.305,1.047
215,0.035,0.250,1.055
216,0.031,0.168,1.121
217,-0.059,0.098,1.023
218,0.059,0.164,1.191
219,0.047,0.207,1.121
220,0.082,0.250,1.121
221,-0.094,0.223,1.152
222,-0.121,0.141,1.156
223,-0.152,0.078,1.047
224,0.000,0.082,1.070
225,-0.020,0.082,1.039
226,0.109,0.141,1.051
227,-0.078,0.191,0.906
228,0.023,0.254,1.031
229,-0.055,0.207,0.898
230,0.148,0.258,0.977
231,0.051,0.160,0.793
232,0.047,0.289,0.918
233,-0.176,0.301,0.824
234,0.059,0.410,0.918
235,0.070,0.305,0.801
236,0.062,0.344,0.887
237,-0.082,0.359,0.789
238,-0.113,0.430,0.973
239,0.004,0.387,0.867
240,0.066,0.340,0.891
241,0.094,0.316,0.898
242,0.035,0.340,0.895
243,-0.066,0.316,1.008
244,0.004,0.309,1.008
245,-0.070,0.121,1.012
246,0.016,0.137,0.953
247,0.039,0.203,0.984
248,0.152,0.184,1.195
249,-0.109,0.230,0.988
250,-0.047,0.207,1.129
251,0.059,0.125,1.086
252,0.176,0.133,1.094
253,-0.023,0.074,1.090
254,-0.141,0.133,1.059
255,-0.012,0.191,1.156
256,0.078,0.180,1.070
257,-0.027,0.281,1.031
258,-0.203,0.262,1.035
259,0.004,0.219,1.031
260,0.137,0.266,0.875
261,0.207,0.285,1.000
262,-0.016,0.324,0.973
263,-0.164,0.348,0.895
264,0.059,0.203,0.918
265,0.195,0.250,0.859
266,0.027,0.164,0.836
267,-0.031,0.250,0.883
268,-0.246,0.277,0.871
269,-0.078,0.344,0.840
270,0.117,0.449,0.855
271,0.043,0.406,0.992
272,0.047,0.320,0.840
273,-0.008,0.250,0.938
274,-0.008,0.137,0.895
275,0.043,0.211,0.969
276,-0.055,0.277,1.020
277,0.039,0.324,0.973
278,0.031,0.344,1.020
279,0.082,0.152,1.008
280,-0.125,0.148,0.973
281,0.094,0.188,1.148
282,0.020,0.035,0.984
283,0.160,0.137,1.090
284,-0.098,0.172,0.977
285,-0.168,0.246,1.074
286,0.008,0.258,1.195
287,0.062,0.004,0.992
288,-0.004,0.023,1.016
289,0.008,0.113,0.938
290,0.039,0.270,1.137
291,-0.094,0.504,0.969
292,0.070,0.465,1.168
293,-0.070,0.141,0.945
294,0.047,-0.121,0.934
295,0.066,0.098,0.852
296,0.148,0.438,1.016
297,-0.008,0.652,1.059
298,-0.109,0.496,0.926
299,-0.137,0.191,0.758
300,0.148,0.090,0.887
301,0.066,0.137,0.898
302,0.000,0.414,0.910
303,-0.164,0.391,0.840
304,-0.051,0.473,0.871
305,0.184,0.352,0.875
306,0.113,0.359,0.992
307,-0.133,0.168,0.980
308,-0.086,-0.020,0.898
309,0.008,0.062,0.816
310,0.156,0.414,0.961
311,0.027,0.629,1.129
312,-0.121,0.375,1.129
313,-0.051,0.031,0.875
314,0.086,-0.102,0.969
315,-0.004,0.020,1.105
316,-0.125,0.320,1.109
317,-0.105,0.340,1.043
318,0.098,0.332,1.078
319,0.090,0.188,1.039
320,0.008,0.129,1.090
321,-0.051,0.066,1.059
322,0.059,0.016,1.000
323,0.086,0.156,1.000
324,0.070,0.312,1.004
325,-0.090,0.414,1.043
326,-0.098,0.410,1.023
327,0.020,0.242,0.965
328,0.047,0.102,0.957
329,-0.051,0.164,0.832
330,-0.035,0.328,0.957
331,-0.047,0.605,0.941
332,0.125,0.562,1.031
333,0.078,0.344,0.867
334,-0.008,0.168,0.848
335,-0.129,0.172,0.906
336,-0.023,0.262,1.000
337,0.121,0.430,0.891
338,0.059,0.359,0.918
339,0.102,0.250,0.895
340,-0.016,0.090,0.922
341,-0.059,0.047,0.922
342,-0.137,0.117,0.949
343,0.004,0.148,1.020
344,0.039,0.195,0.895
345,0.180,0.422,1.062
346,-0.133,0.137,1.031
347,-0.059,0.090,1.078
348,-0.094,0.070,0.945
349,0.020,0.152,1.078
350,-0.016,0.363,1.031
351,0.199,0.406,1.164
352,0.184,0.359,0.988
353,0.016,0.238,1.035
354,-0.223,0.164,1.004
355,-0.188,0.207,1.004
356,0.086,0.191,1.043
357,0.332,0.355,0.902
358,0.191,0.336,0.969
359,-0.285,0.371,0.984
360,-0.406,0.465,0.977
361,0.117,0.176,1.031
362,0.348,0.074,0.859
363,0.305,0.285,1.016
364,-0.129,0.301,0.965
365,-0.348,0.434,0.938
366,-0.273,0.598,0.828
367,0.266,0.074,1.277
368,0.227,-0.043,0.730
369,0.102,0.051,0.977
370,-0.051,0.305,1.023
371,-0.305,0.457,0.789
372,-0.121,0.613,1.000
373,0.207,0.082,1.059
374,0.137,-0.164,0.777
375,0.070,-0.035,1.035
376,-0.098,-0.016,0.938
377,-0.145,0.012,0.949
378,0.023,-0.094,1.055
