Sample,X,Y,Z
0,0.258,0.004,0.871
1,-0.008,-0.008,0.969
2,-0.012,0.000,0.984
3,0.008,0.000,0.984
4,0.012,0.000,0.973
5,-0.004,0.000,0.977
6,-0.016,0.000,0.988
7,0.000,0.004,0.984
8,0.012,-0.004,0.984
9,0.012,-0.008,0.980
10,-0.016,-0.008,0.984
11,-0.012,0.004,0.984
12,0.008,0.000,0.988
13,0.012,-0.008,0.977
14,-0.008,-0.008,0.980
15,-0.016,-0.012,0.984
16,0.004,0.008,0.984
17,0.012,-0.008,0.988
18,0.000,-0.008,0.973
19,-0.012,0.000,0.977
20,-0.012,0.020,0.980
21,0.012,0.004,0.980
22,0.012,-0.004,0.980
23,-0.008,-0.016,0.969
24,-0.012,-0.004,0.980
25,0.008,0.000,0.988
26,0.016,0.000,0.980
27,-0.004,-0.008,0.977
28,-0.016,-0.012,0.969
29,0.000,-0.004,0.977
30,0.020,0.008,0.980
31,0.008,0.000,0.980
32,-0.012,-0.012,0.980
33,-0.004,-0.008,0.984
34,0.004,-0.004,0.977
35,0.012,0.008,0.988
36,-0.008,-0.008,0.984
37,-0.012,-0.008,0.980
38,-0.004,-0.012,0.984
39,0.000,0.000,0.984
40,0.004,0.023,1.004
41,-0.004,-0.012,0.984
42,-0.012,-0.004,0.977
43,0.004,-0.004,0.977
44,0.008,0.004,0.977
45,0.000,0.004,0.992
46,-0.012,-0.004,0.980
47,-0.008,-0.012,0.980
48,0.012,-0.008,0.969
49,0.004,-0.004,0.980
50,-0.020,0.000,0.992
51,-0.016,-0.004,0.980
52,-0.004,-0.004,0.984
53,0.020,-0.008,0.969
54,0.008,0.000,0.969
55,-0.016,0.000,0.984
56,-0.016,-0.004,0.977
57,0.020,-0.004,0.969
58,0.016,-0.008,0.977
59,0.004,0.000,0.977
60,-0.031,0.027,1.062
61,-0.008,0.012,0.969
62,0.012,-0.004,0.977
63,0.008,0.000,0.973
64,-0.016,0.004,0.988
65,-0.004,-0.008,0.984
66,0.016,0.000,0.980
67,0.012,0.000,0.980
68,-0.008,0.000,0.984
69,-0.016,0.000,0.988
70,0.004,0.000,0.980
71,0.023,0.000,0.977
72,0.008,0.000,0.984
73,-0.023,-0.008,0.984
74,-0.012,-0.004,0.992
75,0.012,-0.004,0.977
76,0.016,-0.004,0.973
77,-0.008,-0.012,0.984
78,-0.012,0.000,0.973
79,0.000,0.000,0.984
80,0.023,0.043,1.012
81,0.000,0.000,0.977
82,-0.016,-0.004,0.980
83,-0.004,-0.008,0.969
84,0.012,-0.008,0.977
85,0.012,-0.004,0.973
86,0.000,-0.004,0.980
87,-0.016,0.000,0.988
88,0.000,0.000,0.973
89,0.016,-0.004,0.984
90,0.004,0.000,0.984
91,-0.016,0.008,0.980
92,-0.012,0.000,0.977
93,0.012,-0.004,0.984
94,0.004,0.004,0.977
95,-0.012,0.000,0.977
96,-0.008,-0.008,0.977
97,0.004,-0.004,0.977
98,0.008,0.000,0.973
99,0.004,-0.004,0.984
100,0.020,0.004,1.043
101,0.188,-0.020,0.992
102,0.297,-0.039,0.945
103,0.309,-0.012,0.973
104,0.266,0.035,0.992
105,0.297,0.027,1.004
106,0.449,0.008,0.973
107,0.594,-0.031,0.953
108,0.598,-0.016,0.992
109,0.504,0.016,1.004
110,0.422,0.004,1.004
111,0.477,-0.020,0.992
112,0.559,-0.039,0.957
113,0.535,-0.020,0.988
114,0.340,0.016,1.004
115,0.094,0.035,0.984
116,0.031,0.039,0.980
117,0.176,-0.012,0.973
118,0.270,-0.043,0.949
119,0.152,-0.031,0.949
120,-0.082,0.016,0.953
121,-0.172,0.035,0.992
122,-0.043,-0.016,0.969
123,0.176,-0.090,0.926
124,0.238,-0.125,0.941
125,0.098,-0.059,0.969
126,-0.008,0.023,1.008
127,0.137,0.059,0.988
128,0.387,0.023,0.969
129,0.484,-0.016,0.965
130,0.438,0.023,1.023
131,0.363,0.020,1.031
132,0.332,0.008,1.012
133,0.348,0.000,0.965
134,0.508,0.004,0.984
135,0.543,0.012,1.043
136,0.492,0.016,1.039
137,0.438,-0.062,1.008
138,0.332,-0.145,0.953
139,0.230,-0.094,0.934
140,0.227,0.020,0.973
141,0.211,0.113,1.043
142,0.242,0.090,1.047
143,0.250,-0.078,0.938
144,0.105,-0.188,0.887
145,-0.008,-0.059,0.906
146,0.004,0.133,1.023
147,0.094,0.176,1.062
148,0.234,-0.020,1.016
149,0.160,-0.328,0.828
150,0.129,-0.156,0.820
151,0.082,0.129,1.070
152,0.262,0.422,1.109
153,0.320,0.059,1.098
154,0.301,-0.383,0.750
155,0.328,-0.242,0.789
156,0.383,0.047,1.176
157,0.488,0.480,1.074
158,0.387,0.043,1.113
159,0.301,-0.281,0.672
160,0.387,-0.195,0.871
161,0.453,0.113,1.180
