Sample,X,Y,Z
0,0.211,0.004,0.875
1,-0.004,-0.008,0.984
2,-0.008,-0.004,0.980
3,0.008,-0.008,0.980
4,0.004,-0.008,0.973
5,-0.004,0.000,0.980
6,-0.012,-0.008,0.980
7,-0.004,-0.004,0.992
8,0.000,-0.008,0.977
9,0.016,-0.016,0.984
10,0.000,-0.004,0.980
11,-0.008,0.004,0.980
12,0.000,-0.008,0.973
13,0.008,-0.004,0.973
14,0.008,-0.012,0.977
15,-0.004,-0.004,0.969
16,-0.004,0.000,0.977
17,0.000,-0.004,0.984
18,0.004,-0.008,0.973
19,0.000,-0.004,0.984
20,-0.012,-0.039,0.984
21,0.000,-0.008,0.957
22,0.000,0.000,0.980
23,0.008,-0.004,0.977
24,0.000,-0.004,0.977
25,-0.008,-0.004,0.980
26,-0.004,0.000,0.980
27,0.008,0.000,0.977
28,0.000,-0.004,0.977
29,0.000,0.000,0.977
30,-0.008,0.004,0.992
31,0.008,0.000,0.992
32,0.008,-0.004,0.980
33,0.000,0.000,0.977
34,-0.012,0.000,0.984
35,-0.004,-0.004,0.980
36,0.004,0.000,0.984
37,0.012,-0.008,0.984
38,-0.004,-0.004,0.980
39,-0.004,-0.008,0.988
40,0.008,0.000,0.973
41,0.008,0.016,0.988
42,0.000,0.000,0.980
43,-0.004,-0.008,0.984
44,-0.008,-0.004,0.984
45,0.012,-0.004,0.980
46,0.000,-0.008,0.973
47,-0.008,-0.004,0.977
48,0.000,-0.008,0.977
49,0.000,-0.004,0.980
50,0.004,0.000,0.977
51,-0.004,-0.004,0.977
52,-0.004,-0.004,0.977
53,0.004,-0.004,0.977
54,0.000,-0.008,0.977
55,0.000,0.000,0.980
56,0.000,-0.004,0.977
57,0.004,-0.004,0.977
58,-0.004,0.000,0.980
59,0.004,-0.004,0.980
60,0.012,-0.023,0.949
61,-0.004,0.012,0.953
62,0.000,-0.004,0.984
63,-0.004,-0.004,0.980
64,0.008,-0.004,0.977
65,0.000,-0.004,0.977
66,0.000,0.000,0.988
67,-0.008,-0.008,0.977
68,-0.004,-0.008,0.980
69,0.000,-0.004,0.980
70,0.000,-0.008,0.984
71,-0.008,-0.004,0.977
72,0.000,-0.004,0.988
73,0.004,-0.004,0.984
74,0.004,-0.004,0.980
75,0.000,-0.012,0.984
76,0.004,-0.008,0.977
77,0.000,0.000,0.969
78,0.000,-0.008,0.984
79,0.004,0.000,0.977
80,0.016,0.004,0.988
81,0.004,0.008,0.996
82,0.000,-0.004,0.984
83,0.004,0.004,0.980
84,0.000,0.000,0.977
85,-0.004,0.000,0.977
86,0.004,-0.004,0.973
87,0.000,-0.008,0.977
88,-0.004,0.000,0.988
89,0.000,0.000,0.980
90,0.004,-0.008,0.980
91,0.004,-0.004,0.977
92,0.000,0.000,0.980
93,-0.004,0.000,0.984
94,-0.004,0.004,0.980
95,0.004,0.000,0.973
96,0.008,-0.004,0.977
97,-0.004,-0.004,0.980
98,-0.004,-0.004,0.984
99,-0.012,0.000,0.984
100,0.000,-0.035,0.992
101,-0.027,0.027,0.969
102,0.000,0.102,0.930
103,0.043,0.230,0.980
104,0.031,0.332,1.008
105,-0.016,0.324,1.000
106,-0.035,0.281,0.941
107,0.043,0.328,0.922
108,0.047,0.469,0.941
109,0.016,0.609,0.984
110,-0.059,0.676,0.957
111,-0.055,0.578,0.961
112,0.051,0.473,0.930
113,0.102,0.461,0.938
114,0.074,0.492,0.961
115,0.000,0.555,0.965
116,-0.082,0.512,1.008
117,-0.062,0.379,0.992
118,0.004,0.230,0.996
119,0.094,0.133,1.012
120,0.055,0.121,1.039
121,-0.055,0.145,1.035
122,-0.188,0.145,1.027
123,-0.090,0.117,1.078
124,0.066,0.082,1.043
125,0.219,0.086,1.070
126,0.125,0.078,1.047
127,-0.125,0.035,1.047
128,-0.195,-0.043,1.023
129,-0.012,-0.117,0.992
130,0.172,-0.074,0.938
131,0.102,0.090,0.949
132,-0.027,0.246,0.945
133,-0.078,0.281,0.945
134,-0.066,0.207,0.914
135,0.008,0.098,0.902
136,0.023,0.070,0.852
137,-0.012,0.250,0.824
138,0.027,0.531,0.906
139,0.094,0.684,0.922
140,0.051,0.707,0.941
141,-0.109,0.551,0.938
142,-0.211,0.301,0.926
143,-0.059,0.270,0.926
144,0.266,0.469,0.906
145,0.316,0.715,0.996
146,0.039,0.723,1.090
147,-0.320,0.523,0.977
148,-0.301,0.238,1.027
149,0.113,0.109,1.047
150,0.469,0.281,1.059
151,0.188,0.379,1.145
152,-0.316,0.227,1.023
153,-0.359,0.082,1.051
154,0.066,0.004,1.062
155,0.066,0.004,1.062
156,0.398,0.062,1.129
157,0.070,0.090,1.180
158,-0.336,-0.055,1.000
159,-0.250,-0.117,0.891
160,0.250,0.031,1.066
161,0.332,0.141,1.082
162,0.012,0.223,1.070
163,-0.320,0.004,0.859
164,-0.250,-0.051,0.914
165,0.125,0.043,0.949
166,0.367,0.309,0.898
167,0.172,0.406,0.918
168,-0.227,0.445,0.898
169,-0.391,0.199,0.832
170,0.031,0.199,0.750
171,0.328,0.293,0.902
172,0.148,0.465,0.895
173,-0.086,0.492,0.824
174,-0.109,0.508,0.773
175,-0.145,0.426,0.906
176,0.199,0.504,0.992
177,0.133,0.363,0.914
178,-0.062,0.324,0.945
179,-0.160,0.332,0.918
180,0.031,0.344,1.051
181,0.215,0.461,1.031
182,0.168,0.438,1.199
183,-0.160,0.176,1.059
184,-0.219,-0.012,1.070
185,0.113,0.059,1.039
186,0.289,0.137,1.191
187,0.125,0.246,1.195
188,-0.164,0.223,1.066
189,-0.355,-0.027,1.082
190,-0.141,-0.090,1.051
191,0.242,-0.020,1.062
192,0.270,0.062,1.055
193,-0.090,0.148,1.000
194,-0.352,0.113,0.992
195,-0.180,0.043,0.902
196,0.215,0.125,0.973
197,0.301,0.191,0.949
198,0.125,0.238,0.914
199,-0.277,0.199,0.852
200,-0.195,0.227,0.832
201,0.133,0.328,0.918
202,0.344,0.457,0.898
203,0.141,0.520,0.910
204,-0.250,0.398,0.824
205,-0.324,0.297,0.766
206,0.062,0.375,0.891
207,0.312,0.465,0.895
208,0.094,0.516,0.957
209,-0.230,0.441,0.883
210,-0.266,0.242,0.863
211,0.004,0.230,0.930
212,0.223,0.309,1.070
213,0.164,0.340,1.051
214,-0.066,0.262,1.039
215,-0.109,0.199,0.992
216,-0.031,0.168,1.090
217,0.199,0.199,1.148
218,0.133,0.207,1.148
219,-0.027,0.102,1.160
220,-0.168,0.051,1.031
221,-0.047,0.129,1.176
222,0.031,0.117,1.125
223,0.113,0.016,1.172
224,-0.137,-0.188,0.996
225,-0.172,-0.449,1.035
226,-0.086,-0.484,0.980
227,0.191,-0.395,1.062
228,0.152,-0.352,0.973
229,0.008,-0.359,1.031
230,-0.148,-0.539,0.914
231,-0.043,-0.641,0.910
232,0.098,-0.598,0.926
233,0.070,-0.535,0.973
234,-0.070,-0.457,0.883
235,-0.148,-0.414,0.891
236,-0.148,-0.461,0.824
237,-0.004,-0.406,0.910
238,0.012,-0.355,0.871
239,0.070,-0.285,0.871
240,-0.035,-0.270,0.809
241,0.008,-0.270,0.863
242,0.027,-0.211,0.832
243,0.129,-0.055,0.930
244,0.098,-0.008,0.945
245,0.008,-0.070,0.883
246,-0.051,-0.121,0.895
247,-0.047,-0.098,0.941
248,0.000,0.008,0.996
249,0.059,0.160,1.090
250,-0.012,0.090,1.062
251,-0.082,-0.059,1.066
252,-0.109,-0.211,1.051
253,-0.012,-0.230,1.133
254,0.184,-0.133,1.172
255,0.121,-0.074,1.195
256,-0.012,-0.152,1.168
257,-0.082,-0.340,1.125
258,-0.027,-0.500,1.141
259,0.121,-0.531,1.117
260,0.195,-0.469,1.082
261,-0.008,-0.449,1.051
262,-0.215,-0.512,1.020
263,-0.098,-0.598,0.973
264,0.020,-0.609,0.965
265,0.027,-0.547,0.949
266,0.023,-0.508,0.859
267,-0.152,-0.504,0.820
268,-0.184,-0.473,0.863
269,0.035,-0.422,0.805
270,0.105,-0.352,0.867
271,0.031,-0.238,0.812
272,0.027,-0.230,0.750
273,-0.008,-0.262,0.797
274,-0.016,-0.156,0.809
275,0.094,-0.109,0.887
276,0.125,-0.082,0.828
277,0.023,-0.012,0.871
278,-0.113,-0.090,0.887
279,-0.023,-0.074,0.883
280,0.121,-0.059,1.023
281,-0.027,-0.051,1.000
282,-0.090,-0.121,1.055
