Sample,X,Y,Z
0,0.238,-0.012,0.883
1,-0.004,-0.004,0.965
2,0.004,0.000,0.984
3,0.004,-0.004,0.984
4,0.000,-0.008,0.980
5,0.000,-0.004,0.961
6,0.000,-0.004,0.965
7,-0.004,-0.004,0.992
8,0.008,-0.004,0.980
9,0.000,-0.008,0.980
10,0.008,-0.004,0.973
11,-0.004,-0.004,0.977
12,0.004,0.000,0.988
13,0.008,-0.004,0.984
14,-0.004,-0.008,0.977
15,0.004,-0.004,0.984
16,0.000,0.000,0.988
17,0.000,0.000,0.988
18,0.000,-0.008,0.977
19,-0.004,-0.004,0.980
20,0.012,0.012,0.941
21,-0.004,0.008,0.988
22,0.008,-0.008,0.977
23,-0.012,0.000,0.977
24,0.000,-0.004,0.977
25,0.004,0.000,0.984
26,0.004,0.000,0.980
27,0.000,-0.008,0.973
28,-0.008,0.000,0.980
29,0.000,-0.004,0.980
30,0.004,-0.004,0.980
31,0.000,-0.008,0.973
32,0.004,-0.008,0.984
33,0.000,0.000,0.984
34,0.004,0.000,0.980
35,0.000,-0.008,0.973
36,-0.004,-0.012,0.977
37,0.004,0.000,0.980
38,-0.004,0.000,0.984
39,-0.004,-0.004,0.984
40,-0.023,-0.012,0.949
41,0.004,-0.023,0.965
42,-0.004,-0.004,0.984
43,-0.004,-0.008,0.984
44,0.000,-0.012,0.980
45,0.000,-0.008,0.984
46,0.000,-0.004,0.984
47,0.000,-0.004,0.980
48,0.004,0.004,0.988
49,-0.004,-0.004,0.973
50,0.004,-0.004,0.973
51,0.000,-0.004,0.984
52,0.000,0.004,0.988
53,0.000,-0.004,0.977
54,0.004,-0.008,0.977
55,-0.004,-0.008,0.977
56,-0.004,0.000,0.984
57,-0.004,0.000,0.984
58,-0.004,-0.004,0.988
59,-0.008,0.000,0.969
60,0.000,-0.004,0.977
61,-0.016,0.023,0.965
62,-0.012,0.000,0.980
63,-0.004,-0.004,0.988
64,0.012,-0.012,0.977
65,0.000,-0.008,0.977
66,0.004,-0.004,0.977
67,-0.004,0.000,0.977
68,0.008,0.000,0.984
69,0.000,-0.008,0.984
70,-0.004,-0.008,0.969
71,0.000,-0.012,0.984
72,0.000,0.000,0.984
73,0.004,-0.008,0.980
74,0.000,-0.012,0.977
75,0.000,-0.008,0.973
76,0.000,0.000,0.992
77,0.000,0.000,0.992
78,0.004,0.000,0.984
79,0.008,0.000,0.980
80,-0.012,-0.008,0.977
81,-0.012,-0.016,1.008
82,-0.008,0.004,0.980
83,0.008,0.004,0.977
84,-0.008,-0.008,0.980
85,-0.008,-0.008,0.980
86,0.000,0.008,0.969
87,0.000,0.004,0.984
88,0.004,-0.008,0.980
89,-0.004,-0.008,0.969
90,-0.008,-0.004,0.977
91,0.000,0.008,0.980
92,0.008,0.000,0.984
93,0.004,-0.004,0.977
94,-0.004,-0.004,0.973
95,0.004,-0.004,0.980
96,0.012,0.000,0.992
97,0.000,-0.004,0.977
98,0.000,-0.004,0.973
99,-0.008,-0.012,0.980
100,-0.008,0.004,1.027
101,0.004,0.000,0.961
102,0.000,-0.012,0.973
103,-0.012,-0.004,0.984
104,0.000,0.000,0.988
105,0.008,0.004,0.980
106,0.000,-0.008,0.988
107,-0.008,-0.008,0.977
108,0.000,-0.004,0.988
109,0.016,0.004,0.984
110,0.074,0.008,0.957
111,0.016,0.023,0.984
112,-0.051,0.059,1.012
113,0.000,0.020,1.000
114,0.051,-0.004,0.965
115,0.102,0.027,0.926
116,0.094,0.070,0.992
117,0.098,0.105,1.004
118,0.129,0.082,0.969
119,0.109,0.094,0.949
120,0.133,0.113,0.949
121,0.152,0.156,0.992
122,0.152,0.137,0.980
123,0.141,0.121,0.965
124,0.137,0.109,0.973
125,0.156,0.125,0.992
126,0.133,0.160,0.977
127,0.117,0.129,0.977
128,0.055,0.133,0.977
129,0.047,0.090,0.984
130,0.082,0.121,0.953
131,0.102,0.121,0.980
132,0.062,0.145,1.012
133,0.047,0.109,0.992
134,0.086,0.062,0.953
135,0.105,0.090,0.953
136,0.125,0.102,1.008
137,0.137,0.129,1.004
138,0.148,0.078,0.992
139,0.109,0.059,0.980
140,0.098,0.066,1.023
141,0.129,0.078,0.969
142,0.168,0.090,0.973
143,0.160,0.090,0.977
144,0.129,0.098,0.984
145,0.156,0.086,0.977
146,0.184,0.133,0.961
147,0.145,0.145,0.977
148,0.051,0.152,0.988
149,0.062,0.121,0.977
150,0.156,0.102,0.941
151,0.168,0.133,0.961
152,0.133,0.168,1.008
153,0.125,0.176,0.988
154,0.148,0.133,0.961
155,0.082,0.117,0.980
156,0.027,0.129,0.992
157,0.082,0.137,0.984
158,0.156,0.152,0.980
159,0.227,0.168,0.969
160,0.219,0.129,1.023
161,0.090,0.145,1.031
162,0.078,0.156,0.984
163,0.137,0.105,0.961
164,0.180,0.145,0.973
165,0.227,0.164,0.992
166,0.113,0.141,1.027
167,0.121,0.109,0.980
168,0.176,0.047,0.965
169,0.250,0.090,0.965
170,0.211,0.121,0.965
171,0.012,0.133,1.023
172,0.035,0.090,0.988
173,0.141,0.035,0.961
174,0.234,0.105,0.953
175,0.129,0.141,0.996
176,0.008,0.176,1.020
177,0.105,0.078,0.969
178,0.191,0.055,0.906
179,0.141,0.113,0.977
180,0.020,0.156,0.984
181,0.027,0.168,0.992
182,0.219,0.082,0.934
183,0.191,0.082,0.961
184,0.043,0.109,1.020
185,0.117,0.156,0.988
186,0.230,0.121,0.969
187,0.191,0.125,0.969
188,0.094,0.109,1.023
189,0.133,0.121,0.984
190,0.152,0.141,0.984
191,0.137,0.168,0.980
192,0.168,0.160,0.996
193,0.152,0.117,1.020
194,0.098,0.121,0.926
195,0.164,0.105,0.977
196,0.172,0.148,0.969
197,0.129,0.133,1.031
198,0.102,0.098,0.961
199,0.086,0.074,0.938
200,0.035,0.070,1.020
201,0.105,0.141,0.965
202,0.145,0.102,0.977
203,0.070,0.105,0.984
