Sample,X,Y,Z
0,0.117,0.004,0.887
1,0.004,-0.012,0.965
2,-0.027,-0.004,0.984
3,-0.008,0.000,0.988
4,0.020,0.000,0.973
5,0.027,-0.008,0.973
6,-0.004,-0.012,0.973
7,-0.027,-0.004,0.980
8,-0.008,0.000,0.973
9,0.020,-0.004,0.984
10,0.012,-0.008,0.973
11,-0.012,-0.012,0.980
12,-0.012,0.000,0.973
13,0.004,-0.004,0.980
14,0.020,-0.004,0.980
15,0.004,-0.008,0.977
16,-0.004,-0.008,0.980
17,-0.016,-0.004,0.977
18,0.008,-0.004,0.977
19,0.023,-0.012,0.980
20,-0.004,-0.051,1.004
21,-0.012,-0.008,0.988
22,-0.016,-0.004,0.988
23,0.016,0.000,0.977
24,0.023,-0.008,0.973
25,0.000,0.000,0.973
26,-0.016,-0.004,0.980
27,-0.008,0.000,0.973
28,0.016,-0.008,0.977
29,0.023,-0.012,0.977
30,-0.004,-0.004,0.969
31,-0.023,-0.008,0.984
32,0.000,0.000,0.988
33,0.020,0.000,0.973
34,0.016,-0.008,0.980
35,-0.004,-0.004,0.977
36,-0.023,-0.004,0.992
37,0.000,-0.004,0.980
38,0.020,0.000,0.980
39,0.004,-0.008,0.980
40,-0.004,-0.027,0.988
41,-0.020,0.016,0.996
42,-0.004,-0.004,0.984
43,0.027,-0.012,0.973
44,0.004,-0.008,0.977
45,-0.016,-0.008,0.977
46,-0.008,-0.008,0.977
47,0.016,-0.004,0.977
48,0.023,-0.012,0.977
49,-0.008,0.000,0.969
50,-0.020,-0.012,0.977
51,0.004,0.000,0.980
52,0.035,-0.004,0.969
53,0.008,0.000,0.973
54,-0.031,0.004,0.984
55,-0.012,0.000,0.980
56,0.016,-0.004,0.973
57,0.023,-0.004,0.980
58,-0.008,-0.004,0.977
59,-0.027,-0.004,0.977
60,0.008,-0.039,0.977
61,0.023,0.000,0.965
62,0.012,-0.004,0.977
63,-0.008,-0.008,0.984
64,-0.012,-0.004,0.977
65,0.012,0.000,0.980
66,0.023,-0.004,0.980
67,-0.004,-0.004,0.984
68,-0.020,-0.004,0.980
69,-0.004,0.000,0.977
70,0.016,-0.004,0.980
71,0.008,-0.008,0.977
72,-0.012,-0.008,0.973
73,-0.008,0.004,0.980
74,0.000,-0.004,0.980
75,0.008,-0.012,0.973
76,0.000,-0.012,0.980
77,-0.004,-0.012,0.984
78,-0.004,-0.004,0.984
79,0.000,-0.008,0.980
80,0.016,-0.035,0.941
81,0.000,0.016,1.000
82,-0.004,0.000,0.969
83,-0.004,0.004,0.984
84,0.000,-0.004,0.988
85,-0.004,-0.004,0.977
86,-0.004,-0.004,0.980
87,0.000,0.000,0.984
88,0.004,-0.004,0.977
89,0.004,-0.004,0.977
90,-0.004,-0.004,0.973
91,-0.004,0.000,0.980
92,-0.004,0.000,0.980
93,0.012,-0.008,0.980
94,0.000,-0.008,0.980
95,-0.008,0.000,0.980
96,-0.016,-0.004,0.988
97,-0.016,-0.004,0.988
98,0.004,-0.008,0.977
99,0.016,-0.008,0.977
100,-0.012,0.000,0.984
101,-0.027,-0.012,0.926
102,-0.027,0.012,0.969
103,0.012,0.109,0.941
104,0.055,0.230,0.977
105,0.039,0.332,1.000
106,-0.012,0.344,0.984
107,-0.035,0.289,0.949
