Sample,X,Y,Z
0,0.230,0.000,0.883
1,0.000,-0.004,0.965
2,0.008,0.008,0.973
3,0.000,0.004,0.980
4,-0.008,-0.008,0.969
5,0.000,-0.008,0.957
6,0.000,-0.008,0.980
7,0.004,0.004,0.977
8,-0.004,0.000,0.988
9,-0.016,-0.008,0.977
10,0.004,-0.004,0.984
11,0.004,-0.008,0.984
12,0.000,0.000,0.984
13,0.000,-0.008,0.980
14,-0.004,-0.004,0.977
15,0.004,-0.004,0.977
16,0.008,-0.012,0.973
17,0.000,-0.008,0.980
18,-0.008,-0.004,0.977
19,-0.004,-0.008,0.984
20,0.020,0.020,1.012
21,-0.004,0.012,0.980
22,-0.012,-0.004,0.980
23,0.004,-0.004,0.973
24,0.008,-0.004,0.977
25,0.000,-0.004,0.984
26,0.004,-0.012,0.973
27,-0.004,-0.004,0.980
28,0.000,0.000,0.980
29,0.000,-0.004,0.980
30,-0.004,-0.008,0.977
31,-0.004,-0.004,0.980
32,0.000,0.000,0.977
33,0.004,-0.004,0.984
34,-0.004,0.000,0.984
35,-0.008,-0.012,0.977
36,-0.004,-0.004,0.973
37,0.004,0.000,0.973
38,-0.004,-0.004,0.988
39,0.000,-0.008,0.980
40,0.004,0.016,0.973
41,0.004,-0.023,0.965
42,0.000,0.000,0.980
43,0.004,-0.008,0.977
44,0.004,-0.012,0.980
45,0.004,-0.008,0.980
46,-0.004,0.000,0.988
47,-0.004,0.000,0.988
48,-0.008,-0.004,0.980
49,-0.004,-0.012,0.980
50,0.008,-0.004,0.965
51,0.000,0.000,0.992
52,-0.008,-0.008,0.980
53,0.004,-0.004,0.969
54,0.000,-0.012,0.969
55,-0.004,0.008,0.977
56,-0.004,0.004,0.984
57,0.004,-0.004,0.980
58,0.000,-0.004,0.973
59,-0.004,0.000,0.977
60,-0.012,0.031,0.996
61,0.008,0.004,0.984
62,0.004,-0.004,0.973
63,0.004,-0.008,0.977
64,-0.004,0.000,0.973
65,-0.004,0.004,0.977
66,0.004,0.000,0.973
67,0.008,-0.012,0.980
68,-0.008,0.000,0.984
69,-0.004,0.000,0.977
70,0.000,-0.008,0.984
71,0.000,-0.008,0.980
72,0.004,-0.008,0.977
73,0.000,-0.008,0.980
74,0.000,0.000,0.988
75,-0.004,-0.004,0.977
76,0.004,-0.012,0.988
77,0.008,-0.012,0.973
78,0.000,0.000,0.973
79,0.000,0.004,0.977
80,0.008,0.031,1.016
81,0.008,-0.008,0.977
82,0.000,-0.004,0.980
83,-0.004,-0.004,0.980
84,0.000,0.000,0.977
85,0.004,-0.004,0.977
86,0.000,-0.008,0.969
87,-0.008,0.000,0.977
88,-0.004,-0.004,0.984
89,0.004,0.004,0.977
90,0.008,-0.004,0.969
91,-0.004,-0.008,0.969
92,-0.008,0.000,0.973
93,0.004,0.000,0.984
94,0.012,-0.012,0.973
95,0.000,-0.012,0.965
96,-0.020,-0.004,0.980
97,0.008,0.004,0.988
98,0.020,-0.008,0.984
99,0.004,-0.012,0.977
100,-0.016,-0.023,0.980
101,0.000,-0.008,0.977
102,0.016,0.004,0.984
103,0.020,-0.008,0.977
104,-0.012,-0.004,0.980
105,-0.020,0.008,0.984
106,0.086,0.008,0.961
107,0.070,0.016,0.961
108,-0.035,0.062,0.996
109,-0.016,0.051,0.996
110,-0.004,0.008,0.988
111,0.086,0.027,0.934
112,0.117,0.043,0.961
113,0.098,0.078,0.988
114,0.109,0.090,0.992
115,0.105,0.066,0.965
116,0.141,0.078,0.965
117,0.129,0.121,0.988
118,0.137,0.145,0.977
119,0.129,0.129,0.973
120,0.145,0.113,0.996
121,0.152,0.094,0.969
122,0.129,0.152,0.977
123,0.117,0.141,0.969
124,0.066,0.133,0.977
125,0.062,0.090,0.965
126,0.062,0.105,0.949
127,0.043,0.125,0.980
128,0.066,0.125,0.992
129,0.051,0.105,0.988
130,0.066,0.062,0.965
131,0.086,0.078,0.961
132,0.098,0.082,0.984
133,0.113,0.113,1.004
134,0.133,0.086,1.000
135,0.137,0.059,0.980
136,0.109,0.051,0.988
137,0.129,0.062,0.973
138,0.152,0.078,0.977
139,0.172,0.090,0.980
140,0.168,0.105,1.008
141,0.117,0.066,0.980
142,0.152,0.102,0.965
