Sample,X,Y,Z
0,0.242,0.004,0.895
1,0.004,-0.008,0.977
2,0.008,-0.004,0.984
3,0.000,-0.004,0.977
4,-0.012,0.000,0.980
5,-0.004,0.000,0.973
6,0.016,-0.008,0.984
7,0.012,-0.004,0.977
8,0.000,0.000,0.980
9,-0.020,0.000,0.984
10,0.004,0.000,0.980
11,0.004,-0.008,0.977
12,0.004,-0.012,0.965
13,-0.012,-0.008,0.980
14,-0.004,-0.004,0.984
15,0.008,-0.004,0.973
16,0.004,-0.008,0.980
17,0.000,-0.008,0.969
18,-0.016,-0.004,0.984
19,0.008,0.000,0.980
20,0.020,0.008,0.953
21,-0.008,0.004,0.977
22,-0.008,0.000,0.973
23,-0.008,-0.008,0.988
24,0.016,0.000,0.973
25,0.008,-0.004,0.973
26,-0.012,-0.004,0.980
27,-0.012,0.000,0.977
28,0.008,-0.008,0.977
29,0.020,-0.004,0.977
30,0.004,0.000,0.977
31,-0.023,-0.004,0.980
32,-0.008,0.000,0.984
33,0.012,-0.004,0.977
34,0.016,-0.004,0.973
35,-0.004,0.004,0.980
36,-0.016,0.000,0.992
37,-0.004,-0.004,0.980
38,0.012,-0.004,0.965
39,0.012,-0.004,0.977
40,-0.027,0.020,1.051
41,-0.020,-0.004,0.984
42,0.000,0.000,0.973
43,0.008,-0.004,0.984
44,0.000,-0.004,0.977
45,-0.004,0.000,0.977
46,-0.008,-0.004,0.996
47,0.004,-0.012,0.984
48,0.008,-0.004,0.984
49,-0.008,-0.008,0.980
50,-0.008,-0.004,0.984
51,0.004,-0.012,0.980
52,0.008,0.000,0.977
53,-0.004,-0.004,0.980
54,-0.004,-0.004,0.980
55,0.004,0.000,0.980
56,0.004,-0.008,0.977
57,0.004,-0.008,0.977
58,0.012,-0.008,0.969
59,0.004,-0.004,0.980
60,-0.004,0.000,0.977
61,0.016,0.004,0.992
62,0.004,-0.004,0.977
63,-0.004,-0.004,0.965
64,-0.008,0.000,0.977
65,0.008,-0.004,0.980
66,0.012,-0.008,0.973
67,0.004,0.000,0.977
68,-0.012,0.000,0.984
69,-0.008,0.004,0.988
70,0.012,-0.004,0.973
71,0.008,-0.012,0.977
72,0.000,0.000,0.980
73,-0.008,0.008,0.988
74,-0.004,0.000,0.984
75,-0.004,-0.004,0.980
76,0.008,-0.008,0.973
77,-0.004,-0.004,0.977
78,-0.008,0.008,0.973
79,0.004,0.000,0.984
80,0.008,0.051,1.047
81,0.004,-0.008,0.977
82,-0.004,0.000,0.980
83,0.000,0.000,0.988
84,0.004,-0.004,0.973
85,0.004,-0.012,0.965
86,-0.008,0.000,0.984
87,-0.004,0.000,0.980
88,0.000,-0.004,0.980
89,0.000,-0.004,0.973
90,-0.004,-0.008,0.973
91,0.000,-0.008,0.988
92,-0.004,0.008,0.973
93,0.004,0.000,0.977
94,0.000,-0.008,0.980
95,0.000,-0.004,0.973
96,-0.004,0.000,0.980
97,0.000,0.004,0.988
98,0.004,-0.004,0.980
99,0.000,-0.008,0.977
100,-0.004,0.012,1.016
101,0.039,-0.012,0.984
102,0.203,-0.039,0.988
103,0.301,-0.051,0.941
104,0.305,-0.020,0.969
105,0.254,0.031,0.996
106,0.285,0.035,1.008
107,0.453,0.012,0.992
108,0.598,-0.023,0.949
109,0.598,-0.023,0.980
