Sample,X,Y,Z
0,0.086,0.008,0.883
1,0.004,0.000,0.973
2,0.000,-0.004,0.980
3,0.004,0.000,0.977
4,-0.008,-0.004,0.980
5,0.000,-0.004,0.984
6,-0.004,0.000,0.977
7,0.000,0.000,0.977
8,-0.008,0.000,0.973
9,0.000,0.000,0.984
10,0.012,-0.008,0.965
11,0.004,-0.008,0.977
12,-0.004,-0.004,0.980
13,0.004,0.000,0.977
14,0.004,-0.008,0.973
15,0.000,-0.004,0.984
16,-0.004,-0.008,0.984
17,0.000,-0.004,0.980
18,0.004,-0.004,0.984
19,0.000,-0.004,0.984
20,-0.027,0.008,0.984
21,-0.008,-0.004,0.973
22,0.008,-0.012,0.973
23,0.004,-0.004,0.973
24,0.000,0.000,0.977
25,-0.004,-0.004,0.980
26,0.000,0.000,0.980
27,0.000,0.000,0.973
28,0.000,-0.004,0.980
29,0.000,-0.004,0.977
30,0.008,0.000,0.969
31,0.000,0.000,0.980
32,-0.004,-0.004,0.973
33,0.000,-0.004,0.980
34,0.004,-0.004,0.980
35,0.000,-0.004,0.980
36,0.000,0.000,0.977
37,0.000,-0.008,0.977
38,-0.004,-0.008,0.980
39,0.004,0.000,0.980
40,-0.012,0.008,1.012
41,0.012,-0.012,0.965
42,0.000,-0.004,0.984
43,0.000,-0.004,0.977
44,0.004,-0.004,0.980
45,0.000,-0.004,0.984
46,-0.004,0.000,0.984
47,0.004,-0.008,0.977
48,0.008,-0.008,0.980
49,0.000,-0.008,0.969
50,0.000,0.000,0.973
51,0.000,-0.008,0.977
52,0.004,-0.008,0.977
53,0.008,-0.012,0.973
54,-0.008,0.000,0.973
55,0.000,-0.004,0.980
56,0.008,-0.004,0.969
57,0.000,-0.004,0.977
58,-0.004,-0.004,0.984
59,0.000,0.000,0.973
60,-0.012,0.000,0.949
61,0.012,-0.004,0.992
62,0.000,-0.004,0.977
63,-0.004,0.000,0.980
64,0.000,0.000,0.984
65,0.000,-0.008,0.973
66,0.004,0.000,0.980
67,-0.004,-0.004,0.980
68,-0.004,-0.004,0.984
69,0.004,0.000,0.988
70,0.004,-0.004,0.988
71,-0.008,0.000,0.980
72,0.000,-0.004,0.984
73,0.004,-0.004,0.980
74,0.008,0.000,0.977
75,0.000,-0.008,0.977
76,-0.004,-0.004,0.977
77,0.004,-0.008,0.977
78,0.004,-0.008,0.973
79,0.000,-0.004,0.977
80,-0.012,0.031,1.012
81,0.008,-0.004,0.980
82,0.000,-0.008,0.973
83,0.000,-0.008,0.977
84,-0.004,0.000,0.984
85,0.004,-0.004,0.973
86,0.008,-0.004,0.980
87,-0.004,-0.004,0.973
88,0.000,-0.004,0.980
89,0.008,-0.004,0.977
90,0.000,-0.004,0.973
91,0.004,0.004,0.977
92,-0.008,-0.008,0.973
93,0.008,-0.004,0.980
94,0.004,-0.004,0.973
95,0.004,-0.008,0.980
96,0.000,-0.004,0.973
97,0.000,-0.004,0.980
98,-0.004,-0.004,0.984
99,0.000,0.000,0.980
100,-0.020,0.004,1.008
101,-0.023,0.008,0.965
102,0.000,0.105,0.930
103,0.035,0.250,0.977
104,0.020,0.344,1.008
105,-0.004,0.328,0.980
106,-0.027,0.266,0.941
107,0.039,0.328,0.906
108,0.035,0.488,0.941
109,0.000,0.648,0.996
110,-0.059,0.664,0.969
111,-0.020,0.543,0.941
112,0.070,0.449,0.930
113,0.086,0.461,0.930
114,0.035,0.516,0.957
115,-0.023,0.562,0.961
116,-0.070,0.484,1.004
117,-0.020,0.332,0.980
118,0.027,0.207,1.000
119,0.078,0.141,1.008
120,0.012,0.133,1.008
121,-0.059,0.164,1.059
122,-0.148,0.117,1.016
123,-0.043,0.117,1.090
124,0.078,0.094,1.062
125,0.195,0.074,1.059
126,0.090,0.051,1.016
127,-0.113,0.027,1.027
128,-0.180,-0.043,1.023
129,0.000,-0.086,1.004
130,0.148,-0.039,0.926
131,0.098,0.105,0.930
132,-0.035,0.227,0.941
133,-0.074,0.273,0.930
134,-0.066,0.219,0.930
135,-0.008,0.117,0.906
136,-0.008,0.117,0.906
137,0.012,0.094,0.855
138,0.012,0.277,0.832
139,0.027,0.531,0.887
140,0.066,0.699,0.938
141,0.031,0.781,0.910
142,-0.090,0.555,0.938
143,-0.191,0.324,0.934
144,-0.008,0.273,0.934
145,0.266,0.445,0.922
146,0.309,0.676,1.004
147,0.004,0.699,1.082
148,-0.367,0.488,1.016
149,-0.289,0.211,0.980
150,0.176,0.117,1.051
151,0.480,0.230,1.066
152,0.152,0.336,1.086
153,-0.391,0.188,1.062
154,-0.371,0.027,1.031
155,0.160,0.027,1.051
156,0.457,0.098,1.145
157,0.000,0.094,1.145
158,-0.418,-0.031,1.016
159,-0.273,-0.117,0.902
160,0.363,0.031,1.109
161,0.406,0.203,1.105
162,-0.012,0.223,1.039
163,-0.391,0.031,0.859
164,-0.285,-0.055,0.891
165,0.160,0.062,0.957
166,0.422,0.309,0.895
167,0.164,0.398,0.891
168,-0.289,0.445,0.902
