Sample,X,Y,Z
0,0.254,-0.031,0.879
1,-0.008,-0.016,0.973
2,0.000,-0.023,0.965
3,0.008,-0.027,0.953
4,0.004,-0.020,0.953
5,0.004,-0.012,0.945
6,0.000,-0.012,0.965
7,0.004,-0.020,0.957
8,0.004,-0.016,0.957
9,0.004,-0.020,0.957
10,0.008,-0.004,0.945
11,0.004,-0.027,0.957
12,0.004,-0.016,0.957
13,0.000,-0.023,0.953
14,0.012,-0.016,0.953
15,0.004,-0.012,0.957
16,0.008,-0.027,0.953
17,0.008,-0.020,0.957
18,0.004,-0.023,0.961
19,-0.004,-0.020,0.957
20,0.012,0.016,0.961
21,0.000,-0.027,0.965
22,0.004,-0.031,0.965
23,-0.012,-0.031,0.969
24,0.000,-0.031,0.965
25,0.008,-0.027,0.965
26,0.016,-0.031,0.969
27,0.000,-0.027,0.965
28,-0.008,-0.020,0.973
29,0.000,-0.020,0.969
30,0.012,-0.023,0.961
31,0.016,-0.020,0.965
32,-0.004,-0.027,0.961
33,-0.012,-0.016,0.953
34,0.004,-0.016,0.961
35,0.016,-0.020,0.953
36,0.012,-0.020,0.949
37,-0.008,-0.020,0.965
38,-0.008,-0.016,0.961
39,0.004,-0.016,0.965
40,0.012,-0.035,0.914
41,0.008,-0.008,0.957
42,-0.012,-0.020,0.965
43,0.004,-0.016,0.945
44,0.000,-0.016,0.965
45,0.016,-0.031,0.953
46,0.008,-0.020,0.957
47,-0.012,-0.027,0.977
48,-0.004,-0.020,0.961
49,0.008,-0.023,0.969
50,0.012,-0.031,0.973
51,0.000,-0.023,0.961
52,-0.012,-0.023,0.977
53,-0.004,-0.031,0.973
54,0.020,-0.020,0.965
55,0.008,-0.031,0.969
56,-0.012,-0.020,0.957
57,-0.016,-0.020,0.973
58,0.004,-0.023,0.961
59,0.020,-0.016,0.949
60,0.008,-0.012,0.996
61,-0.008,-0.016,0.953
62,-0.008,-0.016,0.965
63,0.012,-0.020,0.961
64,0.023,-0.012,0.953
65,0.004,-0.031,0.961
66,-0.008,-0.016,0.953
67,0.000,-0.016,0.961
68,0.016,-0.012,0.957
69,0.016,-0.023,0.953
70,0.004,-0.020,0.953
71,-0.012,-0.016,0.953
72,0.012,-0.023,0.965
73,0.012,-0.023,0.957
74,0.004,-0.023,0.957
75,0.000,-0.023,0.957
76,0.000,-0.023,0.965
77,0.000,-0.023,0.965
78,0.008,-0.023,0.961
79,0.004,-0.023,0.973
80,0.004,-0.027,0.973
81,0.000,-0.020,0.996
82,-0.012,-0.031,0.973
83,0.000,-0.023,0.969
84,0.012,-0.027,0.973
85,0.008,-0.023,0.969
86,0.000,-0.023,0.973
87,0.008,-0.020,0.957
88,0.004,-0.023,0.961
89,0.004,-0.020,0.965
90,0.004,-0.027,0.953
91,-0.004,-0.023,0.965
92,0.000,-0.016,0.957
93,0.004,-0.016,0.953
94,0.004,-0.016,0.957
95,0.004,-0.016,0.957
96,-0.008,-0.023,0.949
97,0.008,-0.020,0.961
98,0.020,-0.016,0.949
99,0.035,-0.027,0.953
100,0.254,-0.070,0.996
101,0.551,-0.098,0.934
102,0.746,-0.086,0.941
103,0.773,-0.047,0.980
104,0.734,-0.023,0.988
105,0.809,-0.051,0.957
106,1.027,-0.023,0.930
107,1.137,0.035,0.969
108,1.152,0.113,1.027
109,1.109,0.105,1.008
110,0.984,0.039,0.988
111,0.945,0.031,0.969
112,0.934,0.004,1.031
113,0.859,-0.031,1.016
114,0.680,-0.039,0.945
115,0.344,-0.027,0.902
116,0.207,0.035,0.984
117,0.387,-0.023,1.043
118,0.504,-0.184,0.957
119,0.410,-0.230,0.836
120,0.113,-0.133,0.922
121,-0.070,0.039,0.965
122,0.164,0.000,0.973
123,0.531,-0.152,0.891
124,0.602,-0.227,0.840
125,0.273,0.020,0.855
126,0.320,0.098,1.125
127,0.715,0.051,0.992
128,0.832,-0.066,0.781
129,0.840,-0.039,0.906
130,0.895,-0.020,1.105
131,0.832,0.086,0.984
132,0.906,0.125,0.863
133,1.082,0.016,1.074
134,1.086,-0.031,1.027
135,0.926,-0.059,0.926
136,0.766,-0.031,0.973
137,0.723,-0.016,1.098
138,0.770,0.016,0.969
139,0.734,-0.105,0.922
140,0.660,-0.031,0.977
141,0.375,-0.086,1.082
142,0.336,0.000,0.953
143,0.301,-0.016,0.957
144,0.355,-0.043,1.062
145,0.340,-0.090,0.938
146,0.219,-0.113,0.906
147,0.207,0.016,1.000
148,0.379,0.016,1.043
149,0.414,-0.020,0.906
150,0.578,-0.113,0.859
151,0.496,-0.062,0.922
152,0.562,-0.070,1.016
153,0.898,0.004,0.914
154,0.789,-0.074,0.930
155,0.781,0.047,0.887
156,0.820,-0.020,0.953
157,1.000,0.062,0.945
158,1.086,0.027,1.020
159,0.980,0.074,0.930
160,0.816,-0.051,0.992
161,0.883,0.031,0.926
162,0.758,0.008,0.996
163,0.648,-0.027,1.020
164,0.645,-0.012,0.980
165,0.598,-0.133,1.039
166,0.449,-0.109,0.883
167,0.418,-0.059,1.008
168,0.453,0.031,1.066
169,0.262,-0.008,0.980
170,0.230,0.004,1.000
171,0.422,-0.207,1.016
172,0.441,-0.098,0.801
173,0.262,-0.117,1.094
174,0.402,0.094,1.008
175,0.387,-0.090,0.941
176,0.785,-0.059,0.871
177,0.586,0.004,0.953
178,0.668,0.105,1.039
179,0.637,0.051,0.930
180,0.844,-0.133,0.926
181,0.660,0.012,0.773
182,0.699,0.078,1.074
183,0.828,0.117,0.949
184,1.043,-0.016,1.012
185,0.832,-0.043,0.816
186,0.672,-0.008,0.953
187,0.750,0.066,0.996
188,0.605,-0.004,1.000
189,0.625,-0.039,1.004
190,0.383,0.020,0.793
191,0.512,0.098,1.062
192,0.574,0.098,1.090
193,0.574,0.098,1.090
194,0.461,-0.039,1.004
195,0.480,-0.172,0.898
196,0.445,-0.188,0.898
197,0.309,0.000,1.039
198,0.191,0.059,1.086
199,0.355,-0.051,1.023
200,0.609,-0.246,0.852
201,0.523,-0.090,0.961
202,0.547,-0.121,1.164
203,0.668,0.031,0.863
204,0.387,-0.172,0.922
205,0.672,0.012,1.004
206,0.727,0.000,0.941
207,0.742,-0.023,0.949
208,0.773,0.027,1.000
209,0.809,-0.023,0.898
210,0.703,-0.062,0.887
211,0.688,0.008,1.004
212,0.582,-0.020,0.902
213,0.637,0.031,0.965
214,0.754,0.035,0.922
215,0.645,-0.043,0.910
216,0.656,0.094,1.039
217,0.391,-0.121,0.938
218,0.461,-0.160,0.973
219,0.270,-0.086,0.918
220,0.391,-0.070,1.098
221,0.492,0.027,0.824
222,0.473,-0.105,1.070
223,0.258,-0.156,1.047
224,0.445,-0.289,0.918
225,0.562,-0.051,0.820
226,0.363,0.176,1.145
227,0.668,0.109,1.160
228,0.383,-0.195,0.770
229,0.820,-0.328,1.074
230,0.816,-0.227,0.746
231,0.609,0.109,1.016
232,0.645,0.281,1.059
233,0.645,0.281,1.059
234,0.504,0.160,1.016
235,0.188,-0.344,0.910
236,0.953,-0.211,0.785
237,0.531,0.004,0.910
238,0.207,0.320,1.160
239,-0.168,0.344,1.023
240,-0.410,0.184,0.840
241,-0.230,-0.195,0.875
242,-0.102,-0.234,0.988
243,-0.211,-0.062,0.844
244,-0.469,0.145,0.977
245,-0.867,0.094,0.996
246,-0.605,0.020,0.902
247,-0.203,-0.160,0.934
248,-0.223,-0.285,0.945
249,-0.078,-0.160,0.914
250,-0.125,0.039,1.004
251,-0.262,0.074,1.020
252,-0.152,-0.074,0.945
253,-0.059,-0.055,0.883
254,0.445,-0.180,1.113
255,0.598,0.066,0.926
256,0.535,0.082,1.129
257,0.320,0.086,0.992
258,0.273,0.020,0.992
259,0.426,-0.105,1.000
260,0.555,-0.016,0.945
261,0.574,0.211,1.102
262,0.293,0.160,0.992
263,-0.320,0.145,0.914
264,-0.254,-0.008,0.980
265,0.133,-0.105,0.938
266,0.191,-0.211,0.910
267,-0.188,-0.160,0.812
