Sample,X,Y,Z
0,0.141,-0.020,0.871
1,0.004,-0.016,0.957
2,0.004,-0.016,0.949
3,-0.008,-0.027,0.961
4,0.004,-0.016,0.953
5,0.008,-0.020,0.953
6,0.012,-0.023,0.949
7,0.000,-0.016,0.957
8,0.000,-0.020,0.965
9,0.004,-0.020,0.957
10,0.012,-0.027,0.957
11,-0.004,-0.023,0.957
12,-0.004,-0.020,0.965
13,-0.004,-0.027,0.973
14,0.008,-0.031,0.961
15,0.016,-0.027,0.969
16,0.000,-0.027,0.965
17,0.000,-0.020,0.965
18,0.008,-0.020,0.973
19,0.004,-0.027,0.961
20,-0.004,-0.008,1.004
21,0.000,-0.031,0.977
22,-0.004,-0.012,0.957
23,0.000,-0.012,0.965
24,0.000,-0.027,0.953
25,0.000,-0.020,0.961
26,0.004,-0.012,0.957
27,0.004,-0.016,0.961
28,0.000,-0.020,0.965
29,0.004,-0.023,0.969
30,0.004,-0.027,0.961
31,0.012,-0.020,0.953
32,0.004,-0.023,0.961
33,-0.004,-0.016,0.957
34,0.004,-0.016,0.957
35,0.004,-0.023,0.961
36,0.008,-0.023,0.957
37,0.016,-0.016,0.969
38,-0.008,-0.023,0.961
39,-0.008,-0.023,0.973
40,-0.008,-0.023,0.934
41,0.008,-0.020,0.973
42,0.004,-0.027,0.965
43,-0.008,-0.020,0.977
44,0.004,-0.020,0.965
45,0.012,-0.027,0.961
46,0.012,-0.031,0.949
47,-0.008,-0.020,0.961
48,-0.008,-0.020,0.969
49,0.004,-0.012,0.973
50,0.008,-0.020,0.949
51,0.008,-0.027,0.965
52,0.000,-0.016,0.961
53,0.000,-0.012,0.973
54,0.000,-0.016,0.957
55,0.004,-0.023,0.961
56,0.008,-0.023,0.941
57,0.000,-0.016,0.953
58,0.000,-0.012,0.965
59,0.000,-0.020,0.965
60,-0.016,-0.016,0.969
61,0.004,-0.012,0.961
62,0.000,-0.016,0.965
63,0.004,-0.012,0.961
64,0.008,-0.023,0.957
65,0.004,-0.023,0.965
66,0.000,-0.027,0.961
67,0.004,-0.020,0.961
68,0.008,-0.023,0.973
69,0.000,-0.020,0.965
70,0.004,-0.023,0.961
71,0.000,-0.027,0.965
72,0.000,-0.020,0.969
73,0.000,-0.027,0.965
74,0.000,-0.027,0.965
75,0.004,-0.023,0.953
76,0.000,-0.023,0.961
77,0.008,-0.020,0.957
78,0.004,-0.023,0.965
79,0.000,-0.020,0.953
80,0.008,-0.023,0.957
81,0.000,0.000,0.945
82,0.008,-0.027,0.957
83,0.008,-0.027,0.957
84,0.000,-0.008,0.965
85,-0.004,-0.016,0.965
86,-0.004,-0.020,0.961
