Sample,X,Y,Z
0,0.129,0.008,0.883
1,-0.008,0.000,0.984
2,-0.008,-0.004,0.988
3,0.012,-0.012,0.980
4,0.020,-0.008,0.973
5,-0.004,-0.004,0.988
6,-0.020,0.000,0.980
7,0.000,-0.004,0.980
8,0.020,-0.008,0.977
9,0.004,-0.004,0.977
10,-0.016,0.000,0.984
11,-0.004,-0.004,0.984
12,0.004,-0.004,0.977
13,0.016,-0.008,0.977
14,-0.004,-0.004,0.973
15,-0.008,0.000,0.992
16,0.004,0.000,0.980
17,0.004,0.000,0.977
18,0.000,-0.004,0.980
19,-0.012,0.000,0.969
20,-0.012,0.020,0.949
21,0.008,0.008,0.996
22,0.008,-0.004,0.977
23,-0.004,-0.004,0.980
24,-0.008,0.000,0.977
25,0.008,-0.004,0.984
26,0.016,-0.004,0.980
27,0.000,-0.008,0.965
28,-0.012,0.000,0.996
29,0.008,0.000,0.980
30,0.020,-0.008,0.977
31,-0.004,-0.008,0.973
32,-0.012,-0.012,0.977
33,-0.008,0.004,0.980
34,0.012,0.000,0.977
35,0.008,-0.004,0.980
36,0.004,-0.012,0.977
37,0.004,-0.012,0.977
38,-0.012,0.000,0.984
39,-0.008,0.004,0.992
40,0.023,-0.004,0.977
41,0.008,-0.043,0.938
42,-0.008,0.004,0.977
43,-0.020,0.004,0.984
44,0.008,-0.004,0.984
45,0.012,-0.016,0.977
46,-0.008,-0.012,0.973
47,-0.016,0.000,0.984
48,0.000,0.000,0.977
49,0.016,-0.004,0.961
50,-0.004,-0.008,0.973
51,-0.004,-0.008,0.980
52,0.000,0.000,0.977
53,0.008,-0.004,0.973
54,0.004,-0.008,0.969
55,-0.008,-0.012,0.980
56,-0.012,0.000,0.984
57,-0.004,0.000,0.992
58,0.016,-0.012,0.973
59,0.008,-0.008,0.980
60,0.000,-0.016,0.957
61,-0.016,0.004,0.969
62,0.012,-0.008,0.988
63,0.023,-0.012,0.977
64,-0.004,-0.012,0.980
65,-0.012,-0.004,0.984
66,-0.008,0.008,0.988
67,0.012,-0.008,0.992
68,0.008,-0.012,0.977
69,0.000,-0.004,0.973
70,-0.004,0.004,0.984
71,-0.004,0.000,0.980
72,0.004,-0.012,0.984
73,0.000,-0.004,0.977
74,-0.016,-0.004,0.988
75,0.012,-0.004,0.969
76,0.008,-0.008,0.973
77,-0.004,-0.004,0.969
78,-0.008,-0.004,0.988
79,-0.004,-0.004,0.980
80,0.008,0.000,0.945
81,0.008,-0.008,0.996
82,-0.012,-0.004,0.977
83,-0.012,0.000,0.988
84,0.000,-0.008,0.980
85,0.016,-0.012,0.965
86,0.004,-0.016,0.984
87,-0.012,0.000,0.992
88,-0.004,-0.004,0.984
89,0.008,-0.012,0.973
90,0.008,-0.008,0.980
91,-0.004,0.000,0.988
92,-0.004,0.004,0.992
93,0.000,0.000,0.980
94,0.004,-0.008,0.988
95,-0.012,-0.004,0.984
96,0.000,0.000,0.992
97,0.004,0.000,0.984
98,0.008,-0.004,0.973
99,-0.012,0.000,0.980
100,-0.008,-0.043,0.941
101,0.012,-0.012,0.973
102,0.008,0.004,0.969
103,0.000,-0.004,0.980
104,-0.008,-0.004,0.980
105,0.008,-0.004,0.984
106,-0.004,0.004,0.977
107,-0.004,0.000,0.984
108,0.090,0.008,0.949
109,0.039,0.027,0.965
110,-0.020,0.082,1.004
111,0.023,0.051,0.996
112,0.047,0.023,0.953
113,0.133,0.070,0.934
114,0.152,0.082,0.984
115,0.152,0.125,1.012
116,0.172,0.113,0.984
117,0.148,0.105,0.953
118,0.145,0.117,0.996
119,0.133,0.160,1.000
120,0.133,0.160,1.012
121,0.172,0.133,0.949
122,0.188,0.137,0.973
123,0.176,0.148,0.992
124,0.121,0.199,0.984
125,0.113,0.180,0.980
126,0.102,0.164,0.969
127,0.105,0.148,0.965
128,0.074,0.168,0.973
129,0.078,0.168,0.996
130,0.156,0.152,0.984
131,0.172,0.137,0.973
132,0.168,0.129,0.973
133,0.102,0.129,0.996
134,0.047,0.102,1.012
135,0.086,0.090,0.977
136,0.121,0.043,0.973
137,0.121,0.043,0.973
138,0.148,0.066,0.973
139,0.152,0.070,0.988
140,0.145,0.078,0.984
141,0.172,0.105,1.012
142,0.176,0.059,0.961
143,0.094,0.098,0.988
144,0.023,0.098,0.992
145,0.090,0.098,0.977
146,0.148,0.066,0.961
147,0.156,0.105,0.977
148,0.172,0.137,0.977
149,0.172,0.141,0.984
150,0.082,0.145,1.004
151,0.047,0.125,0.988
152,0.078,0.125,0.973
153,0.141,0.148,0.980
154,0.227,0.195,0.973
155,0.227,0.184,1.012
156,0.117,0.191,1.008
157,0.105,0.152,0.969
158,0.141,0.145,0.969
159,0.180,0.215,0.984
160,0.199,0.227,0.973
161,0.105,0.184,1.043
162,0.090,0.121,0.977
163,0.172,0.082,0.957
164,0.234,0.133,0.969
165,0.172,0.172,1.000
166,0.047,0.133,1.012
167,0.082,0.035,0.969
168,0.141,0.012,0.949
169,0.223,0.098,0.969
170,0.113,0.113,1.043
171,0.027,0.129,1.012
172,0.133,0.000,0.934
173,0.180,0.020,0.922
174,0.125,0.109,0.996
175,0.039,0.152,1.039
176,0.125,0.113,0.984
177,0.176,0.031,0.926
178,0.117,0.086,0.961
179,0.066,0.109,1.016
180,0.141,0.168,0.969
181,0.195,0.113,0.945
182,0.129,0.113,0.965
183,0.117,0.105,0.992
184,0.164,0.121,1.000
185,0.148,0.160,0.965
186,0.129,0.172,0.992
187,0.160,0.156,0.984
188,0.102,0.094,1.000
189,0.086,0.164,0.941
190,0.172,0.168,0.965
191,0.195,0.176,1.031
192,0.105,0.172,0.980
193,0.121,0.113,0.973
194,0.059,0.105,0.984
195,0.094,0.129,0.992
196,0.145,0.113,0.973
197,0.109,0.082,0.965
198,0.125,0.113,0.965
199,0.117,0.055,1.016
200,0.082,0.043,0.977
201,0.152,0.082,0.926
202,0.145,0.070,0.965
203,0.086,0.113,1.020
204,0.125,0.090,0.969
205,0.137,0.062,0.973
206,0.168,0.090,0.977
207,0.176,0.129,0.988
208,0.109,0.117,1.008
209,0.129,0.109,0.934
210,0.109,0.062,0.973
211,0.121,0.109,0.988
212,0.145,0.121,0.973
213,0.113,0.133,0.980
214,0.125,0.121,0.961
215,0.074,0.090,0.988
216,0.152,0.125,0.980
217,0.090,0.105,0.945
218,0.051,0.199,0.988
219,0.141,0.141,1.008
220,0.094,0.168,1.004
221,0.125,0.109,1.000
222,0.121,0.117,0.934
223,0.105,0.219,1.008
224,0.137,0.133,1.039
225,0.125,0.137,0.938
226,0.168,0.082,0.961
227,0.086,0.129,0.977
228,0.102,0.168,1.035
229,0.133,0.086,0.945
230,0.156,0.078,0.984
231,0.145,0.059,0.969
232,0.129,0.086,1.020
233,0.168,0.082,1.000
234,0.156,0.113,0.930
235,0.176,0.074,1.031
236,0.023,0.113,0.977
237,0.090,0.082,0.973
238,0.164,0.066,0.926
239,0.121,0.137,1.020
240,0.148,0.113,1.031
241,0.059,0.082,0.965
242,0.074,0.074,0.945
243,0.098,0.164,0.949
244,0.102,0.098,1.039
245,0.102,0.168,0.949
246,0.121,0.070,0.941
247,0.102,0.137,1.000
248,0.137,0.168,0.996
249,0.145,0.090,0.977
250,0.094,0.156,0.949
251,0.070,0.070,0.988
252,0.160,0.199,0.984
253,0.137,0.102,0.977
254,0.125,0.152,1.012
255,0.141,0.121,1.004
256,0.215,0.066,1.035
257,0.129,0.102,0.938
258,0.156,0.090,0.965
259,0.195,0.164,1.027
260,0.203,0.102,1.086
261,0.199,0.109,0.988
262,0.109,0.086,0.941
263,0.125,0.156,0.996
264,0.113,0.180,0.969
265,0.145,0.113,1.020
266,0.109,0.121,0.930
267,0.000,0.121,0.926
268,0.062,0.125,1.027
269,0.148,0.125,0.949
270,0.168,0.121,0.910
271,0.027,0.074,1.016
272,0.113,0.121,0.941
273,0.152,0.094,1.004
274,0.004,0.098,0.988
275,0.152,0.090,0.934
276,0.262,0.078,1.000
277,0.133,0.109,0.988
278,0.129,0.184,1.004
279,0.270,0.094,0.973
280,0.180,0.086,1.023
281,0.090,0.172,0.977
282,0.141,0.105,0.965
283,0.191,0.156,0.988
284,0.223,0.156,0.969
285,0.082,0.133,0.996
286,0.195,0.141,0.992
287,0.125,0.152,1.043
288,0.043,0.137,0.902
289,0.066,0.121,0.984
290,0.055,0.133,0.969
291,0.164,0.105,1.008
292,0.098,0.148,0.957
293,0.059,0.105,0.965
294,0.141,0.133,1.008
295,0.227,0.070,0.941
296,0.039,0.129,0.949
297,0.023,0.156,0.961
298,0.129,0.102,1.066
299,0.258,0.152,0.965
300,0.230,0.020,0.930
301,0.078,0.156,0.992
302,0.074,0.090,0.984
303,0.266,0.090,1.004
304,0.223,0.094,0.914
305,0.133,0.090,0.996
306,-0.020,0.129,1.035
307,0.082,0.051,1.012
308,0.309,0.105,0.875
309,0.191,0.070,0.980
310,0.012,0.215,1.059
311,0.047,0.121,0.949
312,0.145,0.094,0.953
313,0.160,0.160,0.957
314,0.066,0.176,1.059
315,-0.066,0.203,1.012
316,0.184,0.098,0.879
317,0.215,0.137,0.930
318,0.117,0.133,1.047
319,0.016,0.160,1.004
320,0.094,0.125,0.926
321,0.125,0.086,0.945
322,0.074,0.113,1.078
323,0.133,0.082,1.008
324,0.164,0.094,0.906
325,0.164,0.117,0.973
326,0.184,0.133,0.996
327,0.105,0.094,1.043
328,0.230,0.090,0.965
329,0.148,0.074,0.918
330,0.125,0.148,0.988
331,0.195,0.145,0.980
332,0.090,0.129,0.996
333,0.133,0.125,0.961
334,0.102,0.055,0.918
335,0.039,0.172,0.992
336,0.070,0.133,0.988
337,0.168,0.133,0.945
338,0.215,0.141,0.973
339,0.078,0.133,0.988
340,-0.020,0.195,1.027
341,0.117,0.051,0.965
342,0.191,0.051,0.918
343,0.137,0.121,0.965
344,0.102,0.137,1.055
345,-0.039,0.117,1.027
346,0.207,0.031,0.910
347,0.273,0.035,0.945
348,0.070,0.188,1.020
349,0.000,0.211,1.062
350,-0.059,-0.008,1.008
351,0.191,0.020,0.840
352,0.305,0.047,0.953
353,0.141,0.215,1.121
354,0.133,0.152,1.039
355,0.211,-0.062,0.898
356,0.125,0.035,0.875
357,0.121,0.109,0.957
358,0.031,0.207,1.133
359,0.125,0.164,0.988
360,0.301,0.000,0.828
361,0.137,0.129,0.965
362,-0.129,0.211,1.047
363,0.035,0.180,1.090
364,0.379,0.086,0.852
365,0.191,0.125,0.898
366,-0.020,0.234,1.152
367,-0.031,0.129,0.992
368,0.141,0.059,0.984
369,0.383,0.023,0.871
370,0.211,0.164,1.008
371,-0.105,0.211,1.062
372,0.109,0.086,0.969
373,0.207,-0.004,0.859
374,0.207,-0.004,0.859
375,0.281,0.059,0.988
376,0.074,0.223,1.020
377,-0.066,0.191,1.047
378,0.160,0.066,0.949
379,0.258,0.035,0.906
380,0.156,0.098,1.031
381,0.004,0.184,1.094
382,0.043,0.145,0.957
383,0.320,0.094,0.914
384,0.172,0.055,1.043
385,-0.023,0.121,1.035
386,0.020,0.039,0.977
387,0.086,0.102,0.887
388,0.328,0.133,0.980
389,0.254,0.074,1.023
390,0.031,0.133,1.016
391,0.176,0.094,0.910
392,0.133,0.133,0.941
393,0.070,0.234,1.039
394,0.125,0.148,0.984
395,0.180,0.129,0.895
396,0.125,0.184,0.969
397,0.094,0.199,1.004
398,0.121,0.195,1.004
399,0.188,0.133,0.926
400,0.102,0.145,0.973
401,0.020,0.148,1.008
402,0.152,0.113,0.969
403,0.137,0.121,0.953
404,0.215,0.133,0.902
405,0.176,0.125,1.039
406,0.051,0.078,1.102
407,0.152,0.012,0.891
408,0.133,0.027,0.898
409,0.039,0.125,1.031
410,0.121,0.148,1.082
411,0.066,0.035,0.977
412,0.129,-0.012,0.918
413,0.191,0.090,0.965
414,0.129,0.180,0.984
415,0.074,0.227,1.078
416,0.133,0.027,0.941
417,0.086,0.031,0.918
418,0.156,0.082,0.953
419,0.168,0.254,1.000
420,0.148,0.242,1.074
421,0.137,-0.008,0.852
422,0.129,0.020,0.906
423,0.141,0.152,1.016
424,0.047,0.277,1.047
425,0.133,0.238,0.996
426,0.199,0.098,0.906
427,0.074,0.191,0.918
428,-0.031,0.125,1.082
429,0.051,0.156,1.004
430,0.297,0.133,0.883
431,0.242,0.195,0.926
432,0.070,0.207,1.105
433,0.059,0.098,1.016
434,0.059,-0.008,0.961
435,0.285,-0.039,0.895
436,0.199,0.066,1.047
437,0.039,0.191,1.020
438,0.086,0.090,1.043
439,0.074,-0.043,0.941
440,0.168,-0.055,0.965
441,0.008,0.094,1.027
442,-0.031,0.168,1.055
443,-0.055,0.059,1.039
444,0.031,-0.098,0.848
445,-0.031,-0.059,0.934
446,0.082,0.086,1.020
447,0.121,-0.023,1.117
448,-0.105,0.070,0.820
449,-0.023,-0.133,0.930
450,-0.012,-0.016,1.000
451,0.082,-0.012,1.008
452,0.055,0.039,0.941
453,0.086,0.039,0.898
454,0.133,0.039,1.023
455,0.133,0.039,1.023
456,-0.082,0.141,0.918
