Sample,X,Y,Z
0,0.121,0.000,0.887
1,-0.020,0.000,0.980
2,-0.012,0.004,0.973
3,0.004,0.000,0.980
4,0.020,-0.004,0.980
5,0.000,-0.004,0.973
6,-0.020,-0.008,0.980
7,-0.004,-0.004,0.980
8,0.008,0.000,0.980
9,0.008,-0.004,0.969
10,-0.004,-0.004,0.988
11,-0.004,-0.004,0.984
12,0.004,-0.004,0.973
13,0.012,-0.008,0.977
14,0.000,-0.004,0.973
15,-0.008,-0.008,0.977
16,-0.004,-0.004,0.977
17,0.020,-0.004,0.973
18,0.016,-0.008,0.977
19,-0.004,-0.004,0.969
20,-0.016,0.035,1.012
21,-0.008,0.000,0.980
22,0.016,-0.008,0.980
23,0.008,-0.004,0.973
24,-0.012,-0.004,0.977
25,-0.020,0.000,0.980
26,0.012,0.000,0.977
27,0.023,0.000,0.980
28,0.000,-0.004,0.977
29,-0.020,-0.004,0.973
30,-0.008,0.000,0.984
31,0.016,-0.008,0.980
32,0.012,-0.008,0.973
33,-0.004,-0.008,0.980
34,-0.020,-0.004,0.980
35,-0.004,0.000,0.969
36,0.016,-0.004,0.984
37,0.004,-0.008,0.973
38,-0.008,-0.004,0.980
39,-0.012,-0.008,0.977
40,0.004,0.020,1.016
41,0.012,-0.008,0.977
42,0.000,-0.012,0.973
43,-0.016,-0.004,0.977
44,0.004,-0.012,0.977
45,0.008,0.000,0.980
46,0.008,-0.004,0.984
47,-0.004,0.000,0.977
48,-0.004,-0.004,0.969
49,0.004,-0.004,0.980
50,0.000,-0.004,0.977
51,0.000,-0.004,0.984
52,-0.008,0.004,0.984
53,-0.008,-0.004,0.977
54,0.008,-0.004,0.969
55,0.000,-0.004,0.977
56,-0.004,-0.004,0.980
57,0.000,-0.004,0.973
58,0.008,-0.004,0.980
59,0.004,-0.004,0.980
60,0.012,0.008,0.992
61,0.000,-0.027,0.977
62,0.008,0.000,0.980
63,0.004,-0.004,0.984
64,-0.004,-0.008,0.980
65,-0.008,-0.004,0.973
66,0.000,-0.004,0.980
67,0.008,-0.004,0.980
68,0.008,-0.004,0.977
69,-0.008,-0.004,0.977
70,0.000,0.000,0.980
71,0.004,-0.004,0.980
72,0.000,-0.004,0.977
73,0.008,-0.004,0.969
74,-0.004,0.000,0.980
75,-0.016,0.000,0.980
76,-0.004,0.000,0.980
77,-0.004,0.000,0.980
78,0.008,-0.004,0.980
79,0.000,-0.008,0.969
80,0.000,-0.004,0.980
81,-0.016,-0.016,0.996
82,0.004,-0.004,0.980
83,0.004,0.000,0.965
84,0.004,0.000,0.977
85,-0.004,-0.004,0.977
86,0.000,0.000,0.977
87,0.004,-0.004,0.980
88,0.000,-0.004,0.980
89,-0.004,-0.004,0.988
90,0.000,0.000,0.969
91,0.008,0.000,0.977
92,0.012,-0.008,0.980
93,0.000,0.000,0.973
