Sample,X,Y,Z
0,-0.020,-0.020,0.891
1,-0.004,0.000,0.973
2,0.008,-0.004,0.977
3,0.008,0.000,0.977
4,0.000,-0.004,0.980
5,-0.008,0.000,0.984
6,-0.008,0.008,0.984
7,0.008,-0.004,0.980
8,0.012,0.000,0.973
9,-0.004,0.000,0.977
10,-0.008,0.000,0.984
11,0.000,0.004,0.980
12,0.004,-0.004,0.977
13,0.000,-0.004,0.977
14,-0.004,0.000,0.992
15,0.000,-0.004,0.984
16,0.000,-0.004,0.977
17,-0.004,-0.004,0.969
18,0.000,-0.004,0.984
19,0.004,-0.004,0.980
20,-0.016,0.016,0.973
21,-0.004,0.000,0.977
22,0.000,-0.004,0.984
23,0.004,0.000,0.977
24,-0.004,-0.004,0.973
25,-0.004,-0.004,0.977
26,0.004,-0.004,0.977
27,0.000,-0.004,0.969
28,0.000,0.004,0.977
29,0.000,-0.004,0.980
30,0.004,-0.008,0.980
31,0.000,0.000,0.973
32,0.000,-0.004,0.980
33,0.000,-0.004,0.980
34,-0.004,0.000,0.980
35,0.000,0.000,0.984
36,0.000,0.000,0.984
37,0.000,0.000,0.984
38,0.004,0.004,0.973
39,-0.004,0.000,0.984
40,-0.004,0.000,0.984
41,0.008,0.012,0.949
42,-0.004,0.008,0.969
43,-0.004,0.000,0.984
44,0.000,0.000,0.988
45,-0.004,-0.004,0.980
46,0.004,-0.004,0.973
47,-0.004,-0.008,0.977
48,-0.008,-0.004,0.996
49,0.004,0.000,0.992
50,0.000,-0.004,0.984
51,-0.008,-0.004,0.973
52,0.004,-0.004,0.988
53,0.004,-0.004,0.977
54,0.000,0.000,0.977
55,0.000,-0.004,0.984
56,0.000,-0.008,0.984
57,-0.004,-0.004,0.988
58,0.000,0.000,0.980
59,0.000,-0.012,0.980
60,0.008,0.031,0.988
61,0.004,-0.008,0.953
62,0.000,0.000,0.977
63,0.000,0.000,0.984
64,0.004,0.000,0.984
65,0.000,0.004,0.977
66,-0.004,0.000,0.984
67,0.008,-0.004,0.984
68,0.000,-0.004,0.973
69,-0.004,-0.004,0.980
70,-0.004,-0.004,0.984
71,0.000,-0.004,0.980
72,0.004,0.000,0.977
73,0.000,-0.008,0.988
74,-0.004,-0.004,0.988
75,0.004,-0.004,0.988
76,0.000,0.004,0.980
77,0.000,0.004,0.980
78,0.000,0.000,0.988
79,0.000,0.000,0.984
80,-0.004,0.000,0.980
81,-0.016,0.008,1.020
82,-0.004,-0.016,0.980
83,0.004,-0.004,0.969
84,0.000,-0.004,0.977
85,-0.004,0.000,0.977
86,-0.008,-0.004,0.977
87,0.004,-0.008,0.973
88,0.004,-0.008,0.977
89,0.000,0.008,0.973
90,-0.004,0.000,0.977
91,0.000,-0.008,0.980
92,-0.004,0.000,0.984
93,0.004,0.000,0.977
94,0.000,0.000,0.973
95,-0.008,0.000,0.980
96,0.000,0.000,0.977
97,0.004,-0.008,0.980
98,0.004,-0.004,0.977
99,-0.004,0.000,0.977
100,-0.027,0.023,1.023
101,0.012,0.012,0.953
102,0.051,-0.012,0.984
103,0.184,-0.035,0.992
104,0.281,-0.051,0.949
105,0.309,-0.012,0.977
106,0.270,-0.008,0.977
107,0.348,0.055,1.000
108,0.480,0.020,1.008
109,0.586,-0.027,0.957
110,0.578,-0.012,0.988
111,0.488,-0.004,1.004
112,0.465,0.008,1.000
113,0.516,-0.023,0.992
114,0.539,-0.027,0.973
115,0.492,-0.023,1.000
116,0.301,-0.004,1.000
117,0.102,0.027,0.984
118,0.043,0.062,0.980
119,0.164,-0.004,0.977
120,0.246,-0.051,0.922
121,0.102,-0.027,0.941
122,-0.102,0.008,0.969
123,-0.160,0.035,0.984
124,-0.008,0.008,0.973
125,0.168,-0.090,0.926
126,0.180,-0.102,0.945
127,0.070,-0.043,0.965
128,0.047,0.035,0.973
129,0.242,0.043,0.996
130,0.445,0.004,0.973
131,0.473,-0.012,0.965
132,0.383,-0.004,1.027
133,0.359,0.020,1.023
134,0.367,-0.012,0.992
135,0.434,-0.008,0.980
136,0.492,0.012,1.008
137,0.488,0.031,1.031
138,0.469,0.020,1.012
139,0.426,-0.043,1.043
140,0.328,-0.109,0.941
141,0.195,-0.086,0.934
142,0.172,0.051,0.980
143,0.203,0.113,1.012
144,0.246,0.086,1.039
145,0.223,-0.078,0.949
146,0.086,-0.234,0.906
147,-0.023,-0.125,0.895
148,0.020,0.133,0.965
149,0.191,0.242,1.039
150,0.203,0.059,1.074
151,0.148,-0.262,0.902
152,0.113,-0.293,0.758
153,0.121,0.059,1.008
154,0.340,0.430,1.023
155,0.309,0.270,1.105
156,0.316,-0.289,1.000
157,0.328,-0.391,0.738
158,0.422,-0.062,1.078
159,0.469,0.383,1.027
160,0.254,0.391,0.992
161,0.324,-0.266,1.082
162,0.477,-0.230,0.770
163,0.520,-0.094,1.094
164,0.430,0.211,1.086
165,0.188,0.172,0.984
166,0.172,-0.148,0.887
167,0.391,-0.117,0.914
168,0.312,-0.086,1.102
169,0.266,0.203,0.988
170,0.105,0.012,1.020
171,0.016,-0.133,0.965
172,0.180,-0.078,0.828
173,0.270,-0.062,1.047
174,0.152,0.039,1.055
175,0.047,0.004,0.980
176,0.094,-0.059,0.844
177,0.141,-0.051,0.984
178,0.242,0.043,1.066
179,0.172,0.070,0.938
180,0.180,0.035,0.980
181,0.211,-0.016,0.949
182,0.312,0.008,0.938
183,0.387,-0.035,1.004
184,0.309,0.031,1.004
185,0.324,0.074,1.000
186,0.359,-0.059,0.965
187,0.500,-0.023,0.961
188,0.422,-0.027,0.996
189,0.332,-0.035,1.023
190,0.328,0.027,0.988
191,0.270,-0.012,1.020
