Sample,X,Y,Z
0,0.094,0.004,0.879
1,-0.008,-0.004,0.973
2,-0.008,-0.004,0.984
3,0.000,-0.004,0.973
4,0.008,-0.004,0.984
5,-0.004,0.000,0.973
6,-0.008,0.000,0.980
7,-0.008,-0.008,0.977
8,0.016,-0.004,0.977
9,0.012,-0.004,0.977
10,-0.008,-0.004,0.977
11,-0.008,-0.004,0.977
12,0.004,-0.004,0.973
13,0.016,-0.004,0.969
14,0.000,-0.008,0.977
15,-0.020,-0.004,0.984
16,-0.012,-0.004,0.984
17,0.012,-0.004,0.980
18,0.016,-0.008,0.977
19,-0.016,0.000,0.984
20,0.000,0.012,0.973
21,-0.004,-0.008,0.977
22,0.020,-0.012,0.980
23,0.000,-0.004,0.980
24,-0.008,-0.004,0.984
25,-0.004,-0.004,0.969
26,0.004,-0.008,0.973
27,0.000,0.000,0.984
28,-0.004,-0.004,0.977
29,-0.004,-0.004,0.984
30,0.004,0.000,0.973
31,0.008,0.000,0.980
32,0.000,-0.004,0.977
33,-0.008,0.008,0.977
34,0.000,0.004,0.977
35,0.000,-0.004,0.973
36,0.008,0.004,0.977
37,0.000,-0.008,0.980
38,-0.012,0.000,0.980
39,-0.008,-0.008,0.977
40,0.004,-0.004,1.008
41,0.008,-0.016,0.965
42,-0.016,-0.008,0.977
43,-0.012,0.000,0.984
44,0.000,0.000,0.988
45,0.012,-0.004,0.973
46,-0.008,0.000,0.984
47,-0.004,0.000,0.977
48,0.000,-0.008,0.977
49,0.000,-0.004,0.977
50,0.004,-0.012,0.973
51,0.000,-0.004,0.977
52,-0.008,-0.004,0.988
53,0.000,-0.008,0.980
54,0.016,0.000,0.977
55,0.012,-0.004,0.980
56,0.000,-0.008,0.973
57,-0.008,-0.004,0.980
58,0.000,-0.004,0.980
59,0.008,-0.004,0.980
60,-0.012,0.008,1.008
61,-0.004,0.000,0.953
62,-0.012,0.000,0.988
63,0.004,0.000,0.973
64,0.016,-0.004,0.969
65,0.000,0.000,0.977
66,-0.012,-0.004,0.980
67,-0.008,0.000,0.977
68,0.008,0.004,0.984
69,0.004,0.000,0.988
70,-0.012,-0.004,0.980
71,-0.008,-0.004,0.977
72,0.008,0.000,0.973
73,0.004,-0.012,0.980
74,-0.004,-0.004,0.977
75,-0.008,-0.004,0.984
76,-0.004,-0.004,0.977
77,0.012,-0.004,0.980
78,0.004,-0.012,0.984
79,-0.004,0.000,0.980
80,-0.035,-0.012,1.008
81,0.004,-0.004,0.965
82,0.008,-0.012,0.973
83,0.004,-0.004,0.980
84,-0.012,-0.004,0.980
85,-0.004,-0.004,0.980
86,0.008,-0.004,0.980
87,0.016,-0.012,0.977
88,-0.012,-0.004,0.980
89,-0.016,-0.004,0.980
90,-0.004,0.000,0.980
91,0.020,-0.012,0.969
92,0.012,-0.004,0.969
93,-0.012,-0.004,0.984
94,-0.012,0.000,0.980
95,0.000,0.000,0.980
96,0.008,0.008,0.977
97,0.008,-0.004,0.977
98,-0.008,0.000,0.984
99,-0.016,-0.004,0.984
100,-0.012,0.012,0.988
101,-0.043,0.020,0.969
102,0.000,0.086,0.941
103,0.051,0.199,0.969
104,0.039,0.316,1.008
105,-0.012,0.332,0.980
106,-0.035,0.289,0.965
107,0.031,0.320,0.895
108,0.090,0.496,0.941
109,0.039,0.660,0.984
110,-0.055,0.707,0.969
111,-0.059,0.582,0.953
112,0.047,0.426,0.910
113,0.121,0.352,0.941
114,0.051,0.414,0.941
115,-0.070,0.508,0.977
116,-0.145,0.488,0.984
117,-0.070,0.371,0.980
118,0.039,0.273,0.977
119,0.117,0.227,1.020
120,0.105,0.242,1.051
121,-0.023,0.270,1.047
122,-0.125,0.191,1.031
123,-0.055,0.078,1.074
124,0.090,-0.039,1.051
125,0.160,-0.074,1.043
126,0.023,0.004,1.020
127,-0.168,0.090,1.035
128,-0.133,0.129,1.035
129,0.098,0.078,1.012
130,0.188,-0.004,0.957
131,-0.012,-0.031,0.961
132,-0.180,-0.031,0.957
133,-0.148,0.027,0.898
134,0.043,0.188,0.906
135,0.191,0.371,0.922
136,0.164,0.484,0.922
137,-0.066,0.453,0.887
138,-0.219,0.340,0.938
139,-0.152,0.207,0.883
140,0.027,0.316,0.816
141,0.246,0.645,0.898
142,0.246,0.844,0.992
143,0.047,0.820,0.977
144,-0.270,0.500,0.969
145,-0.332,0.164,0.926
146,0.074,0.168,0.980
147,0.402,0.496,0.965
148,0.312,0.684,1.113
149,-0.215,0.586,1.082
150,-0.457,0.223,0.977
151,-0.082,-0.020,1.027
152,0.422,0.039,1.086
153,0.363,0.188,1.152
154,-0.246,0.219,1.105
155,-0.465,0.035,1.004
156,-0.020,-0.016,1.020
157,0.508,0.109,1.145
158,0.207,0.094,1.156
159,-0.312,-0.023,1.051
160,-0.418,-0.117,0.832
161,0.113,-0.047,1.004
162,0.398,0.211,1.059
163,0.191,0.340,1.043
164,-0.199,0.227,0.871
165,-0.395,0.016,0.840
166,-0.090,-0.031,0.875
167,0.398,0.266,0.859
168,0.355,0.488,0.914
169,-0.133,0.578,0.871
170,-0.410,0.340,0.797
171,-0.137,0.262,0.734
172,0.293,0.355,0.930
173,0.305,0.484,0.930
174,0.012,0.562,0.867
175,-0.293,0.469,0.801
176,-0.289,0.371,0.934
177,0.234,0.391,1.020
178,0.320,0.422,1.031
179,0.023,0.406,1.031
180,-0.160,0.312,0.930
181,-0.223,0.168,1.023
182,0.137,0.199,1.137
183,0.297,0.223,1.164
184,0.078,0.230,1.180
185,-0.184,0.148,1.016
186,-0.215,-0.020,1.023
187,0.012,0.031,1.137
188,0.230,0.117,1.184
189,0.086,0.074,1.125
190,-0.207,0.066,1.004
191,-0.219,-0.004,0.969
192,0.000,0.062,1.004
193,0.199,0.141,1.043
194,0.055,0.168,1.047
195,-0.172,0.176,0.922
196,-0.094,0.094,0.832
197,0.082,0.164,0.883
198,0.262,0.309,0.961
199,0.086,0.383,0.891
200,-0.117,0.363,0.832
201,-0.129,0.293,0.793
202,0.109,0.289,0.832
203,0.176,0.398,0.836
204,-0.004,0.441,0.906
205,-0.199,0.430,0.910
206,-0.164,0.355,0.805
207,0.074,0.324,0.836
208,0.070,0.332,0.953
209,-0.039,0.352,0.953
210,-0.129,0.324,0.992
211,-0.020,0.262,0.926
212,0.074,0.250,1.031
213,0.199,0.238,1.027
214,0.062,0.234,1.066
215,0.004,0.262,1.152
216,-0.012,0.230,1.090
217,0.055,0.164,1.113
218,0.051,0.176,1.078
219,0.008,0.117,1.164
220,-0.070,0.145,1.133
221,-0.066,0.172,1.141
222,-0.172,0.188,1.055
223,0.035,0.102,1.070
224,-0.035,0.043,0.953
225,0.008,0.098,1.074
226,-0.062,0.145,0.973
227,0.094,0.242,1.008
228,0.031,0.230,0.898
229,0.090,0.258,0.926
230,-0.016,0.215,0.828
231,0.059,0.355,0.965
232,-0.094,0.332,0.863
233,0.051,0.379,0.902
234,-0.035,0.262,0.742
235,-0.035,0.262,0.742
236,0.039,0.391,0.922
237,0.012,0.371,0.852
238,-0.031,0.375,0.926
239,-0.070,0.336,0.809
240,-0.082,0.297,0.910
241,0.074,0.324,0.891
242,0.207,0.320,0.973
243,0.055,0.273,0.965
244,-0.051,0.273,0.949
245,-0.156,0.211,0.980
246,-0.039,0.145,1.035
247,-0.027,0.176,1.008
248,0.160,0.098,1.102
249,0.023,0.219,1.004
250,-0.035,0.238,1.219
251,0.016,0.215,1.012
252,-0.027,0.270,1.121
253,0.020,0.156,1.180
254,-0.004,0.219,1.051
255,0.184,0.145,1.160
256,0.086,0.211,0.957
257,-0.215,0.180,1.113
258,-0.184,0.152,1.062
259,0.035,0.184,0.961
260,0.148,0.152,1.027
261,0.066,0.207,0.930
262,0.027,0.250,0.926
263,-0.207,0.363,0.914
264,0.133,0.359,0.949
265,0.223,0.258,0.875
266,-0.059,0.211,0.867
267,-0.121,0.152,0.848
268,-0.211,0.254,0.840
269,-0.023,0.410,0.910
270,0.164,0.473,0.938
271,0.047,0.348,0.879
272,0.000,0.254,0.816
273,-0.133,0.188,0.898
274,0.094,0.207,0.980
275,0.125,0.355,0.918
276,0.078,0.383,0.949
277,0.012,0.227,0.988
278,-0.105,0.160,0.930
279,0.113,0.148,1.031
280,-0.020,0.164,1.012
281,0.027,0.254,1.094
282,-0.043,0.242,0.984
283,0.066,0.223,1.090
284,-0.121,0.113,1.094
285,0.012,0.102,1.074
