Sample,X,Y,Z
0,0.109,-0.004,0.883
1,0.000,-0.004,0.980
2,0.008,0.000,0.980
3,0.004,-0.008,0.965
4,0.004,-0.008,0.969
5,-0.004,-0.004,0.980
6,0.000,-0.004,0.980
7,-0.008,0.000,0.977
8,0.000,-0.008,0.965
9,0.004,-0.004,0.977
10,0.008,-0.004,0.984
11,-0.004,0.000,0.977
12,-0.012,-0.004,0.984
13,-0.004,-0.012,0.973
14,0.012,-0.012,0.977
15,0.008,0.000,0.977
16,-0.008,0.000,0.980
17,0.000,-0.004,0.973
18,0.016,-0.016,0.984
19,0.012,-0.004,0.988
20,0.004,0.039,0.953
21,-0.016,0.008,0.977
22,0.008,-0.012,0.984
23,0.020,-0.008,0.977
24,0.000,-0.004,0.984
25,-0.012,0.000,0.988
26,-0.008,-0.004,0.973
27,0.023,-0.016,0.973
28,0.016,-0.012,0.977
29,-0.020,-0.004,0.980
30,-0.020,0.000,0.984
31,0.008,-0.004,0.977
32,0.023,-0.012,0.980
33,0.004,0.000,0.969
34,-0.023,0.004,0.984
35,-0.012,0.000,0.988
36,0.020,-0.016,0.977
37,0.020,-0.016,0.977
38,0.023,-0.016,0.973
39,-0.008,-0.004,0.980
40,-0.031,0.004,0.984
41,-0.012,-0.023,0.945
42,0.027,-0.016,0.969
43,0.016,-0.012,0.969
44,-0.027,0.004,0.984
45,-0.016,0.012,0.992
46,0.016,-0.012,0.980
47,0.023,-0.016,0.965
48,-0.004,-0.008,0.988
49,-0.020,0.004,0.992
50,0.000,-0.004,0.980
51,0.027,-0.016,0.969
52,0.004,-0.016,0.973
53,-0.016,-0.004,0.984
54,-0.012,0.000,0.988
55,0.012,-0.004,0.977
56,0.027,-0.004,0.969
57,-0.008,-0.004,0.973
58,-0.031,0.004,0.988
59,-0.004,0.000,0.980
60,0.004,-0.023,0.957
61,0.020,-0.012,0.973
62,-0.027,0.004,0.977
63,-0.023,0.004,0.988
64,0.020,-0.004,0.973
65,0.016,-0.012,0.973
66,-0.012,-0.004,0.984
67,-0.023,0.000,0.980
68,0.004,0.000,0.984
69,0.020,-0.008,0.965
70,0.004,-0.008,0.977
71,-0.020,0.000,0.980
72,-0.012,0.000,0.980
73,0.012,-0.012,0.977
74,0.016,-0.012,0.965
75,-0.012,-0.004,0.980
76,-0.020,0.004,0.980
77,0.008,-0.012,0.977
78,0.020,-0.016,0.969
79,-0.008,-0.008,0.984
80,-0.008,0.023,0.984
81,-0.008,-0.004,0.973
82,0.012,-0.012,0.977
83,0.008,-0.012,0.973
84,0.004,-0.004,0.980
85,-0.020,0.004,0.996
86,0.012,-0.004,0.977
87,0.031,-0.012,0.965
88,-0.008,-0.004,0.973
89,-0.020,0.004,0.984
90,-0.004,0.000,0.984
91,0.020,-0.012,0.969
92,0.000,-0.012,0.969
93,-0.020,-0.008,0.980
94,-0.016,0.008,0.980
95,0.012,-0.004,0.977
96,0.016,-0.016,0.965
97,0.000,-0.008,0.973
98,-0.016,0.000,0.984
99,-0.004,0.004,0.988
100,0.012,-0.016,0.922
101,0.012,-0.012,0.973
102,-0.004,-0.008,0.973
103,-0.004,0.004,0.996
104,0.000,0.000,0.980
105,0.004,-0.016,0.977
106,0.000,-0.012,0.977
107,-0.008,0.000,0.992
108,0.070,0.020,0.969
109,0.059,0.016,0.980
110,-0.043,0.055,1.004
111,-0.012,0.047,0.992
112,0.000,0.000,0.969
113,0.082,0.031,0.945
114,0.105,0.027,0.965
115,0.078,0.070,0.996
116,0.094,0.062,0.980
117,0.098,0.062,0.965
118,0.125,0.078,0.973
119,0.117,0.105,0.980
120,0.113,0.105,0.973
121,0.102,0.082,0.969
122,0.113,0.094,0.969
123,0.121,0.078,0.988
124,0.098,0.121,0.980
125,0.094,0.098,0.980
126,0.078,0.098,0.961
127,0.055,0.070,0.969
128,0.043,0.082,0.957
129,0.027,0.113,0.973
130,0.059,0.094,0.988
131,0.055,0.094,0.973
132,0.059,0.062,0.973
133,0.051,0.082,0.973
134,0.043,0.066,1.000
135,0.098,0.082,0.980
136,0.141,0.055,0.980
137,0.145,0.062,0.977
138,0.137,0.074,0.992
139,0.129,0.059,0.992
140,0.121,0.051,0.961
141,0.125,0.062,0.973
142,0.152,0.066,0.984
143,0.156,0.090,0.980
144,0.125,0.102,0.973
145,0.074,0.105,0.992
146,0.082,0.098,0.973
147,0.133,0.117,0.961
148,0.141,0.125,0.977
149,0.117,0.168,0.980
150,0.070,0.148,0.988
151,0.074,0.125,0.973
152,0.117,0.121,0.949
153,0.113,0.141,0.977
154,0.098,0.156,0.988
155,0.113,0.152,0.977
156,0.160,0.145,0.969
157,0.125,0.137,0.996
158,0.051,0.156,1.016
159,0.094,0.129,0.988
160,0.141,0.113,0.957
161,0.172,0.113,0.977
162,0.211,0.121,0.996
163,0.199,0.121,1.008
164,0.133,0.109,1.004
165,0.137,0.098,0.980
166,0.148,0.070,0.992
167,0.203,0.105,0.957
168,0.234,0.133,0.965
169,0.125,0.133,1.016
170,0.113,0.125,0.996
171,0.164,0.078,0.969
172,0.195,0.109,0.949
173,0.125,0.156,0.949
174,-0.012,0.168,1.020
